Date,AAP
2015-07-01,141.68975830078125
2015-07-02,141.21932983398438
2015-07-06,142.36053466796875
2015-07-07,142.456298828125
2015-07-08,139.37249755859375
2015-07-09,141.18447875976562
2015-07-10,142.96156311035156
2015-07-13,147.49148559570312
2015-07-14,145.66209411621094
2015-07-15,146.75970458984375
2015-07-16,147.5350341796875
2015-07-17,147.83119201660156
2015-07-20,146.9513702392578
2015-07-21,145.94085693359375
2015-07-22,146.54196166992188
2015-07-23,146.69003295898438
2015-07-24,146.62034606933594
2015-07-27,146.646484375
2015-07-28,148.35386657714844
2015-07-29,150.7582550048828
2015-07-30,150.30519104003906
2015-07-31,151.76004028320312
2015-08-03,151.4115447998047
2015-08-04,152.5353240966797
2015-08-05,152.68341064453125
2015-08-06,150.47946166992188
2015-08-07,151.3592987060547
2015-08-10,151.28091430664062
2015-08-11,149.76513671875
2015-08-12,149.83480834960938
2015-08-13,163.59002685546875
2015-08-14,162.927978515625
2015-08-17,160.88951110839844
2015-08-18,161.83033752441406
2015-08-19,163.63356018066406
2015-08-20,160.68040466308594
2015-08-21,154.660888671875
2015-08-24,151.3592987060547
2015-08-25,149.15528869628906
2015-08-26,149.36436462402344
2015-08-27,153.519775390625
2015-08-28,153.73751831054688
2015-08-31,152.6660614013672
2015-09-01,150.37493896484375
2015-09-02,152.6660614013672
2015-09-03,150.91502380371094
2015-09-04,149.9480743408203
2015-09-08,152.7269744873047
2015-09-09,152.3785400390625
2015-09-10,152.3437042236328
2015-09-11,152.30889892578125
2015-09-14,152.44822692871094
2015-09-15,154.0598907470703
2015-09-16,155.62843322753906
2015-09-17,155.3582305908203
2015-09-18,151.3670654296875
2015-09-21,152.28207397460938
2015-09-22,152.01193237304688
2015-09-23,153.25811767578125
2015-09-24,152.32571411132812
2015-09-25,154.10342407226562
2015-09-28,149.36280822753906
2015-09-29,148.60467529296875
2015-09-30,165.16183471679688
2015-10-01,167.34912109375
2015-10-02,167.0441131591797
2015-10-05,166.59092712402344
2015-10-06,166.52996826171875
2015-10-07,165.87640380859375
2015-10-08,163.26214599609375
2015-10-09,165.15310668945312
2015-10-12,166.6868438720703
