Date,CAH
2015-07-01,84.94999694824219
2015-07-02,84.5
2015-07-06,84.54000091552734
2015-07-07,85.0
2015-07-08,83.4000015258789
2015-07-09,84.16000366210938
2015-07-10,85.4800033569336
2015-07-13,86.12000274658203
2015-07-14,86.16999816894531
2015-07-15,86.5999984741211
2015-07-16,87.0199966430664
2015-07-17,86.76000213623047
2015-07-20,86.58000183105469
2015-07-21,86.19000244140625
2015-07-22,86.81999969482422
2015-07-23,84.2699966430664
2015-07-24,83.29000091552734
2015-07-27,82.29000091552734
2015-07-28,83.68000030517578
2015-07-29,84.3499984741211
2015-07-30,83.33999633789062
2015-07-31,84.9800033569336
2015-08-03,85.81999969482422
2015-08-04,85.75
2015-08-05,86.2699966430664
2015-08-06,84.77999877929688
2015-08-07,85.08000183105469
2015-08-10,85.7300033569336
2015-08-11,85.88999938964844
2015-08-12,85.05000305175781
2015-08-13,84.19999694824219
2015-08-14,84.2699966430664
2015-08-17,84.33999633789062
2015-08-18,84.80000305175781
2015-08-19,85.2699966430664
2015-08-20,82.26000213623047
2015-08-21,80.5999984741211
2015-08-24,78.9800033569336
2015-08-25,79.41999816894531
2015-08-26,83.55000305175781
2015-08-27,83.69000244140625
2015-08-28,83.38999938964844
2015-08-31,82.2699966430664
2015-09-01,80.2300033569336
2015-09-02,81.6500015258789
2015-09-03,81.1500015258789
2015-09-04,80.55000305175781
2015-09-08,82.25
2015-09-09,81.23999786376953
2015-09-10,83.01000213623047
2015-09-11,85.01000213623047
2015-09-14,84.30999755859375
2015-09-15,85.08000183105469
2015-09-16,85.36000061035156
2015-09-17,84.7699966430664
2015-09-18,83.62999725341797
2015-09-21,83.0
2015-09-22,81.5
2015-09-23,82.04000091552734
2015-09-24,81.43000030517578
2015-09-25,79.51000213623047
2015-09-28,77.12000274658203
2015-09-29,76.72000122070312
2015-09-30,76.81999969482422
2015-10-01,77.12000274658203
2015-10-02,78.62000274658203
2015-10-05,79.55000305175781
2015-10-06,78.11000061035156
2015-10-07,77.55000305175781
2015-10-08,77.69999694824219
2015-10-09,78.66999816894531
2015-10-12,80.08000183105469
2015-10-13,80.08000183105469
2015-10-14,78.61000061035156
2015-10-15,79.13999938964844
2015-10-16,80.12999725341797
2015-10-19,80.19999694824219
2015-10-20,78.7300033569336
2015-10-21,78.02999877929688
2015-10-22,77.75
2015-10-23,80.13999938964844
2015-10-26,80.80999755859375
2015-10-27,82.08999633789062
2015-10-28,82.83000183105469
2015-10-29,83.01000213623047
2015-10-30,82.19999694824219
2015-11-02,86.1500015258789
2015-11-03,86.37000274658203
2015-11-04,86.58000183105469
2015-11-05,88.19999694824219
2015-11-06,88.5
2015-11-09,87.66999816894531
2015-11-10,88.02999877929688
2015-11-11,87.22000122070312
2015-11-12,85.48999786376953
2015-11-13,85.5
2015-11-16,86.19000244140625
2015-11-17,86.72000122070312
2015-11-18,88.5999984741211
2015-11-19,87.36000061035156
2015-11-20,87.58999633789062
2015-11-23,87.33000183105469
2015-11-24,86.76000213623047
2015-11-25,86.9800033569336
2015-11-27,87.29000091552734
2015-11-30,86.8499984741211
2015-12-01,88.91000366210938
2015-12-02,87.29000091552734
2015-12-03,86.30000305175781
2015-12-04,88.44000244140625
2015-12-07,88.73999786376953
2015-12-08,88.55000305175781
2015-12-09,87.51000213623047
2015-12-10,87.13999938964844
2015-12-11,85.9000015258789
