Date,AYI
2016-01-04,233.2100067138672
2016-01-05,236.1699981689453
2016-01-06,229.94000244140625
2016-01-07,223.83999633789062
2016-01-08,215.47999572753906
2016-01-11,206.3300018310547
2016-01-12,209.11000061035156
2016-01-13,199.57000732421875
2016-01-14,207.0
2016-01-15,203.05999755859375
2016-01-19,206.50999450683594
2016-01-20,202.24000549316406
2016-01-21,196.6300048828125
2016-01-22,199.57000732421875
2016-01-25,192.3800048828125
2016-01-26,194.72000122070312
2016-01-27,194.27999877929688
2016-01-28,189.77999877929688
2016-01-29,202.42999267578125
2016-02-01,200.16000366210938
2016-02-02,196.5
2016-02-03,194.36000061035156
2016-02-04,195.47000122070312
2016-02-05,184.35000610351562
2016-02-08,177.22000122070312
2016-02-09,180.00999450683594
2016-02-10,183.05999755859375
2016-02-11,175.1300048828125
2016-02-12,179.67999267578125
2016-02-16,185.88999938964844
2016-02-17,194.83999633789062
2016-02-18,194.2899932861328
2016-02-19,191.05999755859375
2016-02-22,197.52000427246094
2016-02-23,197.22000122070312
2016-02-24,196.75
2016-02-25,204.47000122070312
2016-02-26,208.74000549316406
2016-02-29,209.42999267578125
2016-03-01,217.0500030517578
2016-03-02,220.36000061035156
2016-03-03,222.1300048828125
2016-03-04,220.3000030517578
2016-03-07,215.2899932861328
2016-03-08,214.1300048828125
2016-03-09,214.27000427246094
2016-03-10,212.52999877929688
2016-03-11,215.64999389648438
2016-03-14,215.92999267578125
2016-03-15,218.08999633789062
2016-03-16,222.91000366210938
2016-03-17,224.6199951171875
2016-03-18,220.24000549316406
2016-03-21,221.0399932861328
2016-03-22,220.75
2016-03-23,217.8000030517578
2016-03-24,214.91000366210938
2016-03-28,215.52000427246094
2016-03-29,218.3699951171875
2016-03-30,216.35000610351562
2016-03-31,218.13999938964844
2016-04-01,223.33999633789062
2016-04-04,220.1699981689453
2016-04-05,225.0
2016-04-06,254.85000610351562
2016-04-07,248.3000030517578
2016-04-08,250.1199951171875
2016-04-11,248.1699981689453
2016-04-12,249.8300018310547
2016-04-13,256.5899963378906
2016-04-14,254.92999267578125
2016-04-15,256.69000244140625
2016-04-18,258.2799987792969
2016-04-19,259.5400085449219
