Date,TRGP
2015-07-01,51.43781280517578
2015-07-02,51.798728942871094
2015-07-06,50.62725067138672
2015-07-07,52.62111282348633
2015-07-08,51.100589752197266
2015-07-09,51.875633239746094
2015-07-10,51.851959228515625
2015-07-13,53.26007080078125
2015-07-14,53.99372100830078
2015-07-15,52.63294982910156
2015-07-16,52.24837112426758
2015-07-17,51.9762077331543
2015-07-20,51.260311126708984
2015-07-21,51.94071960449219
2015-07-22,50.54441452026367
2015-07-23,51.37272262573242
2015-07-24,51.10647964477539
2015-07-27,50.91123962402344
2015-07-28,52.63886260986328
2015-07-29,53.89314270019531
2015-07-30,53.56758117675781
2015-07-31,52.83876419067383
2015-08-03,50.71207046508789
2015-08-04,49.90557861328125
2015-08-05,46.9903564453125
2015-08-06,45.8553352355957
2015-08-07,44.15874099731445
2015-08-10,46.20180892944336
2015-08-11,46.23167419433594
2015-08-12,46.59010696411133
2015-08-13,44.78599548339844
2015-08-14,44.361854553222656
2015-08-17,44.995086669921875
2015-08-18,44.827823638916016
2015-08-19,43.388118743896484
2015-08-20,38.85993576049805
2015-08-21,38.005680084228516
2015-08-24,35.41899108886719
2015-08-25,35.078495025634766
2015-08-26,35.56237030029297
2015-08-27,38.19683837890625
2015-08-28,39.403564453125
2015-08-31,39.46330642700195
2015-09-01,38.08930206298828
2015-09-02,37.838409423828125
2015-09-03,38.465660095214844
2015-09-04,37.92801284790039
2015-09-08,38.459686279296875
2015-09-09,37.999698638916016
2015-09-10,37.29478454589844
2015-09-11,35.693790435791016
2015-09-14,35.096412658691406
2015-09-15,35.38912582397461
2015-09-16,36.751163482666016
2015-09-17,36.97220230102539
2015-09-18,36.27922821044922
2015-09-21,36.912452697753906
2015-09-22,36.21950149536133
2015-09-23,33.64476013183594
2015-09-24,31.8944149017334
2015-09-25,32.25883102416992
2015-09-28,29.935001373291016
2015-09-29,29.224102020263672
2015-09-30,30.77730941772461
2015-10-01,31.099903106689453
2015-10-02,33.02944564819336
2015-10-05,36.14780807495117
2015-10-06,37.14542770385742
2015-10-07,38.0654182434082
2015-10-08,39.086944580078125
2015-10-09,38.34021759033203
2015-10-12,37.29478454589844
2015-10-13,36.685462951660156
2015-10-14,36.595848083496094
2015-10-15,37.13348388671875
2015-10-16,36.9841423034668
2015-10-19,36.894535064697266
2015-10-20,37.4680290222168
2015-10-21,36.3389778137207
2015-10-22,35.27561950683594
2015-10-23,35.04265213012695
2015-10-26,33.66269302368164
2015-10-27,31.643518447875977
2015-10-28,32.90400314331055
2015-10-29,33.341346740722656
2015-10-30,34.7141227722168
2015-11-02,35.35799026489258
2015-11-03,30.905576705932617
2015-11-04,30.450023651123047
2015-11-05,30.456098556518555
2015-11-06,29.380958557128906
2015-11-09,28.882871627807617
2015-11-10,28.33619499206543
2015-11-11,26.562519073486328
2015-11-12,24.971086502075195
2015-11-13,25.1776123046875
2015-11-16,26.301328659057617
2015-11-17,25.663543701171875
2015-11-18,26.106958389282227
2015-11-19,25.57242774963379
2015-11-20,24.400100708007812
2015-11-23,24.047805786132812
2015-11-24,25.226194381713867
2015-11-25,24.643075942993164
2015-11-27,24.260398864746094
2015-11-30,23.871652603149414
2015-12-01,23.276384353637695
2015-12-02,22.401691436767578
2015-12-03,21.879308700561523
2015-12-04,18.362342834472656
2015-12-07,15.811172485351562
2015-12-08,17.03816032409668
2015-12-09,19.079097747802734
2015-12-10,19.486072540283203
2015-12-11,17.262907028198242
2015-12-14,16.904525756835938
2015-12-15,17.159648895263672
2015-12-16,17.177875518798828
2015-12-17,16.048067092895508
2015-12-18,15.635015487670898
2015-12-21,15.829389572143555
2015-12-22,16.43073844909668
2015-12-23,17.117128372192383
2015-12-24,16.533998489379883
2015-12-28,15.835469245910645
2015-12-29,15.896211624145508
2015-12-30,15.823321342468262
2015-12-31,16.436813354492188
2016-01-04,16.278888702392578
2016-01-05,16.023765563964844
2016-01-06,14.086101531982422
2016-01-07,13.035260200500488
2016-01-08,13.721641540527344
2016-01-11,13.284300804138184
2016-01-12,13.375410079956055
2016-01-13,10.49623966217041
2016-01-14,11.413444519042969
2016-01-15,10.350456237792969
2016-01-19,9.730887413024902
2016-01-20,9.858441352844238
2016-01-21,11.383075714111328
2016-01-22,12.421765327453613
2016-01-25,12.603989601135254
2016-01-26,13.53941535949707
2016-01-27,13.660903930664062
2016-01-28,14.371586799621582
2016-01-29,14.194700241088867
2016-02-01,13.588255882263184
2016-02-02,13.600893020629883
2016-02-03,14.055727005004883
2016-02-04,14.851690292358398
2016-02-05,14.409490585327148
2016-02-08,12.482748031616211
2016-02-09,11.130875587463379
2016-02-10,11.471994400024414
2016-02-11,9.747410774230957
2016-02-12,10.284370422363281
2016-02-16,10.897130012512207
2016-02-17,13.007075309753418
2016-02-18,14.548466682434082
2016-02-19,13.506131172180176
2016-02-22,14.232610702514648
2016-02-23,13.3734712600708
2016-02-24,13.97991943359375
2016-02-25,15.350746154785156
2016-02-26,16.140392303466797
2016-02-29,16.980581283569336
2016-03-01,16.70262336730957
2016-03-02,17.176414489746094
2016-03-03,18.161895751953125
2016-03-04,18.635677337646484
2016-03-07,18.97049331665039
2016-03-08,17.087970733642578
2016-03-09,17.9155216217041
2016-03-10,17.23958969116211
2016-03-11,17.902891159057617
2016-03-14,18.389310836791992
2016-03-15,17.643888473510742
2016-03-16,19.103151321411133
2016-03-17,19.096839904785156
2016-03-18,18.793609619140625
2016-03-21,18.477752685546875
2016-03-22,18.875732421875
2016-03-23,17.72600555419922
2016-03-24,17.732322692871094
2016-03-28,17.700735092163086
2016-03-29,17.839717864990234
2016-03-30,18.376680374145508
2016-03-31,18.863100051879883
2016-04-01,17.852352142333984
2016-04-04,17.384883880615234
2016-04-05,17.72600555419922
2016-04-06,18.117671966552734
2016-04-07,18.14293670654297
2016-04-08,18.679903030395508
2016-04-11,18.9515438079834
2016-04-12,20.334999084472656
2016-04-13,20.208662033081055
2016-04-14,20.284467697143555
2016-04-15,20.556100845336914
2016-04-18,21.156232833862305
2016-04-19,23.506223678588867
2016-04-20,23.872623443603516
2016-04-21,24.27692413330078
2016-04-22,25.060253143310547
2016-04-25,23.714696884155273
2016-04-26,24.068452835083008
