Date,ADP
2015-07-01,63.89360427856445
2015-07-02,63.8462028503418
2015-07-06,63.8462028503418
2015-07-07,64.03579711914062
2015-07-08,63.214332580566406
2015-07-09,63.73565673828125
2015-07-10,64.39122772216797
2015-07-13,64.55712127685547
2015-07-14,64.68347930908203
2015-07-15,65.1653060913086
2015-07-16,65.48126220703125
2015-07-17,65.07844543457031
2015-07-20,64.90465545654297
2015-07-21,64.30433654785156
2015-07-22,64.52552795410156
2015-07-23,63.933101654052734
2015-07-24,63.016841888427734
2015-07-27,62.96944808959961
2015-07-28,63.648746490478516
2015-07-29,65.03892517089844
2015-07-30,63.29328918457031
2015-07-31,63.0089225769043
2015-08-03,63.27751541137695
2015-08-04,63.72772979736328
2015-08-05,64.64398956298828
2015-08-06,63.427581787109375
2015-08-07,63.41967010498047
2015-08-10,64.45439910888672
2015-08-11,64.24115753173828
2015-08-12,64.41492462158203
2015-08-13,65.12582397460938
2015-08-14,65.55235290527344
2015-08-17,66.9030532836914
2015-08-18,66.89514923095703
2015-08-19,66.7214126586914
2015-08-20,65.33119201660156
2015-08-21,62.58243179321289
2015-08-24,60.25225830078125
2015-08-25,58.07215118408203
2015-08-26,61.452880859375
2015-08-27,61.634521484375
2015-08-28,61.9346923828125
2015-08-31,61.073734283447266
2015-09-01,59.32020568847656
2015-09-02,60.89204788208008
2015-09-03,61.255409240722656
2015-09-04,60.149574279785156
2015-09-08,61.76880645751953
2015-09-09,61.6098518371582
2015-09-10,61.93576431274414
2015-09-11,62.24573516845703
2015-09-14,61.80856704711914
2015-09-15,62.706756591796875
2015-09-16,63.26316452026367
2015-09-17,63.135982513427734
2015-09-18,62.80213928222656
2015-09-21,63.50958251953125
2015-09-22,62.94523620605469
2015-09-23,63.08828353881836
2015-09-24,63.25520706176758
2015-09-25,63.8275260925293
2015-09-28,62.49216079711914
2015-09-29,62.86574172973633
2015-09-30,63.87522506713867
2015-10-01,64.2964859008789
2015-10-02,64.67007446289062
2015-10-05,65.73517608642578
2015-10-06,65.52851104736328
2015-10-07,66.49031829833984
2015-10-08,67.65875244140625
2015-10-09,67.7541275024414
2015-10-12,68.1038818359375
2015-10-13,67.69055938720703
2015-10-14,67.67466735839844
2015-10-15,68.33441162109375
2015-10-16,68.90669250488281
2015-10-19,69.39155578613281
2015-10-20,69.48695373535156
2015-10-21,69.51079559326172
2015-10-22,71.29129028320312
2015-10-23,71.95895385742188
2015-10-26,71.6251220703125
2015-10-27,71.80001068115234
2015-10-28,69.87644958496094
2015-10-29,70.2341079711914
2015-10-30,69.14515686035156
2015-11-02,69.14515686035156
2015-11-03,68.93849182128906
2015-11-04,69.12130737304688
2015-11-05,69.13719940185547
2015-11-06,69.65386199951172
2015-11-09,68.96233367919922
2015-11-10,69.11334991455078
2015-11-11,69.29621887207031
2015-11-12,68.53311920166016
2015-11-13,67.60311889648438
2015-11-16,68.77157592773438
2015-11-17,68.27079772949219
