Date,ALK
2015-07-01,59.15119934082031
2015-07-02,59.804344177246094
2015-07-06,60.86226272583008
2015-07-07,62.03975296020508
2015-07-08,60.82545852661133
2015-07-09,61.211830139160156
2015-07-10,64.90074157714844
2015-07-13,66.464599609375
2015-07-14,67.72490692138672
2015-07-15,67.81689453125
2015-07-16,68.70922088623047
2015-07-17,68.78280639648438
2015-07-20,68.20326232910156
2015-07-21,68.94840240478516
2015-07-22,69.75792694091797
2015-07-23,67.88127899169922
2015-07-24,68.16645812988281
2015-07-27,67.17292785644531
2015-07-28,68.36885070800781
2015-07-29,68.79202270507812
2015-07-30,69.14158630371094
2015-07-31,69.6843490600586
2015-08-03,71.77255249023438
2015-08-04,71.54257202148438
2015-08-05,72.70169830322266
2015-08-06,71.52417755126953
2015-08-07,71.7449722290039
2015-08-10,72.33373260498047
2015-08-11,73.55722045898438
2015-08-12,72.25093078613281
2015-08-13,72.94088745117188
2015-08-14,73.41121673583984
2015-08-17,75.1727294921875
2015-08-18,75.1727294921875
2015-08-19,74.69315338134766
2015-08-20,72.86709594726562
2015-08-21,70.22023010253906
2015-08-24,67.41658782958984
2015-08-25,68.75386047363281
2015-08-26,70.38623809814453
2015-08-27,70.31246185302734
2015-08-28,69.91590118408203
2015-08-31,69.03975677490234
2015-09-01,68.98441314697266
2015-09-02,72.70109558105469
2015-09-03,72.00018310546875
2015-09-04,72.47052764892578
2015-09-08,74.9237060546875
2015-09-09,75.41251373291016
2015-09-10,74.96984100341797
2015-09-11,75.50473022460938
2015-09-14,74.46260070800781
2015-09-15,73.54032897949219
2015-09-16,72.9777603149414
2015-09-17,73.49422454833984
2015-09-18,72.61808013916016
2015-09-21,75.7076416015625
2015-09-22,72.53507995605469
2015-09-23,73.84469604492188
2015-09-24,72.83942413330078
2015-09-25,74.42569732666016
2015-09-28,72.03705596923828
2015-09-29,72.28605651855469
2015-09-30,73.27289581298828
2015-10-01,73.99224853515625
2015-10-02,73.09766387939453
2015-10-05,74.61939239501953
2015-10-06,68.73540496826172
2015-10-07,70.06346893310547
2015-10-08,69.86978912353516
2015-10-09,70.017333984375
2015-10-12,71.92639923095703
2015-10-13,68.17283630371094
2015-10-14,67.73937225341797
2015-10-15,70.07266998291016
2015-10-16,69.93433380126953
2015-10-19,70.89348602294922
2015-10-20,70.54302215576172
2015-10-21,68.91986083984375
2015-10-22,70.06346893310547
2015-10-23,72.94088745117188
2015-10-26,73.00543212890625
2015-10-27,71.88951110839844
2015-10-28,69.34410858154297
2015-10-29,69.8790054321289
2015-10-30,70.32168579101562
2015-11-02,71.13324737548828
2015-11-03,71.64049530029297
2015-11-04,71.39149475097656
2015-11-05,71.99095153808594
2015-11-06,72.00940704345703
2015-11-09,71.29926300048828
2015-11-10,72.4613037109375
2015-11-11,71.53905487060547
2015-11-12,70.71824645996094
2015-11-13,70.23741149902344
2015-11-16,71.06036376953125
2015-11-17,71.6983871459961
2015-11-18,72.20695495605469
2015-11-19,73.26107788085938
