Date,R
2015-07-01,63.8326301574707
2015-07-02,64.01374053955078
2015-07-06,63.46317672729492
2015-07-07,64.18037414550781
2015-07-08,63.195125579833984
2015-07-09,63.615325927734375
2015-07-10,65.201904296875
2015-07-13,66.4986801147461
2015-07-14,66.25959014892578
2015-07-15,65.38300323486328
2015-07-16,66.02051544189453
2015-07-17,66.28132629394531
2015-07-20,66.44074249267578
2015-07-21,67.57087707519531
2015-07-22,67.43325805664062
2015-07-23,64.0572280883789
2015-07-24,63.55009841918945
2015-07-27,63.26031494140625
2015-07-28,64.46293640136719
2015-07-29,66.77397918701172
2015-07-30,66.62905883789062
2015-07-31,65.57860565185547
2015-08-03,66.3537826538086
2015-08-04,66.39002227783203
2015-08-05,66.58560943603516
2015-08-06,66.32482147216797
2015-08-07,65.56413269042969
2015-08-10,66.4986801147461
2015-08-11,65.50615692138672
2015-08-12,64.83964538574219
2015-08-13,64.29629516601562
2015-08-14,64.62957000732422
2015-08-17,64.3977279663086
2015-08-18,64.05001068115234
2015-08-19,62.6879768371582
2015-08-20,60.482418060302734
2015-08-21,58.953773498535156
2015-08-24,56.56621170043945
2015-08-25,55.43797302246094
2015-08-26,57.52708053588867
2015-08-27,59.193992614746094
2015-08-28,59.71810531616211
2015-08-31,59.667144775390625
2015-09-01,57.59260177612305
2015-09-02,58.96106719970703
2015-09-03,59.09937286376953
2015-09-04,58.356903076171875
2015-09-08,60.351383209228516
2015-09-09,58.975608825683594
2015-09-10,59.41237258911133
2015-09-11,59.601627349853516
2015-09-14,59.21582794189453
2015-09-15,61.0720329284668
2015-09-16,61.0865592956543
2015-09-17,61.06474685668945
2015-09-18,58.85917663574219
2015-09-21,59.10664749145508
2015-09-22,56.84281921386719
2015-09-23,55.88926696777344
2015-09-24,54.600852966308594
2015-09-25,54.68820571899414
2015-09-28,53.5599479675293
2015-09-29,53.516265869140625
2015-09-30,53.894779205322266
2015-10-01,52.29336929321289
2015-10-02,52.08229064941406
2015-10-05,53.87294387817383
2015-10-06,53.26877975463867
2015-10-07,53.96027374267578
2015-10-08,54.68820571899414
2015-10-09,55.23414993286133
2015-10-12,55.066715240478516
2015-10-13,49.956764221191406
2015-10-14,51.76926803588867
2015-10-15,53.348838806152344
2015-10-16,52.373451232910156
2015-10-19,52.4971923828125
2015-10-20,52.60637283325195
2015-10-21,52.40983581542969
2015-10-22,51.95124435424805
2015-10-23,51.1942253112793
2015-10-26,51.427162170410156
2015-10-27,49.67287826538086
2015-10-28,50.53181838989258
2015-10-29,52.14051055908203
2015-10-30,52.249691009521484
2015-11-02,53.12318801879883
2015-11-03,52.69371795654297
2015-11-04,52.06773376464844
2015-11-05,52.32975769042969
2015-11-06,52.322479248046875
2015-11-09,51.499942779541016
2015-11-10,50.19696807861328
2015-11-11,50.30617141723633
2015-11-12,48.53733444213867
2015-11-13,47.81669616699219
2015-11-16,48.06418228149414
2015-11-17,48.04963684082031
2015-11-18,48.44270706176758
