Date,COST
2015-07-01,113.91738891601562
2015-07-02,113.83393096923828
2015-07-06,113.40824890136719
2015-07-07,117.26419067382812
2015-07-08,116.76344299316406
2015-07-09,116.3878402709961
2015-07-10,119.11708068847656
2015-07-13,120.2354965209961
2015-07-14,120.12692260742188
2015-07-15,119.87657165527344
2015-07-16,120.46077728271484
2015-07-17,120.75296020507812
2015-07-20,121.05338287353516
2015-07-21,120.96996307373047
2015-07-22,122.17179870605469
2015-07-23,121.52080535888672
2015-07-24,121.01162719726562
2015-07-27,120.39409637451172
2015-07-28,120.64441680908203
2015-07-29,121.33714294433594
2015-07-30,121.2704086303711
2015-07-31,121.2704086303711
2015-08-03,121.45404052734375
2015-08-04,120.88646697998047
2015-08-05,122.59740447998047
2015-08-06,122.22184753417969
2015-08-07,121.23701477050781
2015-08-10,122.06324005126953
2015-08-11,121.7628402709961
2015-08-12,122.59974670410156
2015-08-13,121.57868194580078
2015-08-14,122.26496124267578
2015-08-17,122.26496124267578
2015-08-18,121.87999725341797
2015-08-19,121.4949951171875
2015-08-20,120.27308654785156
2015-08-21,116.32286834716797
2015-08-24,111.28459930419922
2015-08-25,111.06707000732422
2015-08-26,115.62826538085938
2015-08-27,117.34386444091797
2015-08-28,117.12631225585938
2015-08-31,117.21001434326172
2015-09-01,115.7453842163086
2015-09-02,117.51963806152344
2015-09-03,117.56989288330078
2015-09-04,115.89602661132812
2015-09-08,118.36493682861328
2015-09-09,116.90032958984375
2015-09-10,117.176513671875
2015-09-11,118.04693603515625
2015-09-14,118.13059997558594
2015-09-15,119.20185089111328
2015-09-16,120.1894302368164
2015-09-17,119.97184753417969
2015-09-18,118.68297576904297
2015-09-21,119.85462951660156
2015-09-22,119.38593292236328
2015-09-23,121.71258544921875
2015-09-24,121.24391174316406
2015-09-25,121.81304168701172
2015-09-28,120.13919830322266
2015-09-29,120.28150177001953
2015-09-30,120.99288177490234
2015-10-01,120.98450469970703
2015-10-02,122.07247924804688
2015-10-05,123.92204284667969
2015-10-06,124.20655822753906
2015-10-07,123.82998657226562
2015-10-08,126.92659759521484
2015-10-09,128.85989379882812
2015-10-12,128.5753173828125
2015-10-13,127.44549560546875
2015-10-14,125.40341186523438
2015-10-15,127.0186767578125
2015-10-16,127.26134490966797
2015-10-19,128.23219299316406
2015-10-20,129.35360717773438
2015-10-21,129.8976593017578
2015-10-22,132.358154296875
2015-10-23,130.34124755859375
2015-10-26,131.1697998046875
2015-10-27,132.0317840576172
2015-10-28,132.0317840576172
2015-10-29,132.4669952392578
2015-10-30,132.3330535888672
2015-11-02,133.19508361816406
2015-11-03,132.90219116210938
2015-11-04,131.52125549316406
2015-11-05,130.78477478027344
2015-11-06,131.8560028076172
2015-11-09,129.8557891845703
2015-11-10,131.24029541015625
2015-11-11,131.2235107421875
