Date,ON
2022-01-03,70.16999816894531
2022-01-04,70.94999694824219
2022-01-05,67.41999816894531
2022-01-06,67.25
2022-01-07,64.55999755859375
2022-01-10,65.12000274658203
2022-01-11,65.93000030517578
2022-01-12,66.48999786376953
2022-01-13,64.63999938964844
2022-01-14,66.19999694824219
2022-01-18,63.029998779296875
2022-01-19,59.0099983215332
2022-01-20,55.540000915527344
2022-01-21,54.72999954223633
2022-01-24,55.34000015258789
2022-01-25,53.31999969482422
2022-01-26,55.7599983215332
2022-01-27,53.66999816894531
2022-01-28,53.7599983215332
2022-01-31,59.0
2022-02-01,59.650001525878906
2022-02-02,61.08000183105469
2022-02-03,56.209999084472656
2022-02-04,57.41999816894531
2022-02-07,62.2599983215332
2022-02-08,65.97000122070312
2022-02-09,67.08000183105469
2022-02-10,63.41999816894531
2022-02-11,58.970001220703125
2022-02-14,58.65999984741211
2022-02-15,62.2400016784668
2022-02-16,63.11000061035156
2022-02-17,60.189998626708984
2022-02-18,60.20000076293945
2022-02-22,58.439998626708984
2022-02-23,57.75
2022-02-24,61.08000183105469
2022-02-25,63.5
2022-02-28,62.61000061035156
2022-03-01,59.650001525878906
2022-03-02,62.869998931884766
2022-03-03,61.5099983215332
2022-03-04,58.33000183105469
2022-03-07,53.52000045776367
2022-03-08,55.790000915527344
2022-03-09,58.43000030517578
2022-03-10,57.630001068115234
2022-03-11,55.88999938964844
2022-03-14,53.90999984741211
2022-03-15,56.65999984741211
2022-03-16,60.11000061035156
2022-03-17,60.7599983215332
2022-03-18,61.93000030517578
2022-03-21,61.93000030517578
2022-03-22,62.18000030517578
2022-03-23,60.38999938964844
2022-03-24,63.58000183105469
2022-03-25,63.810001373291016
2022-03-28,65.31999969482422
2022-03-29,67.36000061035156
2022-03-30,64.43000030517578
2022-03-31,62.61000061035156
2022-04-01,59.630001068115234
2022-04-04,59.59000015258789
2022-04-05,55.70000076293945
2022-04-06,53.70000076293945
2022-04-07,54.09000015258789
2022-04-08,52.72999954223633
2022-04-11,52.33000183105469
2022-04-12,53.13999938964844
2022-04-13,54.25
2022-04-14,53.2599983215332
2022-04-18,54.56999969482422
2022-04-19,56.380001068115234
2022-04-20,55.400001525878906
2022-04-21,53.2599983215332
2022-04-22,51.779998779296875
2022-04-25,53.47999954223633
2022-04-26,51.36000061035156
2022-04-27,51.209999084472656
2022-04-28,54.47999954223633
2022-04-29,52.11000061035156
2022-05-02,55.619998931884766
2022-05-03,56.5099983215332
2022-05-04,58.91999816894531
2022-05-05,55.22999954223633
2022-05-06,55.130001068115234
2022-05-09,50.81999969482422
2022-05-10,53.869998931884766
2022-05-11,51.77000045776367
2022-05-12,52.97999954223633
2022-05-13,56.18000030517578
2022-05-16,55.150001525878906
2022-05-17,58.5
2022-05-18,55.83000183105469
2022-05-19,56.06999969482422
2022-05-20,56.459999084472656
2022-05-23,55.88999938964844
2022-05-24,54.5
2022-05-25,56.2400016784668
2022-05-26,59.33000183105469
2022-05-27,61.13999938964844
2022-05-31,60.68000030517578
2022-06-01,59.27000045776367
2022-06-02,63.59000015258789
2022-06-03,62.939998626708984
2022-06-06,66.01000213623047
2022-06-07,65.4800033569336
2022-06-08,63.810001373291016
2022-06-09,62.65999984741211
2022-06-10,60.13999938964844
2022-06-13,56.06999969482422
2022-06-14,56.650001525878906
2022-06-15,58.040000915527344
2022-06-16,53.459999084472656
2022-06-17,52.459999084472656
2022-06-21,51.95000076293945
2022-06-22,51.0099983215332
2022-06-23,50.470001220703125
2022-06-24,52.970001220703125
2022-06-27,54.16999816894531
2022-06-28,52.810001373291016
2022-06-29,51.119998931884766
2022-06-30,50.310001373291016
2022-07-01,46.84000015258789
2022-07-05,47.29999923706055
2022-07-06,47.61000061035156
2022-07-07,52.0099983215332
2022-07-08,53.470001220703125
2022-07-11,52.599998474121094
2022-07-12,52.77000045776367
2022-07-13,52.47999954223633
2022-07-14,54.04999923706055
2022-07-15,56.06999969482422
2022-07-18,54.95000076293945
2022-07-19,58.779998779296875
2022-07-20,60.09000015258789
2022-07-21,61.16999816894531
2022-07-22,59.41999816894531
2022-07-25,59.34000015258789
2022-07-26,58.25
2022-07-27,62.5099983215332
2022-07-28,64.55999755859375
2022-07-29,66.77999877929688
2022-08-01,63.65999984741211
2022-08-02,65.58999633789062
2022-08-03,68.83000183105469
2022-08-04,68.05000305175781
2022-08-05,67.62999725341797
2022-08-08,67.33999633789062
2022-08-09,63.08000183105469
2022-08-10,66.19999694824219
2022-08-11,66.36000061035156
2022-08-12,71.16000366210938
2022-08-15,71.23999786376953
2022-08-16,70.70999908447266
2022-08-17,68.29000091552734
2022-08-18,73.25
2022-08-19,72.52999877929688
2022-08-22,68.80000305175781
2022-08-23,71.25
2022-08-24,72.02999877929688
2022-08-25,76.70999908447266
2022-08-26,71.58000183105469
2022-08-29,69.5199966430664
