Date,LUV
2015-07-01,32.619998931884766
2015-07-02,32.5099983215332
2015-07-06,33.029998779296875
2015-07-07,33.40999984741211
2015-07-08,32.36000061035156
2015-07-09,32.52000045776367
2015-07-10,33.83000183105469
2015-07-13,33.93000030517578
2015-07-14,33.86000061035156
2015-07-15,33.91999816894531
2015-07-16,34.56999969482422
2015-07-17,34.7599983215332
2015-07-20,34.310001373291016
2015-07-21,34.709999084472656
2015-07-22,35.119998931884766
2015-07-23,36.47999954223633
2015-07-24,35.0
2015-07-27,35.09000015258789
2015-07-28,36.060001373291016
2015-07-29,35.52000045776367
2015-07-30,36.310001373291016
2015-07-31,36.20000076293945
2015-08-03,37.529998779296875
2015-08-04,37.93000030517578
2015-08-05,37.88999938964844
2015-08-06,37.810001373291016
2015-08-07,37.58000183105469
2015-08-10,37.790000915527344
2015-08-11,38.36000061035156
2015-08-12,38.68000030517578
2015-08-13,38.970001220703125
2015-08-14,39.36000061035156
2015-08-17,40.45000076293945
2015-08-18,40.189998626708984
2015-08-19,40.45000076293945
2015-08-20,39.060001373291016
2015-08-21,37.90999984741211
2015-08-24,37.209999084472656
2015-08-25,36.52000045776367
2015-08-26,37.38999938964844
2015-08-27,37.310001373291016
2015-08-28,37.099998474121094
2015-08-31,36.70000076293945
2015-09-01,36.36000061035156
2015-09-02,37.720001220703125
2015-09-03,37.43000030517578
2015-09-04,37.22999954223633
2015-09-08,38.11000061035156
2015-09-09,38.29999923706055
2015-09-10,38.36000061035156
2015-09-11,38.540000915527344
2015-09-14,38.869998931884766
2015-09-15,38.900001525878906
2015-09-16,39.13999938964844
2015-09-17,39.4900016784668
2015-09-18,39.470001220703125
2015-09-21,39.380001068115234
2015-09-22,38.2400016784668
2015-09-23,38.58000183105469
2015-09-24,38.16999816894531
2015-09-25,38.09000015258789
2015-09-28,37.45000076293945
2015-09-29,37.68000030517578
2015-09-30,38.040000915527344
2015-10-01,38.40999984741211
2015-10-02,38.380001068115234
2015-10-05,39.29999923706055
2015-10-06,38.0
2015-10-07,38.709999084472656
2015-10-08,38.7599983215332
2015-10-09,39.939998626708984
2015-10-12,41.220001220703125
2015-10-13,40.81999969482422
2015-10-14,40.84000015258789
2015-10-15,41.2400016784668
2015-10-16,40.560001373291016
2015-10-19,41.40999984741211
2015-10-20,41.380001068115234
2015-10-21,41.040000915527344
2015-10-22,44.08000183105469
2015-10-23,45.22999954223633
2015-10-26,45.77000045776367
2015-10-27,45.470001220703125
2015-10-28,45.40999984741211
2015-10-29,45.81999969482422
2015-10-30,46.290000915527344
2015-11-02,46.7400016784668
2015-11-03,46.959999084472656
2015-11-04,46.63999938964844
2015-11-05,46.66999816894531
2015-11-06,46.849998474121094
2015-11-09,46.369998931884766
2015-11-10,46.459999084472656
2015-11-11,46.720001220703125
2015-11-12,46.689998626708984
2015-11-13,45.88999938964844
