Date,RHI
2015-07-01,55.81999969482422
2015-07-02,55.47999954223633
2015-07-06,54.83000183105469
2015-07-07,55.72999954223633
2015-07-08,54.900001525878906
2015-07-09,55.470001220703125
2015-07-10,56.16999816894531
2015-07-13,56.689998626708984
2015-07-14,56.880001068115234
2015-07-15,56.400001525878906
2015-07-16,57.88999938964844
2015-07-17,57.04999923706055
2015-07-20,56.959999084472656
2015-07-21,56.0
2015-07-22,56.41999816894531
2015-07-23,56.11000061035156
2015-07-24,52.54999923706055
2015-07-27,52.56999969482422
2015-07-28,52.22999954223633
2015-07-29,53.33000183105469
2015-07-30,53.869998931884766
2015-07-31,55.029998779296875
2015-08-03,55.4900016784668
2015-08-04,55.31999969482422
2015-08-05,56.040000915527344
2015-08-06,55.720001220703125
2015-08-07,55.81999969482422
2015-08-10,56.7599983215332
2015-08-11,56.939998626708984
2015-08-12,56.47999954223633
2015-08-13,56.560001373291016
2015-08-14,57.220001220703125
2015-08-17,57.90999984741211
2015-08-18,57.540000915527344
2015-08-19,57.290000915527344
2015-08-20,55.84000015258789
2015-08-21,54.0099983215332
2015-08-24,51.209999084472656
2015-08-25,50.41999816894531
2015-08-26,51.779998779296875
2015-08-27,52.47999954223633
2015-08-28,51.439998626708984
2015-08-31,51.029998779296875
2015-09-01,49.90999984741211
2015-09-02,51.369998931884766
2015-09-03,51.63999938964844
2015-09-04,50.61000061035156
2015-09-08,51.36000061035156
2015-09-09,51.20000076293945
2015-09-10,51.27000045776367
2015-09-11,51.529998779296875
2015-09-14,51.2400016784668
2015-09-15,52.2400016784668
2015-09-16,52.470001220703125
2015-09-17,52.11000061035156
2015-09-18,50.900001525878906
2015-09-21,51.27000045776367
2015-09-22,50.79999923706055
2015-09-23,51.150001525878906
2015-09-24,50.33000183105469
2015-09-25,50.61000061035156
2015-09-28,49.79999923706055
2015-09-29,49.77000045776367
2015-09-30,51.15999984741211
2015-10-01,51.0099983215332
2015-10-02,50.34000015258789
2015-10-05,51.54999923706055
2015-10-06,50.91999816894531
2015-10-07,51.70000076293945
2015-10-08,52.65999984741211
2015-10-09,52.84000015258789
2015-10-12,53.27000045776367
2015-10-13,52.630001068115234
2015-10-14,52.34000015258789
2015-10-15,52.9900016784668
2015-10-16,53.189998626708984
2015-10-19,52.91999816894531
2015-10-20,53.33000183105469
2015-10-21,52.38999938964844
2015-10-22,50.0
2015-10-23,50.959999084472656
2015-10-26,51.20000076293945
2015-10-27,50.900001525878906
2015-10-28,51.709999084472656
2015-10-29,52.150001525878906
2015-10-30,52.65999984741211
2015-11-02,53.81999969482422
2015-11-03,53.31999969482422
2015-11-04,52.7400016784668
2015-11-05,52.209999084472656
2015-11-06,52.79999923706055
2015-11-09,52.599998474121094
2015-11-10,52.20000076293945
2015-11-11,52.369998931884766
2015-11-12,51.34000015258789
2015-11-13,50.81999969482422
2015-11-16,51.040000915527344
2015-11-17,50.540000915527344
2015-11-18,51.0099983215332
2015-11-19,50.720001220703125
2015-11-20,51.099998474121094
2015-11-23,50.900001525878906
2015-11-24,50.880001068115234
2015-11-25,51.04999923706055
2015-11-27,51.119998931884766
2015-11-30,51.18000030517578
2015-12-01,52.029998779296875
2015-12-02,51.33000183105469
2015-12-03,49.720001220703125
2015-12-04,50.310001373291016
2015-12-07,50.11000061035156
2015-12-08,49.7599983215332
2015-12-09,47.7599983215332
2015-12-10,47.529998779296875
2015-12-11,46.54999923706055
2015-12-14,45.9900016784668
2015-12-15,46.529998779296875
2015-12-16,46.709999084472656
2015-12-17,45.810001373291016
2015-12-18,44.95000076293945
2015-12-21,45.5099983215332
2015-12-22,46.060001373291016
2015-12-23,46.88999938964844
2015-12-24,47.150001525878906
