Date,TRV
2015-07-01,78.55047607421875
2015-07-02,78.4951171875
2015-07-06,78.26570129394531
2015-07-07,79.12792205810547
2015-07-08,78.12333679199219
2015-07-09,79.15958404541016
2015-07-10,79.89527130126953
2015-07-13,80.94734954833984
2015-07-14,80.98690032958984
2015-07-15,81.01851654052734
2015-07-16,81.70674896240234
2015-07-17,81.42987823486328
2015-07-20,81.1688232421875
2015-07-21,82.64805603027344
2015-07-22,83.29674530029297
2015-07-23,83.29674530029297
2015-07-24,83.27299499511719
2015-07-27,83.52613067626953
2015-07-28,83.802978515625
2015-07-29,84.19059753417969
2015-07-30,84.24598693847656
2015-07-31,83.94538116455078
2015-08-03,84.59405517578125
2015-08-04,84.34880828857422
2015-08-05,83.91374969482422
2015-08-06,83.42328643798828
2015-08-07,83.43911743164062
2015-08-10,83.70806884765625
2015-08-11,83.763427734375
2015-08-12,83.39955139160156
2015-08-13,84.60196685791016
2015-08-14,85.20311737060547
2015-08-17,85.20311737060547
2015-08-18,85.2901382446289
2015-08-19,84.81550598144531
2015-08-20,83.6131591796875
2015-08-21,81.42194366455078
2015-08-24,78.13915252685547
2015-08-25,77.32437896728516
2015-08-26,79.10421752929688
2015-08-27,80.21166229248047
2015-08-28,79.44435119628906
2015-08-31,78.74824523925781
2015-09-01,77.11869049072266
2015-09-02,78.25778198242188
2015-09-03,78.60585021972656
2015-09-04,77.33226776123047
2015-09-08,79.32229614257812
2015-09-09,78.39095306396484
2015-09-10,78.87651824951172
2015-09-11,79.19493865966797
2015-09-14,79.02779388427734
2015-09-15,80.28544616699219
2015-09-16,81.12129211425781
2015-09-17,80.9222640991211
2015-09-18,79.33025360107422
2015-09-21,80.01481628417969
2015-09-22,78.78895568847656
2015-09-23,78.86858367919922
2015-09-24,78.69345092773438
2015-09-25,79.52926635742188
2015-09-28,78.86858367919922
2015-09-29,79.17900848388672
2015-09-30,79.22675323486328
2015-10-01,78.27948760986328
2015-10-02,79.62476348876953
2015-10-05,81.08146667480469
2015-10-06,80.45263671875
2015-10-07,81.3282241821289
2015-10-08,82.060546875
2015-10-09,81.94115447998047
