Date,NUE
2018-11-30,60.40999984741211
2018-12-03,61.189998626708984
2018-12-04,59.65999984741211
2018-12-06,59.18000030517578
2018-12-07,57.5099983215332
2018-12-10,56.97999954223633
2018-12-11,56.459999084472656
2018-12-12,56.29999923706055
2018-12-13,55.70000076293945
2018-12-14,56.38999938964844
2018-12-17,54.81999969482422
2018-12-18,54.970001220703125
2018-12-19,53.619998931884766
2018-12-20,52.2599983215332
2018-12-21,51.93000030517578
2018-12-24,50.029998779296875
2018-12-26,52.310001373291016
2018-12-27,52.459999084472656
2018-12-28,51.900001525878906
2018-12-31,51.810001373291016
2019-01-02,52.209999084472656
2019-01-03,51.29999923706055
2019-01-04,53.83000183105469
2019-01-07,53.41999816894531
2019-01-08,55.2599983215332
2019-01-09,55.91999816894531
2019-01-10,56.4900016784668
2019-01-11,56.59000015258789
2019-01-14,56.2599983215332
2019-01-15,55.880001068115234
2019-01-16,56.869998931884766
2019-01-17,57.7400016784668
2019-01-18,58.72999954223633
2019-01-22,57.70000076293945
2019-01-23,57.279998779296875
2019-01-24,56.869998931884766
2019-01-25,58.099998474121094
2019-01-28,58.5
2019-01-29,60.130001068115234
2019-01-30,60.34000015258789
2019-01-31,61.2400016784668
2019-02-01,61.47999954223633
2019-02-04,62.099998474121094
2019-02-05,61.380001068115234
2019-02-06,60.439998626708984
2019-02-07,59.34000015258789
2019-02-08,59.81999969482422
2019-02-11,59.900001525878906
2019-02-12,61.58000183105469
2019-02-13,61.25
2019-02-14,59.72999954223633
2019-02-15,59.5
2019-02-19,59.88999938964844
2019-02-20,61.47999954223633
2019-02-21,61.060001373291016
2019-02-22,61.189998626708984
2019-02-25,61.459999084472656
2019-02-26,61.060001373291016
2019-02-27,60.900001525878906
2019-02-28,60.56999969482422
2019-03-01,60.369998931884766
2019-03-04,60.849998474121094
2019-03-05,60.369998931884766
2019-03-06,59.650001525878906
2019-03-07,59.0099983215332
2019-03-08,57.790000915527344
2019-03-11,58.970001220703125
2019-03-12,59.060001373291016
2019-03-13,59.5
2019-03-14,58.81999969482422
2019-03-15,58.529998779296875
2019-03-18,58.90999984741211
2019-03-19,58.970001220703125
2019-03-20,58.150001525878906
2019-03-21,58.81999969482422
2019-03-22,57.0
2019-03-25,56.880001068115234
2019-03-26,56.939998626708984
2019-03-27,57.58000183105469
2019-03-28,57.619998931884766
2019-03-29,58.349998474121094
2019-04-01,59.709999084472656
2019-04-02,59.4900016784668
2019-04-03,60.58000183105469
2019-04-04,60.70000076293945
2019-04-05,60.689998626708984
2019-04-08,60.47999954223633
2019-04-09,58.84000015258789
2019-04-10,58.22999954223633
2019-04-11,57.66999816894531
2019-04-12,58.540000915527344
2019-04-15,57.900001525878906
2019-04-16,58.220001220703125
2019-04-17,58.0
2019-04-18,57.5
2019-04-22,56.97999954223633
2019-04-23,58.619998931884766
2019-04-24,58.31999969482422
2019-04-25,57.400001525878906
2019-04-26,56.38999938964844
2019-04-29,56.880001068115234
2019-04-30,57.06999969482422
2019-05-01,55.849998474121094
2019-05-02,55.900001525878906
2019-05-03,57.650001525878906
2019-05-06,56.68000030517578
