Date,PH
2015-07-01,117.1500015258789
2015-07-02,116.30999755859375
2015-07-06,115.30999755859375
2015-07-07,115.6500015258789
2015-07-08,112.75
2015-07-09,113.01000213623047
2015-07-10,113.23999786376953
2015-07-13,113.88999938964844
2015-07-14,114.62000274658203
2015-07-15,113.04000091552734
2015-07-16,114.08999633789062
2015-07-17,113.19999694824219
2015-07-20,113.5999984741211
2015-07-21,112.06999969482422
2015-07-22,111.5
2015-07-23,110.91999816894531
2015-07-24,110.02999877929688
2015-07-27,109.16000366210938
2015-07-28,109.75
2015-07-29,111.7300033569336
2015-07-30,112.58000183105469
2015-07-31,112.75
2015-08-03,112.41000366210938
2015-08-04,107.9000015258789
2015-08-05,110.80000305175781
2015-08-06,111.0199966430664
2015-08-07,111.19999694824219
2015-08-10,114.79000091552734
2015-08-11,112.58999633789062
2015-08-12,113.2300033569336
2015-08-13,113.27999877929688
2015-08-14,113.66999816894531
2015-08-17,112.61000061035156
2015-08-18,112.75
2015-08-19,111.30000305175781
2015-08-20,108.16000366210938
2015-08-21,106.01000213623047
2015-08-24,102.6500015258789
2015-08-25,100.41999816894531
2015-08-26,103.08000183105469
2015-08-27,107.20999908447266
2015-08-28,106.9800033569336
2015-08-31,107.66000366210938
2015-09-01,105.68000030517578
2015-09-02,106.55999755859375
2015-09-03,105.27999877929688
2015-09-04,103.80000305175781
2015-09-08,107.01000213623047
2015-09-09,105.47000122070312
2015-09-10,105.1500015258789
2015-09-11,106.25
2015-09-14,104.94000244140625
2015-09-15,108.16999816894531
2015-09-16,108.8499984741211
2015-09-17,106.68000030517578
2015-09-18,101.94000244140625
2015-09-21,102.4800033569336
2015-09-22,101.72000122070312
2015-09-23,100.58999633789062
2015-09-24,97.91000366210938
2015-09-25,96.72000122070312
2015-09-28,94.87000274658203
2015-09-29,96.5
2015-09-30,97.30000305175781
2015-10-01,96.05000305175781
2015-10-02,98.13999938964844
2015-10-05,102.12999725341797
2015-10-06,102.4800033569336
2015-10-07,104.04000091552734
2015-10-08,106.80999755859375
2015-10-09,105.86000061035156
2015-10-12,106.33000183105469
2015-10-13,103.55999755859375
2015-10-14,102.30000305175781
2015-10-15,102.37000274658203
2015-10-16,100.62000274658203
2015-10-19,100.05000305175781
2015-10-20,102.13999938964844
2015-10-21,101.75
2015-10-22,100.7699966430664
2015-10-23,103.06999969482422
2015-10-26,101.79000091552734
2015-10-27,101.48999786376953
2015-10-28,102.9800033569336
2015-10-29,104.51000213623047
2015-10-30,104.69999694824219
2015-11-02,106.80000305175781
2015-11-03,107.12999725341797
2015-11-04,105.80000305175781
2015-11-05,106.19000244140625
2015-11-06,104.87000274658203
2015-11-09,102.5999984741211
2015-11-10,102.19999694824219
2015-11-11,102.56999969482422
2015-11-12,99.30999755859375
2015-11-13,99.8499984741211
2015-11-16,101.9000015258789
2015-11-17,100.87000274658203
2015-11-18,102.55000305175781
2015-11-19,103.70999908447266
2015-11-20,103.7300033569336
2015-11-23,103.27999877929688
2015-11-24,103.58999633789062
2015-11-25,103.75
2015-11-27,103.69999694824219
2015-11-30,104.66000366210938
2015-12-01,103.5
2015-12-02,101.94999694824219
2015-12-03,101.30999755859375
2015-12-04,102.44000244140625
2015-12-07,100.2300033569336
2015-12-08,97.75
2015-12-09,97.68000030517578
2015-12-10,98.0
2015-12-11,95.55999755859375
2015-12-14,95.48999786376953
2015-12-15,95.69000244140625
2015-12-16,98.72000122070312
