Date,FLT
2018-01-02,193.8699951171875
2018-01-03,194.9600067138672
2018-01-04,195.4600067138672
2018-01-05,197.0
2018-01-08,197.16000366210938
2018-01-09,196.91000366210938
2018-01-10,200.91000366210938
2018-01-11,202.5800018310547
2018-01-12,203.27000427246094
2018-01-16,201.8000030517578
2018-01-17,203.39999389648438
2018-01-18,203.25
2018-01-19,206.64999389648438
2018-01-22,206.77000427246094
2018-01-23,208.85000610351562
2018-01-24,207.8300018310547
2018-01-25,212.1199951171875
2018-01-26,212.02999877929688
2018-01-29,210.0
2018-01-30,209.58999633789062
2018-01-31,212.5
2018-02-01,211.25
2018-02-02,207.50999450683594
2018-02-05,200.33999633789062
2018-02-06,203.4499969482422
2018-02-07,203.32000732421875
2018-02-08,194.61000061035156
2018-02-09,189.9199981689453
2018-02-12,192.69000244140625
2018-02-13,194.1999969482422
2018-02-14,194.77000427246094
2018-02-15,196.36000061035156
2018-02-16,198.60000610351562
2018-02-20,199.4499969482422
2018-02-21,203.63999938964844
2018-02-22,204.07000732421875
2018-02-23,206.17999267578125
2018-02-26,203.9600067138672
2018-02-27,201.32000732421875
2018-02-28,199.92999267578125
2018-03-01,199.75
2018-03-02,201.4499969482422
2018-03-05,203.6999969482422
2018-03-06,203.4199981689453
2018-03-07,205.16000366210938
2018-03-08,206.52000427246094
2018-03-09,209.39999389648438
2018-03-12,208.69000244140625
2018-03-13,207.8000030517578
2018-03-14,207.89999389648438
2018-03-15,206.77999877929688
2018-03-16,209.00999450683594
2018-03-19,205.1300048828125
2018-03-20,208.2899932861328
2018-03-21,208.63999938964844
2018-03-22,202.83999633789062
2018-03-23,198.22999572753906
2018-03-26,202.19000244140625
2018-03-27,198.61000061035156
2018-03-28,196.6300048828125
2018-03-29,202.5
2018-04-02,198.16000366210938
2018-04-03,199.1300048828125
2018-04-04,199.2100067138672
2018-04-05,200.2100067138672
2018-04-06,196.33999633789062
2018-04-09,196.49000549316406
2018-04-10,200.19000244140625
2018-04-11,200.07000732421875
2018-04-12,200.67999267578125
2018-04-13,200.97999572753906
2018-04-16,202.8300018310547
2018-04-17,209.0500030517578
2018-04-18,210.88999938964844
2018-04-19,209.69000244140625
2018-04-20,208.9499969482422
2018-04-23,206.38999938964844
2018-04-24,205.75999450683594
2018-04-25,201.2899932861328
2018-04-26,206.05999755859375
2018-04-27,207.72999572753906
2018-04-30,207.27999877929688
2018-05-01,210.35000610351562
2018-05-02,210.47000122070312
2018-05-03,210.44000244140625
2018-05-04,200.0399932861328
2018-05-07,203.07000732421875
2018-05-08,203.25
2018-05-09,204.11000061035156
2018-05-10,204.24000549316406
2018-05-11,202.5800018310547
2018-05-14,202.3000030517578
