Date,CAG
2015-07-01,34.70817184448242
2015-07-02,34.67704391479492
2015-07-06,34.72373580932617
2015-07-07,35.400779724121094
2015-07-08,34.7470817565918
2015-07-09,34.645912170410156
2015-07-10,34.88716125488281
2015-07-13,34.80155563354492
2015-07-14,34.80155563354492
2015-07-15,34.57587432861328
2015-07-16,34.72373580932617
2015-07-17,34.583656311035156
2015-07-20,34.46692657470703
2015-07-21,34.25680923461914
2015-07-22,34.365760803222656
2015-07-23,34.24124526977539
2015-07-24,33.98443603515625
2015-07-27,33.875484466552734
2015-07-28,34.19455337524414
2015-07-29,34.342411041259766
2015-07-30,34.583656311035156
2015-07-31,34.28793716430664
2015-08-03,34.295719146728516
2015-08-04,34.37354278564453
2015-08-05,34.82490158081055
2015-08-06,34.99610900878906
2015-08-07,35.13618850708008
2015-08-10,35.01167297363281
2015-08-11,34.99610900878906
2015-08-12,34.7782096862793
2015-08-13,34.583656311035156
2015-08-14,35.21400833129883
2015-08-17,35.12062454223633
2015-08-18,34.89494323730469
2015-08-19,34.65369415283203
2015-08-20,34.202335357666016
2015-08-21,33.45525360107422
2015-08-24,32.28793716430664
2015-08-25,31.392995834350586
2015-08-26,32.521400451660156
2015-08-27,32.60700225830078
2015-08-28,32.474708557128906
2015-08-31,32.43579864501953
2015-09-01,31.80544662475586
2015-09-02,31.98443603515625
2015-09-03,32.46692657470703
2015-09-04,32.085601806640625
2015-09-08,32.48249053955078
2015-09-09,32.007781982421875
2015-09-10,32.023345947265625
2015-09-11,32.428016662597656
2015-09-14,32.171207427978516
2015-09-15,32.57587432861328
2015-09-16,33.05836486816406
2015-09-17,33.26848220825195
2015-09-18,32.85602951049805
2015-09-21,32.99610900878906
2015-09-22,30.661479949951172
2015-09-23,30.739299774169922
2015-09-24,31.961088180541992
2015-09-25,32.31906509399414
2015-09-28,31.45525360107422
2015-09-29,31.17509651184082
2015-09-30,31.525291442871094
2015-10-01,31.836576461791992
2015-10-02,32.552528381347656
2015-10-05,32.96498107910156
2015-10-06,32.614784240722656
2015-10-07,31.859922409057617
2015-10-08,32.505836486816406
2015-10-09,32.49805450439453
2015-10-12,32.7159538269043
2015-10-13,32.30350112915039
2015-10-14,31.688716888427734
2015-10-15,32.16342544555664
2015-10-16,32.443580627441406
2015-10-19,32.365760803222656
2015-10-20,31.961088180541992
2015-10-21,32.140079498291016
2015-10-22,32.98832702636719
2015-10-23,32.124515533447266
2015-10-26,32.19455337524414
2015-10-27,31.53307342529297
2015-10-28,31.47081756591797
2015-10-29,31.673152923583984
2015-10-30,31.556419372558594
2015-11-02,31.836576461791992
2015-11-03,31.875486373901367
2015-11-04,31.922178268432617
2015-11-05,32.10894775390625
2015-11-06,31.66537094116211
2015-11-09,32.155643463134766
2015-11-10,32.023345947265625
2015-11-11,31.821012496948242
2015-11-12,30.51361846923828
2015-11-13,30.22568130493164
2015-11-16,30.94941520690918
2015-11-17,30.63035011291504
2015-11-18,31.852140426635742
2015-11-19,31.98443603515625
2015-11-20,31.78988265991211
2015-11-23,32.365760803222656
2015-11-24,32.33462905883789
2015-11-25,32.381324768066406
2015-11-27,32.412452697753906
2015-11-30,31.852140426635742
2015-12-01,31.821012496948242
2015-12-02,31.75875473022461
2015-12-03,31.12840461730957
2015-12-04,32.023345947265625
2015-12-07,31.72762680053711
2015-12-08,31.56420135498047
2015-12-09,31.43968963623047
2015-12-10,31.377431869506836
2015-12-11,30.591440200805664
2015-12-14,30.57587432861328
2015-12-15,30.82490348815918
2015-12-16,31.750972747802734
2015-12-17,31.618677139282227
2015-12-18,31.587549209594727
2015-12-21,31.898832321166992
2015-12-22,32.24124526977539
2015-12-23,33.01167297363281
2015-12-24,32.78599166870117
2015-12-28,32.97276306152344
2015-12-29,33.22957229614258
2015-12-30,33.14397048950195
2015-12-31,32.8093376159668
2016-01-04,32.326847076416016
2016-01-05,32.350196838378906
2016-01-06,32.521400451660156
2016-01-07,31.408559799194336
2016-01-08,31.56420135498047
2016-01-11,31.276264190673828
2016-01-12,31.66537094116211
2016-01-13,30.762645721435547
2016-01-14,31.151750564575195
2016-01-15,30.381322860717773
2016-01-19,30.249027252197266
2016-01-20,30.116731643676758
2016-01-21,30.54474639892578
2016-01-22,31.322956085205078
2016-01-25,30.412450790405273
2016-01-26,30.739299774169922
2016-01-27,30.61478614807129
2016-01-28,31.214008331298828
2016-01-29,32.40467071533203
2016-02-01,32.66926193237305
2016-02-02,31.836576461791992
2016-02-03,32.007781982421875
2016-02-04,31.151750564575195
2016-02-05,30.653696060180664
2016-02-08,30.45136260986328
2016-02-09,30.894941329956055
2016-02-10,31.315174102783203
2016-02-11,31.330738067626953
2016-02-12,32.37354278564453
2016-02-16,32.505836486816406
2016-02-17,32.45136260986328
2016-02-18,32.49805450439453
2016-02-19,32.56031036376953
2016-02-22,32.614784240722656
2016-02-23,32.62256622314453
2016-02-24,32.66926193237305
2016-02-25,33.05836486816406
2016-02-26,32.7470817565918
2016-02-29,32.73151779174805
2016-03-01,33.08171081542969
2016-03-02,33.27626419067383
2016-03-03,33.53307342529297
2016-03-04,33.69649887084961
2016-03-07,33.33852005004883
2016-03-08,33.29182815551758
2016-03-09,33.657588958740234
2016-03-10,33.77431869506836
2016-03-11,34.13229751586914
2016-03-14,34.062255859375
2016-03-15,34.311283111572266
2016-03-16,34.171207427978516
2016-03-17,33.98443603515625
2016-03-18,33.66537094116211
2016-03-21,33.571983337402344
2016-03-22,33.416343688964844
2016-03-23,33.704280853271484
2016-03-24,34.295719146728516
2016-03-28,34.459144592285156
2016-03-29,34.583656311035156
2016-03-30,34.98054504394531
2016-03-31,34.72373580932617
2016-04-01,35.61089324951172
2016-04-04,35.33852005004883
2016-04-05,35.08949279785156
2016-04-06,35.354087829589844
2016-04-07,35.86770248413086
2016-04-08,35.9066162109375
2016-04-11,35.556419372558594
2016-04-12,36.038909912109375
2016-04-13,35.571983337402344
2016-04-14,35.19844436645508
2016-04-15,35.51750946044922
2016-04-18,35.525291442871094
2016-04-19,35.24513626098633
2016-04-20,35.32295608520508
2016-04-21,34.59143829345703
2016-04-22,34.69260787963867
2016-04-25,34.66926193237305
2016-04-26,34.70817184448242
2016-04-27,34.92607116699219
2016-04-28,34.7782096862793
2016-04-29,34.67704391479492
2016-05-02,34.94163513183594
2016-05-03,34.49805450439453
2016-05-04,34.84824752807617
2016-05-05,34.92607116699219
2016-05-06,35.01167297363281
2016-05-09,35.54863739013672
2016-05-10,36.062255859375
2016-05-11,35.66537094116211
2016-05-12,36.13229751586914
2016-05-13,35.704280853271484
2016-05-16,35.56420135498047
2016-05-17,34.76264572143555
2016-05-18,34.80155563354492
2016-05-19,34.80155563354492
2016-05-20,34.536964416503906
2016-05-23,34.505836486816406
2016-05-24,34.70038986206055
2016-05-25,34.80155563354492
2016-05-26,35.369651794433594
2016-05-27,35.24513626098633
2016-05-31,35.56420135498047
2016-06-01,35.56420135498047
2016-06-02,35.937744140625
2016-06-03,36.19455337524414
2016-06-06,36.0311279296875
2016-06-07,36.311283111572266
2016-06-08,36.37354278564453
2016-06-09,36.69260787963867
2016-06-10,36.536964416503906
2016-06-13,36.16342544555664
2016-06-14,36.280155181884766
2016-06-15,36.17898941040039
2016-06-16,36.60700225830078
2016-06-17,36.474708557128906
2016-06-20,36.63813018798828
2016-06-21,36.93385314941406
2016-06-22,36.88716125488281
2016-06-23,37.2840461730957
2016-06-24,36.536964416503906
2016-06-27,36.54474639892578
2016-06-28,36.65369415283203
2016-06-29,37.04280090332031
2016-06-30,37.20622634887695
2016-07-01,37.657588958740234
2016-07-05,37.14397048950195
2016-07-06,36.96498107910156
2016-07-07,37.14397048950195
2016-07-08,37.587547302246094
2016-07-11,37.43968963623047
2016-07-12,37.13618850708008
2016-07-13,37.494163513183594
2016-07-14,37.431907653808594
2016-07-15,37.33852005004883
2016-07-18,37.400779724121094
2016-07-19,37.17509841918945
2016-07-20,36.91828918457031
2016-07-21,36.57587432861328
2016-07-22,36.82490158081055
2016-07-25,36.86381149291992
2016-07-26,36.30350112915039
2016-07-27,35.782100677490234
2016-07-28,36.11673355102539
2016-07-29,36.38910675048828
2016-08-01,36.505836486816406
2016-08-02,36.37354278564453
2016-08-03,36.52918243408203
2016-08-04,36.428016662597656
2016-08-05,36.038909912109375
2016-08-08,36.30350112915039
2016-08-09,36.311283111572266
2016-08-10,36.07781982421875
2016-08-11,35.914398193359375
2016-08-12,36.249027252197266
2016-08-15,36.01556396484375
2016-08-16,35.64202117919922
2016-08-17,36.038909912109375
2016-08-18,36.46692657470703
2016-08-19,36.52918243408203
2016-08-22,36.614784240722656
2016-08-23,35.992218017578125
2016-08-24,35.976654052734375
2016-08-25,35.85213851928711
2016-08-26,35.828792572021484
2016-08-29,36.24124526977539
2016-08-30,36.054473876953125
2016-08-31,36.27237319946289
2016-09-01,35.813228607177734
2016-09-02,36.295719146728516
2016-09-06,36.11673355102539
2016-09-07,35.673152923583984
2016-09-08,34.92607116699219
2016-09-09,33.71206283569336
2016-09-12,34.599220275878906
2016-09-13,34.233463287353516
2016-09-14,34.101165771484375
2016-09-15,33.976654052734375
2016-09-16,33.657588958740234
2016-09-19,33.618675231933594
2016-09-20,33.22957229614258
2016-09-21,33.657588958740234
2016-09-22,33.92218017578125
2016-09-23,33.89105224609375
2016-09-26,33.494163513183594
2016-09-27,33.649803161621094
2016-09-28,33.56420135498047
2016-09-29,35.992218017578125
2016-09-30,36.66147994995117
2016-10-03,36.98832702636719
2016-10-04,36.95719909667969
2016-10-05,36.69260787963867
2016-10-06,36.66926193237305
2016-10-07,36.443580627441406
2016-10-10,36.8715934753418
2016-10-11,36.56031036376953
2016-10-12,36.7470817565918
2016-10-13,36.51361846923828
2016-10-14,37.00389099121094
2016-10-17,36.96498107910156
2016-10-18,37.649803161621094
