Date,TMK
2016-01-04,51.687530517578125
2016-01-05,52.32077026367188
2016-01-06,51.31126022338867
2016-01-07,50.44858169555664
2016-01-08,49.94380187988281
2016-01-11,49.96217346191406
2016-01-12,50.136531829833984
2016-01-13,49.11784744262695
2016-01-14,49.47576522827149
2016-01-15,48.594722747802734
2016-01-19,48.52130508422852
2016-01-20,47.41083908081055
2016-01-21,47.53931427001953
2016-01-22,48.73239517211914
2016-01-25,47.92477035522461
2016-01-26,48.54883193969727
2016-01-27,48.190895080566406
2016-01-28,48.64979934692383
2016-01-29,49.87039566040039
2016-02-01,49.861209869384766
2016-02-02,48.42034530639648
2016-02-03,47.94313430786133
2016-02-04,48.07162094116211
2016-02-05,48.47540664672852
2016-02-08,47.02537536621094
2016-02-09,46.90606689453125
2016-02-10,46.85100936889648
2016-02-11,44.584171295166016
2016-02-12,45.99747848510742
2016-02-16,46.8877067565918
2016-02-17,47.97983169555664
2016-02-18,47.78711700439453
2016-02-19,47.61273956298828
2016-02-22,48.17255783081055
2016-02-23,47.55767059326172
2016-02-24,46.47473907470703
2016-02-25,47.181396484375
2016-02-26,47.87887191772461
2016-02-29,47.00703430175781
2016-03-01,48.61307907104492
2016-03-02,49.044429779052734
2016-03-03,48.90675354003906
2016-03-04,49.044429779052734
2016-03-07,49.27384948730469
2016-03-08,48.282691955566406
2016-03-09,48.52130508422852
2016-03-10,48.56719207763672
2016-03-11,50.3109130859375
2016-03-14,50.2007942199707
2016-03-15,50.09065246582031
2016-03-16,50.47610092163086
2016-03-17,51.16440963745117
2016-03-18,51.12771224975586
2016-03-21,50.8799057006836
2016-03-22,50.57706451416016
2016-03-23,50.2007942199707
2016-03-24,49.67766571044922
2016-03-28,49.94380187988281
2016-03-29,49.78778839111328
2016-03-30,50.29254150390625
2016-03-31,49.832515716552734
2016-04-01,50.32016372680664
2016-04-04,49.74049758911133
2016-04-05,49.317264556884766
2016-04-06,49.65769958496094
2016-04-07,48.60879135131836
2016-04-08,49.12404251098633
2016-04-11,49.30805206298828
2016-04-12,50.384559631347656
2016-04-13,50.97343826293945
2016-04-14,51.01942825317383
2016-04-15,51.12065124511719
2016-04-18,51.34146499633789
2016-04-19,51.81991958618164
2016-04-20,52.445587158203125
2016-04-21,51.78310775756836
2016-04-22,52.5651969909668
2016-04-25,52.48238754272461
2016-04-26,52.60200119018555
2016-04-27,53.68771362304688
2016-04-28,53.38408279418945
2016-04-29,53.26447677612305
2016-05-02,53.35649490356445
2016-05-03,52.97003173828125
2016-05-04,53.19087219238281
2016-05-05,53.31968688964844
2016-05-06,53.49449920654297
2016-05-09,53.54970550537109
2016-05-10,54.092567443847656
2016-05-11,53.88093566894531
2016-05-12,53.87173080444336
2016-05-13,53.641719818115234
2016-05-16,53.83491516113281
2016-05-17,53.77051162719727
2016-05-18,54.902252197265625
2016-05-19,54.35939407348633
2016-05-20,54.856239318847656
2016-05-23,54.69063186645508
2016-05-24,55.69354248046875
2016-05-25,55.638328552246094
2016-05-26,55.58311462402344
2016-05-27,56.07076644897461
2016-05-31,56.70563888549805
2016-06-01,56.521629333496094
2016-06-02,56.59522247314453
2016-06-03,55.619930267333984
2016-06-06,56.01557159423828
2016-06-07,56.07076644897461
2016-06-08,56.26399612426758
2016-06-09,55.79475021362305
2016-06-10,55.37149429321289
