Date,SCG
2015-07-16,47.26880645751953
2015-07-17,46.8583869934082
2015-07-20,46.404296875
2015-07-21,46.07246398925781
2015-07-22,46.3082389831543
2015-07-23,45.66203689575195
2015-07-24,45.90654373168945
2015-07-27,46.57021713256836
2015-07-28,46.54401779174805
2015-07-29,47.0243034362793
2015-07-30,47.225154876708984
2015-07-31,47.853878021240234
2015-08-03,47.83641052246094
2015-08-04,47.29500961303711
2015-08-05,47.67923355102539
2015-08-06,48.28177261352539
2015-08-07,48.93671417236328
2015-08-10,48.648536682128906
2015-08-11,48.96290969848633
2015-08-12,49.582908630371094
2015-08-13,49.78377151489258
2015-08-14,50.002071380615234
2015-08-17,50.09812545776367
2015-08-18,49.818687438964844
2015-08-19,49.80122756958008
2015-08-20,49.574180603027344
2015-08-21,49.373329162597656
2015-08-24,47.033042907714844
2015-08-25,45.58345413208008
2015-08-26,46.692481994628906
2015-08-27,47.172752380371094
2015-08-28,47.085418701171875
2015-08-31,46.18598937988281
2015-09-01,44.94597625732422
2015-09-02,45.111900329589844
2015-09-03,45.251617431640625
2015-09-04,44.42202377319336
2015-09-08,45.3532829284668
2015-09-09,44.82366180419922
2015-09-10,44.5853271484375
2015-09-11,45.50333786010742
2015-09-14,45.635746002197266
2015-09-15,46.02413558959961
2015-09-16,46.19184875488281
2015-09-17,46.64202117919922
2015-09-18,46.2624626159668
2015-09-21,46.73030090332031
2015-09-22,46.29777145385742
2015-09-23,46.571407318115234
2015-09-24,47.0216064453125
2015-09-25,47.74540328979492
2015-09-28,47.70127487182617
2015-09-29,48.354469299316406
2015-09-30,49.66087341308594
2015-10-01,48.892913818359375
2015-10-02,49.51081085205078
2015-10-05,49.80210494995117
2015-10-06,49.16655731201172
2015-10-07,49.19303894042969
2015-10-08,49.819759368896484
2015-10-09,49.15773010253906
2015-10-12,49.793277740478516
2015-10-13,49.57260513305664
2015-10-14,49.51081085205078
2015-10-15,50.561222076416016
2015-10-16,51.09967041015625
2015-10-19,51.15264129638672
2015-10-20,51.373313903808594
2015-10-21,50.993751525878906
2015-10-22,51.69109344482422
2015-10-23,50.561222076416016
2015-10-26,50.35820770263672
2015-10-27,50.066917419433594
2015-10-28,50.04043197631836
2015-10-29,50.561222076416016
2015-10-30,52.273677825927734
2015-11-02,52.25602340698242
2015-11-03,52.026512145996094
2015-11-04,52.52965545654297
2015-11-05,52.37076950073242
2015-11-06,50.49060821533203
2015-11-09,50.86134719848633
2015-11-10,52.63557434082031
2015-11-11,53.05928039550781
2015-11-12,52.38842010498047
2015-11-13,51.991214752197266
2015-11-16,52.91804885864258
2015-11-17,51.80583953857422
2015-11-18,52.1324348449707
2015-11-19,52.962181091308594
2015-11-20,53.235816955566406
2015-11-23,52.573787689208984
2015-11-24,52.59143829345703
2015-11-25,52.01768112182617
2015-11-27,52.30015182495117
2015-11-30,52.20305252075195
2015-12-01,52.70619583129883
2015-12-02,51.60280990600586
