Date,TROW
2015-07-01,52.59722900390625
2015-07-02,52.36701965332031
2015-07-06,52.089385986328125
2015-07-07,52.28574752807617
2015-07-08,51.303955078125
2015-07-09,51.87270736694336
2015-07-10,52.42792892456055
2015-07-13,53.02378845214844
2015-07-14,52.87482833862305
2015-07-15,52.94255447387695
2015-07-16,53.836307525634766
2015-07-17,53.77536392211914
2015-07-20,53.72797775268555
2015-07-21,53.53839111328125
2015-07-22,53.314945220947266
2015-07-23,52.326385498046875
2015-07-24,52.0284423828125
2015-07-27,51.88625717163086
2015-07-28,52.2451286315918
2015-07-29,52.515987396240234
2015-07-30,52.4753303527832
2015-07-31,52.22480392456055
2015-08-03,52.29928970336914
2015-08-04,52.170650482177734
2015-08-05,51.78470230102539
2015-08-06,51.38521194458008
2015-08-07,51.351348876953125
2015-08-10,52.06232833862305
2015-08-11,51.58156967163086
2015-08-12,51.1008186340332
2015-08-13,51.34457015991211
2015-08-14,51.507080078125
2015-08-17,51.61540603637695
2015-08-18,51.68989562988281
2015-08-19,51.1008186340332
2015-08-20,50.058101654052734
2015-08-21,48.81222152709961
2015-08-24,47.16009521484375
2015-08-25,46.26632308959961
2015-08-26,47.94552993774414
2015-08-27,49.36067199707031
2015-08-28,49.022117614746094
2015-08-31,48.670021057128906
2015-09-01,46.97727584838867
2015-09-02,47.33613204956055
2015-09-03,47.64082717895508
2015-09-04,47.01791000366211
2015-09-08,48.17575454711914
2015-09-09,47.7017707824707
2015-09-10,48.02000427246094
2015-09-11,48.42927169799805
2015-09-14,48.142784118652344
2015-09-15,48.395164489746094
2015-09-16,48.89311981201172
2015-09-17,48.47021484375
2015-09-18,47.45387268066406
2015-09-21,47.8972282409668
2015-09-22,47.105995178222656
2015-09-23,46.976402282714844
2015-09-24,46.62852096557617
2015-09-25,47.14692306518555
2015-09-28,47.133277893066406
2015-09-29,46.56713104248047
2015-09-30,47.4061164855957
2015-10-01,46.785396575927734
2015-10-02,46.887725830078125
2015-10-05,48.258750915527344
2015-10-06,48.17689895629883
2015-10-07,49.09774398803711
2015-10-08,49.13865280151367
2015-10-09,48.77032470703125
2015-10-12,47.91087341308594
2015-10-13,47.167388916015625
2015-10-14,47.05142593383789
2015-10-15,47.88359069824219
2015-10-16,48.2928581237793
2015-10-19,47.92450714111328
2015-10-20,48.12232208251953
2015-10-21,47.50160598754883
2015-10-22,50.646087646484375
2015-10-23,50.74159622192383
2015-10-26,50.60517501831055
2015-10-27,50.44146728515625
2015-10-28,51.321388244628906
2015-10-29,51.416873931884766
2015-10-30,51.58058166503906
2015-11-02,51.96939468383789
2015-11-03,52.30362319946289
2015-11-04,51.96939468383789
2015-11-05,52.29680252075195
2015-11-06,52.4741325378418
2015-11-09,51.519195556640625
2015-11-10,51.94892501831055
2015-11-11,52.098976135253906
2015-11-12,51.32819747924805
2015-11-13,50.72113800048828
2015-11-16,51.38958740234375
2015-11-17,50.9803466796875
2015-11-18,52.17403030395508
2015-11-19,52.098976135253906
2015-11-20,52.09218215942383
2015-11-23,51.94209671020508
2015-11-24,51.58058166503906
2015-11-25,51.84660339355469
2015-11-27,51.80569076538086
2015-11-30,51.94209671020508
2015-12-01,52.17403030395508
2015-12-02,51.526023864746094
2015-12-03,51.273643493652344
2015-12-04,51.86025619506836
2015-12-07,51.26682662963867
2015-12-08,50.550601959228516
2015-12-09,49.90943145751953
2015-12-10,50.025390625
2015-12-11,48.2928581237793
