Date,CBOE
2017-01-03,73.01000213623047
2017-01-04,75.87999725341797
2017-01-05,75.08999633789062
2017-01-06,75.5
2017-01-09,74.52999877929688
2017-01-10,73.68000030517578
2017-01-11,73.94000244140625
2017-01-12,73.83000183105469
2017-01-13,75.0199966430664
2017-01-17,74.76000213623047
2017-01-18,75.29000091552734
2017-01-19,75.75
2017-01-20,76.63999938964844
2017-01-23,76.05000305175781
2017-01-24,76.79000091552734
2017-01-25,77.94999694824219
2017-01-26,77.97000122070312
2017-01-27,77.83000183105469
2017-01-30,77.87000274658203
2017-01-31,79.62000274658203
2017-02-01,78.44999694824219
2017-02-02,77.94000244140625
2017-02-03,78.13999938964844
2017-02-06,77.79000091552734
2017-02-07,79.19000244140625
2017-02-08,76.97000122070312
2017-02-09,78.12999725341797
2017-02-10,77.66999816894531
2017-02-13,79.0999984741211
2017-02-14,79.62000274658203
2017-02-15,80.16000366210938
2017-02-16,80.4000015258789
2017-02-17,80.94000244140625
2017-02-21,80.54000091552734
2017-02-22,80.54000091552734
2017-02-23,80.26000213623047
2017-02-24,79.69999694824219
2017-02-27,78.95999908447266
2017-02-28,78.05000305175781
2017-03-01,79.30000305175781
2017-03-02,78.25
2017-03-03,78.2699966430664
2017-03-06,77.98999786376953
2017-03-07,77.97000122070312
2017-03-08,78.38999938964844
2017-03-09,78.58000183105469
2017-03-10,79.62999725341797
2017-03-13,80.25
2017-03-14,80.37999725341797
2017-03-15,80.26000213623047
2017-03-16,80.44999694824219
2017-03-17,80.56999969482422
2017-03-20,80.51000213623047
2017-03-21,79.63999938964844
2017-03-22,79.7300033569336
2017-03-23,79.8499984741211
2017-03-24,79.44000244140625
2017-03-27,79.18000030517578
2017-03-28,79.13999938964844
2017-03-29,79.20999908447266
2017-03-30,80.0
2017-03-31,81.06999969482422
2017-04-03,80.66999816894531
2017-04-04,80.88999938964844
2017-04-05,80.41999816894531
2017-04-06,80.31999969482422
2017-04-07,81.08000183105469
2017-04-10,81.11000061035156
2017-04-11,80.58999633789062
2017-04-12,81.52999877929688
2017-04-13,81.29000091552734
2017-04-17,82.16000366210938
2017-04-18,81.93000030517578
2017-04-19,82.22000122070312
2017-04-20,83.0
2017-04-21,82.98999786376953
2017-04-24,83.83999633789062
2017-04-25,84.16000366210938
2017-04-26,83.62999725341797
2017-04-27,82.4000015258789
2017-04-28,82.41000366210938
2017-05-01,82.66000366210938
2017-05-02,82.9800033569336
2017-05-03,83.02999877929688
2017-05-04,82.9800033569336
2017-05-05,83.76000213623047
2017-05-08,82.26000213623047
2017-05-09,84.98999786376953
2017-05-10,84.83999633789062
2017-05-11,84.36000061035156
2017-05-12,84.06999969482422
