Date,SPG
2015-07-01,102.03761291503906
2015-07-02,102.01424407958984
2015-07-06,102.63320922851562
2015-07-07,104.3497314453125
2015-07-08,104.12783813476562
2015-07-09,103.99944305419922
2015-07-10,104.4198226928711
2015-07-13,104.69426727294922
2015-07-14,105.09124755859375
2015-07-15,105.92035675048828
2015-07-16,107.09977722167969
2015-07-17,106.8837661743164
2015-07-20,106.80786895751953
2015-07-21,106.1247329711914
2015-07-22,106.48674011230469
2015-07-23,105.90287780761719
2015-07-24,107.8121109008789
2015-07-27,108.46604919433594
2015-07-28,108.81053924560547
2015-07-29,108.8747787475586
2015-07-30,108.6821060180664
2015-07-31,109.31266021728516
2015-08-03,109.99579620361328
2015-08-04,110.0892333984375
2015-08-05,110.17679595947266
2015-08-06,110.87744140625
2015-08-07,111.9225845336914
2015-08-10,110.44538879394531
2015-08-11,111.84082794189453
2015-08-12,112.11527252197266
2015-08-13,112.28009033203125
2015-08-14,112.82750701904297
2015-08-17,113.9223403930664
2015-08-18,114.65225219726562
2015-08-19,113.71631622314453
2015-08-20,113.13945770263672
2015-08-21,111.82096862792969
2015-08-24,107.17082977294922
2015-08-25,104.23947143554688
2015-08-26,107.1119613647461
2015-08-27,109.3251724243164
2015-08-28,108.49524688720703
2015-08-31,105.55210876464844
2015-09-01,103.01509857177734
2015-09-02,104.26300048828125
2015-09-03,104.72801208496094
2015-09-04,102.962158203125
2015-09-08,104.50433349609375
2015-09-09,102.7738037109375
2015-09-10,103.04456329345703
2015-09-11,105.44612884521484
2015-09-14,105.32843017578125
2015-09-15,106.58808898925781
2015-09-16,107.96546173095703
2015-09-17,108.82481384277344
2015-09-18,108.30687713623047
2015-09-21,109.36052703857422
2015-09-22,107.8594970703125
2015-09-23,108.01251983642578
2015-09-24,106.6763687133789
2015-09-25,107.59461975097656
2015-09-28,106.0465316772461
2015-09-29,107.3826904296875
2015-09-30,108.14208984375
2015-10-01,109.42524719238281
2015-10-02,110.355224609375
2015-10-05,112.90399169921875
2015-10-06,112.85692596435547
2015-10-07,114.32258605957031
2015-10-08,114.7522964477539
2015-10-09,114.82881927490234
2015-10-12,115.74710083007812
2015-10-13,114.75819396972656
2015-10-14,114.25196075439453
2015-10-15,116.3062515258789
2015-10-16,116.90074920654297
2015-10-19,119.24940490722656
2015-10-20,118.98448944091797
2015-10-21,119.63201141357422
2015-10-22,120.56791687011719
2015-10-23,119.51425170898438
2015-10-26,119.70849609375
2015-10-27,121.36844635009766
2015-10-28,121.08589172363281
2015-10-29,120.30888366699219
2015-10-30,118.58426666259766
2015-11-02,121.12120056152344
2015-11-03,120.02050018310547
2015-11-04,119.9262466430664
2015-11-05,119.49072265625
2015-11-06,114.72286224365234
2015-11-09,112.7274169921875
2015-11-10,114.46391296386719
2015-11-11,113.93412017822266
2015-11-12,113.4117660522461
2015-11-13,110.59844207763672
2015-11-16,111.37007904052734
2015-11-17,110.88928985595703
2015-11-18,112.91321563720703
2015-11-19,113.38801574707031
2015-11-20,114.09437561035156
2015-11-23,113.4177474975586
2015-11-24,111.13265228271484
2015-11-25,111.87454223632812
2015-11-27,112.77079772949219
2015-11-30,110.53910827636719
2015-12-01,111.97545623779297
2015-12-02,108.6279296875
2015-12-03,107.83854675292969
2015-12-04,111.20384979248047
2015-12-07,111.48279571533203
2015-12-08,111.5600357055664
2015-12-09,111.13859558105469
2015-12-10,109.82096862792969
2015-12-11,109.56575775146484
2015-12-14,110.37884521484375
2015-12-15,112.59272766113281
2015-12-16,114.753173828125
2015-12-17,114.83035278320312
2015-12-18,113.07943725585938
2015-12-21,113.86287689208984
2015-12-22,114.3139877319336
2015-12-23,115.16268920898438
2015-12-24,115.35265350341797
2015-12-28,115.1924057006836
2015-12-29,116.20734405517578
2015-12-30,115.83341217041016
2015-12-31,115.40605926513672
2016-01-04,114.1596450805664
2016-01-05,116.4328384399414
2016-01-06,116.14799499511719
2016-01-07,113.69670867919922
2016-01-08,110.45600891113281
2016-01-11,110.81807708740234
2016-01-12,110.12361907958984
2016-01-13,109.36988067626953
2016-01-14,110.19485473632812
2016-01-15,109.31048583984375
2016-01-19,110.63408660888672
2016-01-20,107.21533966064453
2016-01-21,108.43798065185547
2016-01-22,111.18010711669922
2016-01-25,109.89213562011719
2016-01-26,112.8539047241211
2016-01-27,110.42037963867188
2016-01-28,110.86550903320312
2016-01-29,110.56283569335938
2016-02-01,111.54217529296875
2016-02-02,110.46190643310547
2016-02-03,111.76181030273438
2016-02-04,111.33446502685547
2016-02-05,109.19775390625
2016-02-08,108.30742645263672
2016-02-09,106.20035552978516
2016-02-10,108.52405548095703
2016-02-11,108.69178771972656
2016-02-12,109.91349029541016
2016-02-16,111.60234069824219
2016-02-17,112.05750274658203
2016-02-18,113.34512329101562
2016-02-19,113.45893859863281
2016-02-22,113.44690704345703
2016-02-23,113.59662628173828
2016-02-24,113.29122161865234
2016-02-25,114.95011901855469
2016-02-26,114.02782440185547
2016-02-29,113.62660217285156
2016-03-01,116.51924133300781
2016-03-02,116.95637512207031
2016-03-03,118.22604370117188
2016-03-04,118.89078521728516
2016-03-07,119.5675277709961
2016-03-08,118.39371490478516
2016-03-09,118.4416275024414
2016-03-10,118.59132385253906
2016-03-11,120.56168365478516
2016-03-14,119.2321548461914
2016-03-15,119.5615234375
2016-03-16,120.10055541992188
2016-03-17,122.84940338134766
2016-03-18,122.74761199951172
2016-03-21,121.57380676269531
2016-03-22,121.1965103149414
2016-03-23,120.67547607421875
2016-03-24,120.63956451416016
2016-03-28,121.61573791503906
2016-03-29,123.93341064453125
2016-03-30,123.2087631225586
2016-03-31,124.38261413574219
2016-04-01,125.22705078125
2016-04-04,125.0234146118164
2016-04-05,123.99925994873047
2016-04-06,124.96344757080078
2016-04-07,123.84357452392578
2016-04-08,124.02925109863281
2016-04-11,123.7776870727539
2016-04-12,124.63410949707031
2016-04-13,124.35261535644531
2016-04-14,124.53828430175781
2016-04-15,124.49039459228516
2016-04-18,125.20906829833984
2016-04-19,124.72391510009766
2016-04-20,122.00499725341797
2016-04-21,119.35191345214844
2016-04-22,121.05877685546875
2016-04-25,121.9750747680664
2016-04-26,122.1427230834961
2016-04-27,122.51406860351562
2016-04-28,121.96904754638672
2016-04-29,120.47785949707031
2016-05-02,122.484130859375
2016-05-03,122.74761199951172
2016-05-04,124.34062194824219
2016-05-05,124.83173370361328
2016-05-06,126.2570571899414
2016-05-09,127.58658599853516
2016-05-10,128.1136474609375
2016-05-11,121.7175521850586
2016-05-12,122.19659423828125
2016-05-13,118.60508728027344
2016-05-16,120.3495864868164
2016-05-17,117.98941802978516
2016-05-18,116.79425811767578
2016-05-19,117.01156616210938
2016-05-20,117.78417205810547
2016-05-23,118.15843200683594
2016-05-24,119.29326629638672
2016-05-25,118.36360931396484
2016-05-26,118.99140930175781
2016-05-27,119.37772369384766
2016-05-31,119.29927825927734
2016-06-01,119.67349243164062
2016-06-02,119.15438842773438
2016-06-03,120.41594696044922
2016-06-06,119.9210433959961
2016-06-07,120.42802429199219
2016-06-08,121.59907531738281
2016-06-09,121.71981048583984
2016-06-10,120.88072204589844
2016-06-13,121.7680435180664
2016-06-14,122.42603302001953
2016-06-15,123.2710952758789
2016-06-16,124.47228240966797
2016-06-17,124.27909088134766
2016-06-20,124.92500305175781
2016-06-21,125.81229400634766
2016-06-22,125.90888214111328
2016-06-23,126.210693359375
2016-06-24,124.6473388671875
2016-06-27,125.5226058959961
2016-06-28,128.62518310546875
2016-06-29,129.73582458496094
2016-06-30,130.92498779296875
2016-07-01,131.06985473632812
2016-07-05,132.93505859375
2016-07-06,131.31126403808594
2016-07-07,130.1342315673828
2016-07-08,132.53060913085938
2016-07-11,133.84652709960938
2016-07-12,133.6774444580078
2016-07-13,135.3555450439453
2016-07-14,134.10606384277344
2016-07-15,134.5708465576172
2016-07-18,134.1724395751953
2016-07-19,134.6251678466797
2016-07-20,134.75192260742188
2016-07-21,135.33139038085938
2016-07-22,135.995361328125
2016-07-25,135.5004119873047
2016-07-26,135.51246643066406
2016-07-27,133.8223876953125
2016-07-28,135.2529296875
2016-07-29,137.04566955566406
2016-08-01,137.3836669921875
2016-08-02,134.9752197265625
2016-08-03,134.19056701660156
2016-08-04,132.56680297851562
2016-08-05,132.62115478515625
2016-08-08,132.778076171875
2016-08-09,133.1764678955078
2016-08-10,132.18051147460938
2016-08-11,129.5064697265625
2016-08-12,129.9108428955078
2016-08-15,130.2211151123047
2016-08-16,128.69432067871094
2016-08-17,130.15423583984375
2016-08-18,130.3853759765625
2016-08-19,128.89508056640625
2016-08-22,129.2539825439453
2016-08-23,128.93768310546875
2016-08-24,130.3184814453125
2016-08-25,131.1153106689453
2016-08-26,130.0264892578125
2016-08-29,131.20045471191406
2016-08-30,131.32821655273438
2016-08-31,131.06663513183594
2016-09-01,131.40121459960938
2016-09-02,131.8087615966797
2016-09-06,132.70291137695312
2016-09-07,133.1834259033203
2016-09-08,132.05201721191406
2016-09-09,127.67848205566406
2016-09-12,129.126220703125
2016-09-13,125.86579895019531
2016-09-14,126.38890075683594
2016-09-15,126.468017578125
2016-09-16,126.966796875
2016-09-19,127.48997497558594
2016-09-20,126.94248962402344
2016-09-21,128.2685089111328
2016-09-22,129.86219787597656
2016-09-23,129.86219787597656
2016-09-26,130.63475036621094
2016-09-27,129.52159118652344
2016-09-28,129.32693481445312
2016-09-29,126.26726531982422
2016-09-30,125.9205322265625
2016-10-03,122.77574157714844
2016-10-04,120.96913146972656
2016-10-05,119.0530776977539
2016-10-06,119.51534271240234
2016-10-07,119.71604919433594
2016-10-10,120.13578796386719
2016-10-11,118.94962310791016
2016-10-12,120.99958038330078
2016-10-13,120.92045593261719
2016-10-14,119.8255615234375
2016-10-17,120.12969970703125
2016-10-18,120.70758819580078
2016-10-19,120.71974182128906
2016-10-20,119.98980712890625
2016-10-21,119.55792999267578
2016-10-24,119.83773803710938
2016-10-25,119.99589538574219
2016-10-26,114.58824920654297
2016-10-27,111.45561981201172
2016-10-28,111.24270629882812
2016-10-31,113.11622619628906
2016-11-01,111.46775817871094
2016-11-02,109.29620361328125
2016-11-03,109.08328247070312
2016-11-04,109.6611557006836
2016-11-07,110.66483306884766
2016-11-08,111.46775817871094
2016-11-09,109.96532440185547
2016-11-10,110.8838119506836
2016-11-11,111.07848358154297
2016-11-14,113.92049407958984
2016-11-15,113.08564758300781
2016-11-16,112.29383850097656
2016-11-17,110.90654754638672
2016-11-18,110.99866485595703
2016-11-21,110.29276275634766
2016-11-22,111.45903778076172
2016-11-23,110.95568084716797
2016-11-25,111.28716278076172
2016-11-28,111.3055648803711
2016-11-29,111.90100860595703
2016-11-30,110.27434539794922
2016-12-01,108.53722381591797
2016-12-02,110.09630584716797
2016-12-05,110.95568084716797
2016-12-06,110.55668640136719
2016-12-07,112.79104614257812
2016-12-08,112.73580932617188
2016-12-09,112.59459686279297
2016-12-12,114.24583435058594
2016-12-13,115.0499267578125
2016-12-14,111.27488708496094
2016-12-15,110.48916625976562
2016-12-16,111.28102111816406
2016-12-19,112.10358428955078
2016-12-20,112.3183822631836
2016-12-21,109.36589050292969
2016-12-22,108.18119049072266
2016-12-23,108.00320434570312
2016-12-27,108.00932312011719
2016-12-28,106.92900085449219
2016-12-29,108.0216064453125
2016-12-30,109.0589599609375
2017-01-03,112.097412109375
2017-01-04,112.99359893798828
2017-01-05,113.1900405883789
2017-01-06,114.68163299560547
2017-01-09,114.11686706542969
2017-01-10,113.06114959716797
2017-01-11,111.71070098876953
2017-01-12,112.38592529296875
2017-01-13,112.95064544677734
2017-01-17,113.76091003417969
2017-01-18,114.52201080322266
2017-01-19,112.28157043457031
2017-01-20,113.26982116699219
2017-01-23,113.558349609375
2017-01-24,113.03045654296875
2017-01-25,111.96239471435547
2017-01-26,111.77210235595703
2017-01-27,110.18843078613281
2017-01-30,109.1019287109375
2017-01-31,112.80331420898438
2017-02-01,111.42832946777344
2017-02-02,112.30615997314453
2017-02-03,113.76091003417969
2017-02-06,111.7598648071289
2017-02-07,109.9122085571289
2017-02-08,110.86978149414062
2017-02-09,111.71070098876953
2017-02-10,112.863525390625
2017-02-13,112.59701538085938
2017-02-14,112.14456176757812
2017-02-15,110.65705108642578
2017-02-16,111.05375671386719
2017-02-17,112.237548828125
2017-02-21,114.76005554199219
2017-02-22,114.4749526977539
2017-02-23,114.6547622680664
2017-02-24,114.2208480834961
2017-02-27,115.4852294921875
2017-02-28,114.28905487060547
2017-03-01,113.12383270263672
2017-03-02,112.26852416992188
2017-03-03,111.19010925292969
2017-03-06,110.8182144165039
2017-03-07,109.88233947753906
2017-03-08,108.27088928222656
2017-03-09,104.94261932373047
2017-03-10,104.22984313964844
2017-03-13,104.55213165283203
2017-03-14,103.64727020263672
2017-03-15,105.36405181884766
2017-03-16,104.99219512939453
2017-03-17,104.13687133789062
2017-03-20,104.1926498413086
