Date,COL
2016-01-04,87.3167715984
2016-01-05,89.2241768032
2016-01-06,87.5961390274
2016-01-07,86.0451681285
2016-01-08,83.9161956524
2016-01-11,84.1377629237
2016-01-12,85.5538667879
2016-01-13,83.9932625294
2016-01-14,84.157029643
2016-01-15,82.7023923403
2016-01-19,82.480825069
2016-01-20,81.8257566148
2016-01-21,82.6542255422
2016-01-22,81.3440886338
2016-01-25,77.5292782242
2016-01-26,79.4174167098
2016-01-27,76.8838431296
2016-01-28,78.193980038
2016-01-29,77.914612609
2016-02-01,78.5600477036
2016-02-02,76.0264741234
2016-02-03,75.9783073253
2016-02-04,77.4522113472
2016-02-05,78.2903136342
2016-02-08,78.193980038
2016-02-09,77.7893789339
2016-02-10,76.6526424987
2016-02-11,75.7471066944
2016-02-12,78.3107060909
2016-02-16,80.1003886884
2016-02-17,81.5514826863
2016-02-18,82.4124651251
2016-02-19,83.263773604
2016-02-22,85.2856312411
2016-02-23,86.1949834799
2016-02-24,85.4307406409
2016-02-25,85.7499813205
2016-02-26,85.5565021208
2016-02-29,84.7148676019
2016-03-01,85.9724824002
2016-03-02,85.8563948803
2016-03-03,86.2917230797
2016-03-04,86.7367252391
2016-03-07,86.1659615999
2016-03-08,85.0534562015
2016-03-09,85.4791104409
2016-03-10,84.9470426416
2016-03-11,86.843138799
2016-03-14,86.6786814792
2016-03-15,86.2046574399
2016-03-16,87.4525982781
2016-03-17,88.3329286369
2016-03-18,88.6424953565
2016-03-21,89.6485871951
2016-03-22,89.4357600754
2016-03-23,88.6811911964
2016-03-24,88.274884877
2016-03-28,88.971409996
2016-03-29,89.1939110757
2016-03-30,89.4938038353
2016-03-31,89.2035850357
2016-04-01,89.7646747149
2016-04-04,89.3196725555
2016-04-05,88.4006463568
2016-04-06,89.1552152357
2016-04-07,88.7005391164
2016-04-08,88.5264078366
2016-04-11,88.226515077
2016-04-12,88.2168411171
2016-04-13,89.7743486749
2016-04-14,90.0645674745
2016-04-15,91.0029415932
2016-04-18,91.3608781127
2016-04-19,90.6353311137
2016-04-20,90.9255499133
2016-04-21,86.2143313998
2016-04-22,87.0753138386
2016-04-25,86.3207449597
2016-04-26,86.823790879
2016-04-27,87.6944472778
2016-04-28,86.804442959
2016-04-29,85.3146531211
2016-05-02,86.3884626796
2016-05-03,86.4174845596
2016-05-04,86.2820491198
2016-05-05,87.0366179987
2016-05-06,87.7815129177
2016-05-09,87.6364035179
2016-05-10,88.6618432764
2016-05-11,87.4816201581
2016-05-12,86.833464839
2016-05-13,86.1926274601
2016-05-16,87.4354635888
2016-05-17,87.9889140524
2016-05-18,86.6489813511
2016-05-19,85.8139508271
2016-05-20,86.6392716939
2016-05-23,85.6391769965
2016-05-24,86.2800143754
2016-05-25,86.1829178028
2016-05-26,86.2411757464
2016-05-27,86.4256592342
2016-05-31,85.8333701416
2016-06-01,86.037272944
2016-06-02,85.959595686
2016-06-03,85.0274685894
2016-06-06,85.9110473997
