Date,MPWR
2021-01-04,364.82000732421875
2021-01-05,370.55999755859375
2021-01-06,358.6000061035156
2021-01-07,381.25
2021-01-08,387.4100036621094
2021-01-11,392.4599914550781
2021-01-12,391.5199890136719
2021-01-13,388.2200012207031
2021-01-14,386.20001220703125
2021-01-15,379.2300109863281
2021-01-19,391.32000732421875
2021-01-20,396.4200134277344
2021-01-21,403.17999267578125
2021-01-22,396.9100036621094
2021-01-25,391.32000732421875
2021-01-26,383.25
2021-01-27,351.75
2021-01-28,367.9800109863281
2021-01-29,355.2900085449219
2021-02-01,367.92999267578125
2021-02-02,374.57000732421875
2021-02-03,366.0199890136719
2021-02-04,367.6000061035156
2021-02-05,359.510009765625
2021-02-08,368.6199951171875
2021-02-09,379.1600036621094
2021-02-10,373.739990234375
2021-02-11,384.6700134277344
2021-02-12,385.9200134277344
2021-02-16,387.9599914550781
2021-02-17,380.2799987792969
2021-02-18,375.8800048828125
2021-02-19,393.75
2021-02-22,372.6600036621094
2021-02-23,371.6600036621094
2021-02-24,387.8599853515625
2021-02-25,362.5899963378906
2021-02-26,374.5199890136719
2021-03-01,389.04998779296875
2021-03-02,370.5799865722656
2021-03-03,354.80999755859375
2021-03-04,327.9700012207031
2021-03-05,332.9100036621094
2021-03-08,302.04998779296875
2021-03-09,323.8599853515625
2021-03-10,323.4100036621094
2021-03-11,337.6000061035156
2021-03-12,331.0
2021-03-15,341.6400146484375
2021-03-16,342.6499938964844
2021-03-17,352.20001220703125
2021-03-18,335.760009765625
2021-03-19,343.17999267578125
2021-03-22,348.239990234375
2021-03-23,336.70001220703125
2021-03-24,330.989990234375
2021-03-25,331.5799865722656
2021-03-26,350.9700012207031
2021-03-29,340.5400085449219
2021-03-30,342.5899963378906
2021-03-31,353.2099914550781
2021-04-01,367.5199890136719
2021-04-05,378.0799865722656
2021-04-06,374.5400085449219
2021-04-07,373.1199951171875
2021-04-08,378.3699951171875
2021-04-09,376.8699951171875
2021-04-12,373.9200134277344
2021-04-13,376.5199890136719
2021-04-14,369.9200134277344
2021-04-15,381.57000732421875
2021-04-16,378.6199951171875
2021-04-19,369.6000061035156
