Date,HRL
2015-07-01,21.562721252441406
2015-07-02,21.513525009155273
2015-07-06,21.275117874145508
2015-07-07,21.702739715576172
2015-07-08,21.536230087280273
2015-07-09,21.653545379638672
2015-07-10,21.687604904174805
2015-07-13,22.028182983398438
2015-07-14,22.081165313720703
2015-07-15,21.89573860168457
2015-07-16,22.176984786987305
2015-07-17,21.8995304107666
2015-07-20,21.990755081176758
2015-07-21,21.83872413635254
2015-07-22,21.952747344970703
2015-07-23,21.914743423461914
2015-07-24,21.876737594604492
2015-07-27,21.823522567749023
2015-07-28,22.22259521484375
2015-07-29,22.3480167388916
2015-07-30,22.55325698852539
2015-07-31,22.50384521484375
2015-08-03,22.58746337890625
2015-08-04,22.918121337890625
2015-08-05,23.10814666748047
2015-08-06,22.910524368286133
2015-08-07,22.891517639160156
2015-08-10,23.13096046447754
2015-08-11,22.978931427001953
2015-08-12,23.142362594604492
2015-08-13,22.994129180908203
2015-08-14,23.263978958129883
2015-08-17,23.313390731811523
2015-08-18,22.994129180908203
2015-08-19,23.26778793334961
2015-08-20,24.168548583984375
2015-08-21,23.328594207763672
2015-08-24,22.549453735351562
2015-08-25,22.34041404724121
2015-08-26,22.97513198852539
2015-08-27,23.328594207763672
2015-08-28,23.37419891357422
2015-08-31,23.22217559814453
2015-09-01,22.671077728271484
2015-09-02,23.047346115112305
2015-09-03,23.252580642700195
2015-09-04,23.058744430541992
2015-09-08,23.59844207763672
2015-09-09,23.206974029541016
2015-09-10,23.187969207763672
2015-09-11,23.45781898498535
2015-09-14,23.332393646240234
2015-09-15,23.5566349029541
2015-09-16,23.875898361206055
2015-09-17,23.628843307495117
2015-09-18,23.214574813842773
2015-09-21,23.26778793334961
2015-09-22,22.929527282714844
2015-09-23,23.070144653320312
2015-09-24,23.260181427001953
2015-09-25,23.63644790649414
2015-09-28,23.35519790649414
2015-09-29,23.480621337890625
2015-09-30,24.062124252319336
2015-10-01,24.02412223815918
2015-10-02,24.392786026000977
2015-10-05,24.833662033081055
2015-10-06,24.240758895874023
2015-10-07,24.328174591064453
2015-10-08,24.75385093688965
2015-10-09,24.86406707763672
2015-10-12,25.236534118652344
2015-10-13,25.042699813842773
2015-10-14,24.590421676635742
2015-10-15,24.75830078125
2015-10-16,25.143661499023438
2015-10-19,25.30771827697754
2015-10-20,25.158926010131836
2015-10-21,25.41455078125
2015-10-22,26.131855010986328
2015-10-23,26.070804595947266
2015-10-26,25.799911499023438
2015-10-27,25.50230598449707
2015-10-28,25.80372428894043
2015-10-29,25.880035400390625
2015-10-30,25.77320671081543
2015-11-02,25.76175308227539
2015-11-03,25.857141494750977
2015-11-04,25.64728355407715
2015-11-05,25.79228401184082
2015-11-06,25.422182083129883
2015-11-09,25.406925201416016
2015-11-10,25.58624267578125
2015-11-11,25.700708389282227
