Date,TXN
2015-07-01,38.62204360961914
2015-07-02,38.66667938232422
2015-07-06,38.235164642333984
2015-07-07,38.101226806640625
2015-07-08,36.851280212402344
2015-07-09,35.79477310180664
2015-07-10,36.464385986328125
2015-07-13,36.702476501464844
2015-07-14,37.02239990234375
2015-07-15,36.82152557373047
2015-07-16,36.72479248046875
2015-07-17,36.72479248046875
2015-07-20,37.26792526245117
2015-07-21,37.372093200683594
2015-07-22,36.68015670776367
2015-07-23,37.58042907714844
2015-07-24,36.47926330566406
2015-07-27,36.47926330566406
2015-07-28,37.26047134399414
2015-07-29,37.42528533935547
2015-07-30,37.63503646850586
2015-07-31,37.440277099609375
2015-08-03,37.52267074584961
2015-08-04,37.33539962768555
2015-08-05,38.099483489990234
2015-08-06,37.64253616333008
2015-08-07,37.69496154785156
2015-08-10,39.01339340209961
2015-08-11,37.93468475341797
2015-08-12,38.28675842285156
2015-08-13,37.92719268798828
2015-08-14,37.93468475341797
2015-08-17,38.12945556640625
2015-08-18,37.38784408569336
2015-08-19,36.8559684753418
2015-08-20,35.53005599975586
2015-08-21,34.42887878417969
2015-08-24,33.62732696533203
2015-08-25,32.60104751586914
2015-08-26,34.01686477661133
2015-08-27,35.25288391113281
2015-08-28,35.949562072753906
2015-08-31,35.83718490600586
2015-09-01,34.71352767944336
2015-09-02,35.47011947631836
2015-09-03,35.55253982543945
2015-09-04,34.85586166381836
2015-09-08,36.47392654418945
2015-09-09,35.66489791870117
2015-09-10,35.515071868896484
2015-09-11,35.63493728637695
2015-09-14,35.82969665527344
2015-09-15,36.181793212890625
2015-09-16,36.48142623901367
2015-09-17,36.06941223144531
2015-09-18,35.80720901489258
2015-09-21,35.545047760009766
2015-09-22,34.91579055786133
2015-09-23,34.89332580566406
2015-09-24,35.02066421508789
2015-09-25,35.335289001464844
2015-09-28,35.17049026489258
2015-09-29,35.60495376586914
2015-09-30,37.09567642211914
2015-10-01,36.286651611328125
2015-10-02,36.53385925292969
2015-10-05,37.552642822265625
2015-10-06,37.79985427856445
2015-10-07,38.23432540893555
2015-10-08,38.593902587890625
2015-10-09,38.10698318481445
2015-10-12,38.45906448364258
2015-10-13,38.136959075927734
2015-10-14,39.440391540527344
2015-10-15,39.27558517456055
2015-10-16,39.38044357299805
2015-10-19,39.432899475097656
2015-10-20,39.27558517456055
2015-10-21,38.87856674194336
2015-10-22,43.51551818847656
2015-10-23,44.18221664428711
2015-10-26,44.054874420166016
2015-10-27,43.76272964477539
2015-10-28,44.23774337768555
2015-10-29,42.65433120727539
2015-10-30,42.767417907714844
2015-11-02,42.971004486083984
2015-11-03,43.09165573120117
2015-11-04,42.940853118896484
2015-11-05,43.280155181884766
2015-11-06,43.45357131958008
2015-11-09,43.13688659667969
2015-11-10,43.001163482666016
2015-11-11,43.43095016479492
2015-11-12,42.72971725463867
2015-11-13,42.32255935668945
2015-11-16,42.888057708740234
2015-11-17,43.03133773803711
2015-11-18,43.7024040222168
2015-11-19,43.69486618041992
2015-11-20,43.82304763793945
2015-11-23,43.24244689941406
2015-11-24,43.61945724487305
2015-11-25,43.18212890625
