Date,ANDV
2015-07-01,82.1230239868164
2015-07-02,84.59950256347656
2015-07-06,84.87776184082031
2015-07-07,85.98151397705078
2015-07-08,85.04471588134766
2015-07-09,86.64006042480469
2015-07-10,91.2684097290039
2015-07-13,92.71533203125
2015-07-14,91.5837631225586
2015-07-15,90.6283950805664
2015-07-16,95.34024810791016
2015-07-17,94.73735046386719
2015-07-20,92.37215423583984
2015-07-21,91.66724395751953
2015-07-22,92.52986145019531
2015-07-23,91.30552673339844
2015-07-24,91.76927947998047
2015-07-27,90.0718994140625
2015-07-28,90.69332885742188
2015-07-29,90.6748046875
2015-07-30,89.25568389892578
2015-07-31,90.28522491455078
2015-08-03,89.81219482421875
2015-08-04,89.80291748046875
2015-08-05,91.00869750976562
2015-08-06,93.93041229248047
2015-08-07,94.63533020019531
2015-08-10,99.57902526855469
2015-08-11,101.4990234375
2015-08-12,101.45262145996094
2015-08-13,96.84282684326172
2015-08-14,94.68170166015625
2015-08-17,96.69442749023438
2015-08-18,97.99297332763672
2015-08-19,97.34368896484375
2015-08-20,94.57039642333984
2015-08-21,86.8255615234375
2015-08-24,83.44937133789062
2015-08-25,82.25286102294922
2015-08-26,85.59224700927734
2015-08-27,84.5475082397461
2015-08-28,87.1779556274414
2015-08-31,85.82543182373047
2015-09-01,83.68936157226562
2015-09-02,86.24518585205078
2015-09-03,86.61830139160156
2015-09-04,85.83475494384766
2015-09-08,89.52857971191406
2015-09-09,89.81774139404297
2015-09-10,90.29347229003906
2015-09-11,89.15546417236328
2015-09-14,86.94477844238281
2015-09-15,87.7842788696289
2015-09-16,86.59030151367188
2015-09-17,87.5697250366211
2015-09-18,86.79552459716797
2015-09-21,87.3831787109375
2015-09-22,88.01746368408203
2015-09-23,92.32694244384766
2015-09-24,93.65150451660156
2015-09-25,94.70552825927734
2015-09-28,91.76725006103516
2015-09-29,91.72063446044922
2015-09-30,90.7038803100586
2015-10-01,93.54888153076172
2015-10-02,94.71485900878906
2015-10-05,97.80237579345703
2015-10-06,96.17000579833984
2015-10-07,96.04874420166016
2015-10-08,97.3919448852539
2015-10-09,96.44984436035156
2015-10-12,96.66436767578125
2015-10-13,93.34367370605469
2015-10-14,92.33625793457031
2015-10-15,96.55243682861328
2015-10-16,97.83969116210938
2015-10-19,95.64764404296875
2015-10-20,94.12721252441406
2015-10-21,93.50224304199219
2015-10-22,94.70552825927734
2015-10-23,96.66436767578125
2015-10-26,96.48715209960938
2015-10-27,97.4665756225586
2015-10-28,98.20346069335938
2015-10-29,101.6640853881836
2015-10-30,99.74256896972656
2015-11-02,103.8654556274414
2015-11-03,104.96615600585938
2015-11-04,106.87836456298828
2015-11-05,107.64324951171875
2015-11-06,106.04820251464844
2015-11-09,105.1060791015625
2015-11-10,107.36339569091797
2015-11-11,106.87836456298828
2015-11-12,104.11731719970703
2015-11-13,104.1546401977539
2015-11-16,105.8056640625
2015-11-17,105.82430267333984
2015-11-18,106.1041488647461
2015-11-19,106.14146423339844
2015-11-20,106.74777221679688
2015-11-23,109.68604278564453
2015-11-24,110.29235076904297
2015-11-25,109.88017272949219
2015-11-27,109.80524444580078
2015-11-30,107.8849105834961
2015-12-01,110.35791015625
2015-12-02,105.61799621582031
2015-12-03,103.25740051269531
