Date,DVN
2015-07-01,39.41878128051758
2015-07-02,39.51436996459961
2015-07-06,38.701820373535156
2015-07-07,39.138832092285156
2015-07-08,37.93025207519531
2015-07-09,38.1965446472168
2015-07-10,38.13508605957031
2015-07-13,37.82783126831055
2015-07-14,38.333091735839844
2015-07-15,37.4454460144043
2015-07-16,37.1245231628418
2015-07-17,36.626068115234375
2015-07-20,35.390193939208984
2015-07-21,35.56088638305664
2015-07-22,34.91904067993164
2015-07-23,34.932701110839844
2015-07-24,33.730953216552734
2015-07-27,33.341739654541016
2015-07-28,34.13380813598633
2015-07-29,34.94636535644531
2015-07-30,34.55715560913086
2015-07-31,33.74461364746094
2015-08-03,33.02082443237305
2015-08-04,33.28029251098633
2015-08-05,32.05805206298828
2015-08-06,32.97985076904297
2015-08-07,31.6893367767334
2015-08-10,32.69307327270508
2015-08-11,32.29703903198242
2015-08-12,32.69307327270508
2015-08-13,31.416215896606445
2015-08-14,31.450347900390625
2015-08-17,31.6893367767334
2015-08-18,31.559608459472656
2015-08-19,30.494415283203125
2015-08-20,29.231216430664062
2015-08-21,28.05677604675293
2015-08-24,26.001510620117188
2015-08-25,25.01143455505371
2015-08-26,26.25414276123047
2015-08-27,27.84510040283203
2015-08-28,28.814693450927734
2015-08-31,29.1287899017334
2015-09-01,27.537841796875
2015-09-02,27.80413246154785
2015-09-03,27.879236221313477
2015-09-04,27.40810203552246
2015-09-08,27.653915405273438
2015-09-09,27.100831985473633
2015-09-10,27.305681228637695
2015-09-11,26.680564880371094
2015-09-14,26.728654861450195
2015-09-15,26.907257080078125
2015-09-16,28.19869613647461
2015-09-17,28.033838272094727
2015-09-18,27.32628059387207
2015-09-21,27.7041072845459
2015-09-22,27.133943557739258
2015-09-23,26.20658302307129
2015-09-24,26.51571273803711
2015-09-25,26.42640495300293
2015-09-28,25.2448787689209
2015-09-29,25.02505111694336
2015-09-30,25.478435516357422
2015-10-01,25.931808471679688
2015-10-02,27.972002029418945
2015-10-05,29.483259201049805
2015-10-06,30.05341911315918
2015-10-07,30.128982543945312
2015-10-08,30.685396194458008
2015-10-09,31.076953887939453
2015-10-12,30.21828842163086
2015-10-13,30.032821655273438
2015-10-14,30.671663284301758
2015-10-15,31.372343063354492
2015-10-16,31.89442253112793
2015-10-19,31.10442352294922
2015-10-20,31.386077880859375
2015-10-21,30.156461715698242
2015-10-22,30.74036407470703
2015-10-23,30.884614944458008
2015-10-26,29.393962860107422
2015-10-27,28.301734924316406
2015-10-28,28.549036026000977
2015-10-29,28.191818237304688
