Date,VLO
2015-07-01,42.37934494018555
2015-07-02,42.54368209838867
2015-07-06,42.951229095458984
2015-07-07,42.49766159057617
2015-07-08,42.0572395324707
2015-07-09,42.1427001953125
2015-07-10,43.28648376464844
2015-07-13,43.95698928833008
2015-07-14,43.588863372802734
2015-07-15,42.852638244628906
2015-07-16,44.34479522705078
2015-07-17,44.66034698486328
2015-07-20,43.7597770690918
2015-07-21,43.595428466796875
2015-07-22,43.825504302978516
2015-07-23,43.20103073120117
2015-07-24,43.18788528442383
2015-07-27,42.32017517089844
2015-07-28,42.77374267578125
2015-07-29,43.4113883972168
2015-07-30,42.221580505371094
2015-07-31,43.39237594604492
2015-08-03,42.77060317993164
2015-08-04,42.618465423583984
2015-08-05,42.876434326171875
2015-08-06,43.445308685302734
2015-08-07,43.2733039855957
2015-08-10,45.641387939453125
2015-08-11,46.587276458740234
2015-08-12,46.42852783203125
2015-08-13,46.09117126464844
2015-08-14,45.059288024902344
2015-08-17,46.11763381958008
2015-08-18,45.95226287841797
2015-08-19,44.89390563964844
2015-08-20,44.483802795410156
2015-08-21,40.44221878051758
2015-08-24,38.70917510986328
2015-08-25,38.107234954833984
2015-08-26,38.927467346191406
2015-08-27,38.59672546386719
2015-08-28,39.02668380737305
2015-08-31,39.2515869140625
2015-09-01,37.96833038330078
2015-09-02,39.03329086303711
2015-09-03,39.29127502441406
2015-09-04,38.669490814208984
2015-09-08,40.23716354370117
2015-09-09,40.7729606628418
2015-09-10,41.63948440551758
2015-09-11,41.61302947998047
2015-09-14,40.1710319519043
2015-09-15,40.64067077636719
2015-09-16,39.886592864990234
2015-09-17,40.07841873168945
2015-09-18,39.62861633300781
2015-09-21,39.48310089111328
2015-09-22,39.172210693359375
2015-09-23,39.5690803527832
2015-09-24,39.555850982666016
2015-09-25,40.22394943237305
2015-09-28,38.28583526611328
2015-09-29,38.854705810546875
2015-09-30,39.75429916381836
2015-10-01,41.16984939575195
2015-10-02,41.73870849609375
2015-10-05,42.717681884765625
2015-10-06,42.294342041015625
2015-10-07,42.72428894042969
2015-10-08,43.46513366699219
2015-10-09,42.466312408447266
2015-10-12,42.66476821899414
2015-10-13,41.116920471191406
2015-10-14,40.60097885131836
2015-10-15,41.8974494934082
2015-10-16,42.168678283691406
2015-10-19,40.63404846191406
2015-10-20,39.74106979370117
2015-10-21,39.22511291503906
2015-10-22,39.92628479003906
2015-10-23,40.84572982788086
2015-10-26,40.944942474365234
2015-10-27,41.31536102294922
2015-10-28,41.95037078857422
2015-10-29,43.531280517578125
2015-10-30,43.604042053222656
2015-11-02,44.9997444152832
2015-11-03,46.03825378417969
2015-11-04,47.03044891357422
2015-11-05,47.579471588134766
2015-11-06,47.59269714355469
2015-11-09,46.626953125
2015-11-10,47.175987243652344
2015-11-11,47.076744079589844
2015-11-12,45.91258239746094
2015-11-13,45.614906311035156
2015-11-16,46.08455276489258
2015-11-17,46.30283737182617
2015-11-18,46.739410400390625
2015-11-19,47.392269134521484
2015-11-20,47.951873779296875
2015-11-23,48.418190002441406
2015-11-24,48.651363372802734
2015-11-25,48.584754943847656
2015-11-27,48.59140396118164
2015-11-30,47.87192916870117
2015-12-01,48.34492111206055
2015-12-02,47.7586669921875
2015-12-03,46.62616729736328
2015-12-04,47.55882263183594
2015-12-07,47.15910720825195
2015-12-08,46.98590850830078
2015-12-09,46.552886962890625
2015-12-10,47.55214309692383
2015-12-11,44.97402572631836
2015-12-14,45.00069046020508
2015-12-15,45.50697708129883
2015-12-16,46.76605987548828
2015-12-17,47.75201416015625
2015-12-18,46.65281677246094
2015-12-21,47.37228775024414
2015-12-22,47.618778228759766
2015-12-23,47.85194778442383
2015-12-24,47.91855239868164
2015-12-28,47.04585266113281
2015-12-29,47.35895538330078
2015-12-30,47.685394287109375
2015-12-31,47.105812072753906
2016-01-04,46.592857360839844
2016-01-05,47.40560531616211
2016-01-06,47.07250213623047
2016-01-07,48.025146484375
2016-01-08,45.47366714477539
2016-01-11,46.013275146484375
2016-01-12,47.42558288574219
2016-01-13,43.321895599365234
2016-01-14,44.84744644165039
2016-01-15,44.24122619628906
2016-01-19,44.32783508300781
2016-01-20,43.621665954589844
2016-01-21,42.25600814819336
2016-01-22,45.20718002319336
2016-01-25,43.395164489746094
2016-01-26,45.10726547241211
2016-01-27,43.961421966552734
2016-01-28,42.995460510253906
2016-01-29,45.21384048461914
2016-02-01,45.766788482666016
2016-02-02,43.488433837890625
2016-02-03,40.59720993041992
2016-02-04,41.16345977783203
2016-02-05,38.425514221191406
2016-02-08,36.878257751464844
2016-02-09,36.878257751464844
2016-02-10,36.91862869262695
2016-02-11,37.38279342651367
2016-02-12,38.84931564331055
2016-02-16,38.58022689819336
2016-02-17,38.862770080566406
2016-02-18,37.37608337402344
2016-02-19,38.378414154052734
2016-02-22,39.474945068359375
2016-02-23,38.67441177368164
2016-02-24,40.77328872680664
2016-02-25,40.827091217041016
2016-02-26,40.13420867919922
2016-02-29,40.416751861572266
2016-03-01,41.432552337646484
2016-03-02,41.762176513671875
2016-03-03,42.94615173339844
2016-03-04,42.97978210449219
2016-03-07,42.54924392700195
2016-03-08,41.93035125732422
2016-03-09,43.59196472167969
2016-03-10,43.17487716674805
2016-03-11,43.97540283203125
2016-03-14,43.3161506652832
2016-03-15,43.6861457824707
2016-03-16,44.358856201171875
2016-03-17,43.17487716674805
2016-03-18,43.834144592285156
2016-03-21,44.298309326171875
2016-03-22,44.44632339477539
2016-03-23,43.65923309326172
2016-03-24,44.29158020019531
2016-03-28,43.88795852661133
2016-03-29,43.914859771728516
2016-03-30,43.04033660888672
2016-03-31,43.147979736328125
2016-04-01,42.32053756713867
2016-04-04,42.57616424560547
2016-04-05,42.475257873535156
2016-04-06,41.49308776855469
2016-04-07,41.47962951660156
2016-04-08,42.42144775390625
2016-04-11,40.86073303222656
2016-04-12,40.9683723449707
2016-04-13,42.0783576965332
2016-04-14,41.41237258911133
2016-04-15,40.01984405517578
2016-04-18,40.84054946899414
2016-04-19,40.43693542480469
2016-04-20,40.51091384887695
2016-04-21,40.80018997192383
2016-04-22,41.19709014892578
2016-04-25,41.55363845825195
2016-04-26,41.58054733276367
2016-04-27,41.83616638183594
2016-04-28,40.975093841552734
2016-04-29,39.60274887084961
2016-05-02,40.24183654785156
2016-05-03,38.76860427856445
2016-05-04,37.772972106933594
2016-05-05,37.40970993041992
2016-05-06,37.24153137207031
2016-05-09,36.985897064208984
2016-05-10,37.67207336425781
2016-05-11,37.58462142944336
2016-05-12,36.85136032104492
2016-05-13,37.0733528137207
2016-05-16,37.127166748046875
2016-05-17,37.16752624511719
2016-05-18,37.968048095703125
2016-05-19,37.26845169067383
2016-05-20,37.759521484375
