Date,GWW
2015-07-01,199.38491821289062
2015-07-02,198.3741455078125
2015-07-06,197.00112915039062
2015-07-07,199.62086486816406
2015-07-08,197.43911743164062
2015-07-09,198.5426025390625
2015-07-10,199.2164764404297
2015-07-13,200.47994995117188
2015-07-14,196.49569702148438
2015-07-15,194.3982696533203
2015-07-16,195.72915649414062
2015-07-17,196.57147216796875
2015-07-20,198.0371856689453
2015-07-21,193.69068908691406
2015-07-22,189.2767333984375
2015-07-23,190.52342224121094
2015-07-24,190.17803955078125
2015-07-27,190.2623291015625
2015-07-28,190.32974243164062
2015-07-29,191.18043518066406
2015-07-30,189.53790283203125
2015-07-31,192.65460205078125
2015-08-03,189.4031219482422
2015-08-04,190.48126220703125
2015-08-05,191.25628662109375
2015-08-06,191.4171905517578
2015-08-07,191.32398986816406
2015-08-10,195.5067901611328
2015-08-11,193.0936279296875
2015-08-12,195.09190368652344
2015-08-13,191.23934936523438
2015-08-14,190.3248291015625
2015-08-17,191.74734497070312
2015-08-18,191.9759979248047
2015-08-19,191.01919555664062
2015-08-20,189.69830322265625
2015-08-21,186.15054321289062
2015-08-24,180.48602294921875
2015-08-25,180.6215057373047
2015-08-26,184.30470275878906
2015-08-27,189.44432067871094
2015-08-28,189.01248168945312
2015-08-31,189.1903076171875
2015-09-01,185.2106475830078
2015-09-02,188.84310913085938
2015-09-03,186.86178588867188
2015-09-04,184.9228057861328
2015-09-08,190.7398223876953
2015-09-09,188.70765686035156
2015-09-10,188.48751831054688
2015-09-11,187.91172790527344
2015-09-14,184.70265197753906
2015-09-15,187.9963836669922
2015-09-16,188.3350830078125
2015-09-17,185.15147399902344
2015-09-18,181.40896606445312
2015-09-21,181.40896606445312
2015-09-22,180.0626678466797
2015-09-23,178.55548095703125
2015-09-24,180.66383361816406
2015-09-25,181.00254821777344
2015-09-28,179.30914306640625
2015-09-29,179.444580078125
2015-09-30,182.0524444580078
2015-10-01,177.3531494140625
2015-10-02,182.1709747314453
2015-10-05,186.1251678466797
2015-10-06,189.43582153320312
2015-10-07,192.9158477783203
2015-10-08,195.96400451660156
2015-10-09,194.06732177734375
2015-10-12,190.58734130859375
2015-10-13,188.54681396484375
2015-10-14,187.5053253173828
2015-10-15,187.65771484375
2015-10-16,175.8206329345703
2015-10-19,171.00277709960938
2015-10-20,170.82498168945312
2015-10-21,170.7572021484375
2015-10-22,177.31927490234375
2015-10-23,175.98992919921875
2015-10-26,174.66064453125
2015-10-27,171.42616271972656
2015-10-28,175.5157928466797
2015-10-29,176.35403442382812
2015-10-30,177.81039428710938
2015-11-02,178.7672576904297
2015-11-03,178.69944763183594
2015-11-04,178.3607940673828
2015-11-05,178.61624145507812
2015-11-06,180.66822814941406
2015-11-09,177.73924255371094
2015-11-10,179.60394287109375
2015-11-11,179.80821228027344
2015-11-12,170.14431762695312
2015-11-13,167.7432403564453
2015-11-16,168.8246307373047
2015-11-17,164.5503387451172
2015-11-18,168.799072265625
2015-11-19,168.8501434326172
2015-11-20,169.59938049316406
2015-11-23,168.63729858398438
2015-11-24,168.97784423828125
2015-11-25,169.16513061523438
2015-11-27,169.9910888671875
2015-11-30,170.74887084960938
2015-12-01,171.68544006347656
2015-12-02,169.91444396972656
2015-12-03,169.26730346679688
2015-12-04,171.02130126953125
2015-12-07,168.9523162841797
2015-12-08,166.08294677734375
2015-12-09,164.43109130859375
2015-12-10,165.58058166503906
2015-12-11,162.48133850097656
2015-12-14,165.29107666015625
2015-12-15,165.67425537109375
2015-12-16,167.55593872070312
2015-12-17,165.90414428710938
2015-12-18,165.1207733154297
2015-12-21,167.19833374023438
2015-12-22,171.94937133789062
2015-12-23,175.05718994140625
2015-12-24,174.929443359375
2015-12-28,174.0098876953125
2015-12-29,175.00607299804688
2015-12-30,174.29090881347656
2015-12-31,172.4943084716797
2016-01-04,172.09417724609375
2016-01-05,170.0166778564453
2016-01-06,169.48020935058594
2016-01-07,167.845458984375
2016-01-08,165.85305786132812
2016-01-11,161.0253448486328
2016-01-12,159.7737274169922
2016-01-13,158.02825927734375
2016-01-14,160.88914489746094
2016-01-15,161.28074645996094
2016-01-19,158.8626708984375
2016-01-20,155.62716674804688
2016-01-21,157.96865844726562
2016-01-22,159.41612243652344
