Date,HOOD
2025-07-01,92.33000183105469
2025-07-02,97.9800033569336
2025-07-03,94.4000015258789
2025-07-07,93.45999908447266
2025-07-08,91.2699966430664
2025-07-09,94.54000091552734
2025-07-10,98.69999694824219
2025-07-11,98.33999633789062
2025-07-14,99.95999908447266
2025-07-15,99.54000091552734
2025-07-16,103.25
2025-07-17,105.44999694824219
2025-07-18,109.73999786376953
2025-07-21,104.33999633789062
2025-07-22,101.8499984741211
2025-07-23,102.08000183105469
2025-07-24,101.93000030517578
2025-07-25,104.8499984741211
2025-07-28,106.7699966430664
2025-07-29,103.31999969482422
2025-07-30,106.0999984741211
2025-07-31,103.05000305175781
2025-08-01,99.9000015258789
2025-08-04,106.37000274658203
2025-08-05,105.45999908447266
2025-08-06,105.6500015258789
2025-08-07,111.2300033569336
2025-08-08,114.62999725341797
2025-08-11,113.62000274658203
2025-08-12,114.08999633789062
2025-08-13,108.62000274658203
2025-08-14,110.70999908447266
2025-08-15,114.16999816894531
2025-08-18,115.0199966430664
2025-08-19,107.5
2025-08-20,105.33999633789062
2025-08-21,106.30000305175781
2025-08-22,109.31999969482422
2025-08-25,107.94000244140625
2025-08-26,108.80000305175781
2025-08-27,102.91999816894531
2025-08-28,103.69000244140625
2025-08-29,104.02999877929688
2025-09-02,100.83999633789062
2025-09-03,100.81999969482422
2025-09-04,102.91000366210938
2025-09-05,101.25
2025-09-08,117.27999877929688
2025-09-09,118.5
2025-09-10,117.45999908447266
2025-09-11,117.75
2025-09-12,115.02999877929688
2025-09-15,114.83000183105469
2025-09-16,117.37999725341797
2025-09-17,118.63999938964844
2025-09-18,120.91000366210938
2025-09-19,124.77999877929688
2025-09-22,124.88999938964844
2025-09-23,126.19999694824219
2025-09-24,126.80000305175781
2025-09-25,122.6500015258789
2025-09-26,121.77999877929688
2025-09-29,136.72000122070312
2025-09-30,143.17999267578125
2025-10-01,139.13999938964844
2025-10-02,145.6999969482422
2025-10-03,148.6699981689453
2025-10-06,144.25999450683594
2025-10-07,145.0
2025-10-08,150.8699951171875
2025-10-09,152.4600067138672
2025-10-10,138.9600067138672
2025-10-13,140.67999267578125
2025-10-14,134.9499969482422
2025-10-15,134.14999389648438
2025-10-16,131.44000244140625
2025-10-17,129.91000366210938
2025-10-20,135.8000030517578
2025-10-21,131.83999633789062
2025-10-22,127.22000122070312
2025-10-23,134.3300018310547
2025-10-24,139.7899932861328
2025-10-27,145.86000061035156
2025-10-28,146.25
2025-10-29,144.8000030517578
2025-10-30,138.07000732421875
2025-10-31,146.77999877929688
2025-11-03,147.0800018310547
2025-11-04,136.8000030517578
2025-11-05,142.47999572753906
2025-11-06,127.08000183105469
2025-11-07,130.36000061035156
2025-11-10,135.8800048828125
2025-11-11,131.92999267578125
2025-11-12,132.97999572753906
2025-11-13,121.52999877929688
2025-11-14,122.5
2025-11-17,115.97000122070312
2025-11-18,114.30000305175781
2025-11-19,118.16000366210938
2025-11-20,106.20999908447266
2025-11-21,107.30000305175781
2025-11-24,114.97000122070312
2025-11-25,115.56999969482422
2025-11-26,128.1999969482422
2025-11-28,128.49000549316406
2025-12-01,123.23999786376953
2025-12-02,125.94999694824219
2025-12-03,133.63999938964844
2025-12-04,137.0800018310547
2025-12-05,131.9499969482422
2025-12-08,136.42999267578125
2025-12-09,135.7100067138672
2025-12-10,135.66000366210938
2025-12-11,123.37999725341797
2025-12-12,119.5
2025-12-15,115.26000213623047
2025-12-16,119.4000015258789
2025-12-17,115.80000305175781
2025-12-18,117.16000366210938
2025-12-19,121.3499984741211
2025-12-22,122.37000274658203
2025-12-23,120.23999786376953
2025-12-24,120.44000244140625
2025-12-26,118.12999725341797
2025-12-29,117.43000030517578
2025-12-30,115.44999694824219
