Date,APTV
2015-07-01,72.08717346191406
2015-07-02,72.07879638671875
2015-07-06,71.08969116210938
2015-07-07,70.44425964355469
2015-07-08,65.57418060302734
2015-07-09,65.33110046386719
2015-07-10,66.38726043701172
2015-07-13,67.04945373535156
2015-07-14,67.24224853515625
2015-07-15,67.66136169433594
2015-07-16,64.37552642822266
2015-07-17,65.33110046386719
2015-07-20,65.4400634765625
2015-07-21,65.69991302490234
2015-07-22,64.9622802734375
2015-07-23,65.23051452636719
2015-07-24,64.84493255615234
2015-07-27,63.17686462402344
2015-07-28,64.8365478515625
2015-07-29,65.71668243408203
2015-07-30,64.9622802734375
2015-07-31,65.44844818115234
2015-08-03,64.67728424072266
2015-08-04,65.23051452636719
2015-08-05,64.95389556884766
2015-08-06,64.85330963134766
2015-08-07,66.37887573242188
2015-08-10,68.0301742553711
2015-08-11,65.1383056640625
2015-08-12,63.98155975341797
2015-08-13,64.56831359863281
2015-08-14,63.88935470581055
2015-08-17,65.14669036865234
2015-08-18,65.25566101074219
2015-08-19,64.54316711425781
2015-08-20,62.539817810058594
2015-08-21,60.410728454589844
2015-08-24,59.11148452758789
2015-08-25,58.86840057373047
2015-08-26,61.5842399597168
2015-08-27,62.891868591308594
2015-08-28,63.16010284423828
2015-08-31,63.30259704589844
2015-09-01,60.377201080322266
2015-09-02,61.00586700439453
2015-09-03,61.4082145690918
2015-09-04,60.360435485839844
2015-09-08,63.32774353027344
2015-09-09,63.4283332824707
2015-09-10,63.06789779663086
2015-09-11,64.04023742675781
2015-09-14,63.98155975341797
2015-09-15,64.70243072509766
2015-09-16,66.7560806274414
2015-09-17,66.39563751220703
2015-09-18,65.0880126953125
2015-09-21,64.7359619140625
2015-09-22,62.39731979370117
2015-09-23,62.11232376098633
2015-09-24,61.089691162109375
2015-09-25,61.4082145690918
2015-09-28,58.985748291015625
2015-09-29,61.139984130859375
2015-09-30,63.73847579956055
2015-10-01,64.9119873046875
2015-10-02,65.3646240234375
2015-10-05,65.90946960449219
2015-10-06,65.43168640136719
2015-10-07,66.83989715576172
2015-10-08,67.81224060058594
2015-10-09,68.64208221435547
