Date,ARE
2015-07-01,60.537841796875
2015-07-02,60.5106086730957
2015-07-06,61.109840393066406
2015-07-07,61.97467803955078
2015-07-08,61.95424270629883
2015-07-09,61.34138870239258
2015-07-10,61.72952651977539
2015-07-13,61.87252426147461
2015-07-14,62.15855026245117
2015-07-15,62.29472351074219
2015-07-16,62.92802429199219
2015-07-17,62.5262565612793
2015-07-20,62.66926193237305
2015-07-21,62.757789611816406
2015-07-22,63.4115104675293
2015-07-23,62.560306549072266
2015-07-24,62.996131896972656
2015-07-27,63.08464813232422
2015-07-28,63.08464813232422
2015-07-29,63.7315559387207
2015-07-30,63.05740737915039
2015-07-31,63.13232421875
2015-08-03,64.14013671875
2015-08-04,63.574951171875
2015-08-05,63.023380279541016
2015-08-06,62.79864501953125
2015-08-07,63.06422805786133
2015-08-10,62.757789611816406
2015-08-11,62.9484748840332
2015-08-12,62.7850227355957
2015-08-13,62.83270263671875
2015-08-14,63.847320556640625
2015-08-17,64.54873657226562
2015-08-18,64.60321044921875
2015-08-19,64.39208221435547
2015-08-20,64.32401275634766
2015-08-21,62.805450439453125
2015-08-24,60.04754638671875
2015-08-25,58.47450637817383
2015-08-26,59.6185302734375
2015-08-27,60.11564254760742
2015-08-28,60.224605560302734
2015-08-31,58.556217193603516
2015-09-01,57.364559173583984
2015-09-02,58.11358642578125
2015-09-03,58.154457092285156
2015-09-04,56.79253387451172
2015-09-08,57.50754165649414
2015-09-09,57.35091018676758
2015-09-10,57.45988464355469
2015-09-11,58.71965408325195
2015-09-14,58.958011627197266
2015-09-15,59.69343566894531
2015-09-16,60.46293258666992
2015-09-17,60.98047637939453
2015-09-18,60.551429748535156
2015-09-21,60.84427261352539
2015-09-22,59.4550895690918
2015-09-23,60.98047637939453
2015-09-24,60.42889404296875
2015-09-25,59.86370086669922
2015-09-28,58.702674865722656
2015-09-29,58.819454193115234
2015-09-30,58.166839599609375
2015-10-01,58.04317855834961
2015-10-02,58.846954345703125
2015-10-05,60.220916748046875
2015-10-06,60.20029830932617
2015-10-07,60.71554946899414
2015-10-08,62.3299674987793
2015-10-09,61.7872428894043
