Date,DLR
2015-07-01,46.76376724243164
2015-07-02,47.07114791870117
2015-07-06,47.0164909362793
2015-07-07,47.153114318847656
2015-07-08,46.989173889160156
2015-07-09,46.40172576904297
2015-07-10,47.22142028808594
2015-07-13,46.73643493652344
2015-07-14,47.084808349609375
2015-07-15,46.135318756103516
2015-07-16,46.47003173828125
2015-07-17,46.26511001586914
2015-07-20,46.29926681518555
2015-07-21,45.4249153137207
2015-07-22,45.28829574584961
2015-07-23,44.605224609375
2015-07-24,44.53690719604492
2015-07-27,44.40713119506836
2015-07-28,43.99728012084961
2015-07-29,44.25001525878906
2015-07-30,44.15437316894531
2015-07-31,43.901641845703125
2015-08-03,44.16121292114258
2015-08-04,44.625701904296875
2015-08-05,44.40713119506836
2015-08-06,44.53690719604492
2015-08-07,44.58473205566406
2015-08-10,44.236358642578125
2015-08-11,44.58473205566406
2015-08-12,44.80331802368164
2015-08-13,45.14485168457031
2015-08-14,45.62985610961914
2015-08-17,45.82793045043945
2015-08-18,45.88257598876953
2015-08-19,45.70498275756836
2015-08-20,45.541038513183594
2015-08-21,45.04922866821289
2015-08-24,42.95216369628906
2015-08-25,42.214439392089844
2015-08-26,43.22538375854492
2015-08-27,44.18853759765625
2015-08-28,44.40713119506836
2015-08-31,43.252716064453125
2015-09-01,42.02316665649414
2015-09-02,42.726749420166016
2015-09-03,43.17074966430664
2015-09-04,42.45351028442383
2015-09-08,43.252716064453125
2015-09-09,42.139305114746094
2015-09-10,42.180274963378906
2015-09-11,42.741294860839844
2015-09-14,43.21920394897461
2015-09-15,43.63478088378906
2015-09-16,44.27889633178711
2015-09-17,44.64598846435547
2015-09-18,44.82606887817383
2015-09-21,44.999229431152344
2015-09-22,44.285831451416016
2015-09-23,44.4312744140625
2015-09-24,44.26505661010742
2015-09-25,44.31352615356445
2015-09-28,43.53087615966797
2015-09-29,44.00185775756836
2015-09-30,45.24164581298828
2015-10-01,44.84685516357422
2015-10-02,45.52561569213867
2015-10-05,45.539459228515625
2015-10-06,46.6338005065918
2015-10-07,47.55498123168945
2015-10-08,47.845882415771484
2015-10-09,47.977455139160156
2015-10-12,48.44845199584961
2015-10-13,48.808616638183594
2015-10-14,48.65623474121094
2015-10-15,49.32807922363281
2015-10-16,49.2934455871582
2015-10-19,49.57048034667969
2015-10-20,50.041481018066406
2015-10-21,49.577423095703125
2015-10-22,50.51243591308594
2015-10-23,50.83104705810547
2015-10-26,50.88644790649414
2015-10-27,50.484745025634766
2015-10-28,50.23540115356445
2015-10-29,49.76442337036133
2015-10-30,51.225833892822266
2015-11-02,51.8907470703125
2015-11-03,51.21198654174805
2015-11-04,51.011131286621094
2015-11-05,51.17735290527344
2015-11-06,49.992977142333984
2015-11-09,49.778263092041016
2015-11-10,50.27002716064453
2015-11-11,50.616310119628906
2015-11-12,49.90293884277344
2015-11-13,49.32807922363281
2015-11-16,49.5566520690918
2015-11-17,49.618961334228516
2015-11-18,49.6882438659668
2015-11-19,49.39731979370117
2015-11-20,50.311588287353516
2015-11-23,50.15229415893555
2015-11-24,49.74363708496094
2015-11-25,49.6882438659668
2015-11-27,49.986053466796875
2015-11-30,49.944488525390625
2015-12-01,50.42240905761719
2015-12-02,49.93063735961914
2015-12-03,49.52891540527344
2015-12-04,50.51243591308594
2015-12-07,49.97913360595703
2015-12-08,49.951416015625
2015-12-09,49.50814437866211
2015-12-10,48.74627685546875
2015-12-11,49.047733306884766
2015-12-14,49.55251693725586
2015-12-15,49.482421875
2015-12-16,50.87055206298828
2015-12-17,51.788970947265625
2015-12-18,52.44097137451172
2015-12-21,52.71440887451172
2015-12-22,52.76347732543945
2015-12-23,53.14206314086914
2015-12-24,52.97379684448242
2015-12-28,53.35237503051758
2015-12-29,53.990386962890625
2015-12-30,53.93428039550781
2015-12-31,53.015865325927734
2016-01-04,53.42249298095703
2016-01-05,53.48558807373047
2016-01-06,53.983360290527344
2016-01-07,53.82911682128906
2016-01-08,54.01140594482422
2016-01-11,55.10508346557617
2016-01-12,54.74053192138672
2016-01-13,54.42503356933594
2016-01-14,54.936824798583984
2016-01-15,53.506629943847656
2016-01-19,52.651283264160156
2016-01-20,50.9266357421875
2016-01-21,50.8284797668457
2016-01-22,52.412925720214844
2016-01-25,53.085975646972656
2016-01-26,55.05602264404297
2016-01-27,54.01140594482422
2016-01-28,55.71502685546875
2016-01-29,56.142662048339844
2016-02-01,55.82020950317383
2016-02-02,55.8061637878418
2016-02-03,56.66851043701172
2016-02-04,57.033084869384766
2016-02-05,57.32052230834961
2016-02-08,55.02798080444336
2016-02-09,54.08852767944336
2016-02-10,54.6353645324707
2016-02-11,54.0394401550293
2016-02-12,55.55378341674805
2016-02-16,56.3670539855957
2016-02-17,55.92534255981445
2016-02-18,56.01651382446289
2016-02-19,57.08213806152344
2016-02-22,57.18730926513672
2016-02-23,56.78769302368164
2016-02-24,56.43715286254883
2016-02-25,57.38362503051758
2016-02-26,55.3504638671875
2016-02-29,55.43461227416992
2016-03-01,57.29948425292969
2016-03-02,57.762176513671875
2016-03-03,57.67807388305664
2016-03-04,57.41164016723633
2016-03-07,57.81829071044922
2016-03-08,58.84885787963867
2016-03-09,60.047733306884766
2016-03-10,59.753265380859375
2016-03-11,60.62458419799805
2016-03-14,60.277496337890625
2016-03-15,61.347164154052734
2016-03-16,61.68011474609375
2016-03-17,62.62935256958008
2016-03-18,62.65062713623047
2016-03-21,61.25506591796875
2016-03-22,61.722625732421875
2016-03-23,61.71552276611328
2016-03-24,61.03546905517578
2016-03-28,61.5880126953125
2016-03-29,62.65062713623047
2016-03-30,62.57268142700195
2016-03-31,62.6860237121582
2016-04-01,63.373172760009766
2016-04-04,63.351905822753906
2016-04-05,62.933982849121094
2016-04-06,63.741539001464844
2016-04-07,63.805301666259766
2016-04-08,64.13823699951172
2016-04-11,64.04617309570312
2016-04-12,64.74746704101562
2016-04-13,63.160675048828125
2016-04-14,62.07679748535156
2016-04-15,62.31767272949219
2016-04-18,62.58686065673828
2016-04-19,62.84188461303711
2016-04-20,61.67301940917969
2016-04-21,60.65293502807617
2016-04-22,61.04255294799805
2016-04-25,61.92095947265625
2016-04-26,61.95640563964844
2016-04-27,62.06972885131836
2016-04-28,62.36015701293945
2016-04-29,62.32474899291992
2016-05-02,63.39442443847656
2016-05-03,63.28107452392578
2016-05-04,64.77581787109375
2016-05-05,64.78287506103516
2016-05-06,65.30000305175781
2016-05-09,65.99422454833984
2016-05-10,66.32717895507812
2016-05-11,65.88797760009766
2016-05-12,67.06392669677734
2016-05-13,66.87266540527344
2016-05-16,68.9128189086914
2016-05-17,67.58814239501953
2016-05-18,66.2776107788086
2016-05-19,65.66132354736328
2016-05-20,66.41218566894531
2016-05-23,66.7451400756836
2016-05-24,66.70972442626953
2016-05-25,67.35436248779297
2016-05-26,67.15604400634766
2016-05-27,67.0568618774414
2016-05-31,67.6164779663086
2016-06-01,67.71564483642578
2016-06-02,68.80657958984375
2016-06-03,69.73458099365234
2016-06-06,70.60590362548828
2016-06-07,72.2989730834961
2016-06-08,72.68151092529297
2016-06-09,72.85151672363281
2016-06-10,72.483154296875
2016-06-13,71.62570190429688
2016-06-14,71.7114486694336
2016-06-15,71.6971664428711
2016-06-16,72.64749145507812
2016-06-17,72.96189880371094
2016-06-20,73.16911315917969
2016-06-21,74.31954193115234
2016-06-22,74.64824676513672
2016-06-23,74.8983154296875
2016-06-24,74.01943969726562
2016-06-27,74.39811706542969
2016-06-28,76.19879150390625
2016-06-29,77.31346130371094
2016-06-30,77.87794494628906
2016-07-01,77.8851089477539
2016-07-05,79.47853088378906
2016-07-06,80.10018157958984
2016-07-07,77.9136962890625
2016-07-08,78.77112579345703
2016-07-11,78.49246215820312
2016-07-12,78.33526611328125
2016-07-13,78.47103118896484
2016-07-14,76.48460388183594
2016-07-15,76.14161682128906
2016-07-18,75.67716979980469
2016-07-19,75.74147033691406
2016-07-20,74.94119262695312
2016-07-21,72.92617797851562
2016-07-22,75.49136352539062
2016-07-25,74.99834442138672
2016-07-26,75.14126586914062
2016-07-27,75.30561065673828
2016-07-28,76.94904327392578
2016-07-29,74.64106750488281
2016-08-01,76.22736358642578
2016-08-02,74.75542449951172
2016-08-03,72.93333435058594
2016-08-04,73.64787292480469
2016-08-05,72.13304138183594
2016-08-08,71.6971664428711
2016-08-09,72.81185150146484
2016-08-10,72.6046142578125
2016-08-11,72.6260757446289
2016-08-12,73.76931762695312
2016-08-15,72.74038696289062
2016-08-16,71.93296813964844
2016-08-17,72.72608947753906
2016-08-18,72.32597351074219
2016-08-19,72.18303680419922
2016-08-22,72.6046142578125
2016-08-23,71.20413208007812
2016-08-24,70.65393829345703
2016-08-25,70.57532501220703
2016-08-26,71.068359375
2016-08-29,71.94010925292969
2016-08-30,70.75395965576172
2016-08-31,70.80397033691406
2016-09-01,71.06120300292969
2016-09-02,71.52567291259766
2016-09-06,72.81185150146484
2016-09-07,72.73324584960938
2016-09-08,71.78290557861328
2016-09-09,68.7889633178711
2016-09-12,68.6675033569336
2016-09-13,67.08820343017578
2016-09-14,66.38148498535156
2016-09-15,66.82855987548828
2016-09-16,66.778076171875
2016-09-19,67.58576965332031
2016-09-20,67.8309555053711
2016-09-21,68.86221313476562
2016-09-22,70.73719024658203
2016-09-23,70.63623809814453
2016-09-26,70.41266632080078
2016-09-27,69.83575439453125
2016-09-28,71.58092498779297
2016-09-29,70.67230987548828
2016-09-30,70.03768920898438
2016-10-03,68.22039794921875
2016-10-04,66.47523498535156
2016-10-05,65.50167083740234
2016-10-06,65.61705780029297
2016-10-07,66.07137298583984
2016-10-10,66.70597839355469
2016-10-11,65.99925231933594
2016-10-12,67.29731750488281
2016-10-13,68.20599365234375
2016-10-14,68.29972839355469
2016-10-17,68.465576171875
2016-10-18,69.64107513427734
2016-10-19,69.59058380126953
2016-10-20,69.23721313476562
2016-10-21,68.99923706054688
2016-10-24,69.21556091308594
2016-10-25,69.8790283203125
2016-10-26,69.62664794921875
2016-10-27,66.35982513427734
2016-10-28,66.78531646728516
2016-10-31,67.37664031982422
2016-11-01,64.7444839477539
2016-11-02,63.612266540527344
2016-11-03,63.96565246582031
2016-11-04,65.50167083740234
2016-11-07,67.29011535644531
2016-11-08,68.42231750488281
2016-11-09,65.79011535644531
2016-11-10,63.626712799072266
2016-11-11,63.410343170166016
2016-11-14,64.88148498535156
2016-11-15,65.34302520751953
2016-11-16,64.28294372558594
2016-11-17,63.129112243652344
2016-11-18,64.13870239257812
2016-11-21,64.3983383178711
2016-11-22,66.33821105957031
2016-11-23,64.686767578125
2016-11-25,65.58821105957031
2016-11-28,66.00646209716797
2016-11-29,67.4271240234375
2016-11-30,66.58338928222656
2016-12-01,63.922367095947266
2016-12-02,64.25408935546875
2016-12-05,64.78775787353516
2016-12-06,64.70840454101562
2016-12-07,66.52568817138672
2016-12-08,67.93915557861328
2016-12-09,67.79490661621094
2016-12-12,69.56893157958984
2016-12-13,70.36222839355469
2016-12-14,68.79747009277344
2016-12-15,68.65193939208984
2016-12-16,68.8411865234375
2016-12-19,70.30401611328125
2016-12-20,69.68538665771484
2016-12-21,69.3724365234375
2016-12-22,70.0055923461914
2016-12-23,70.12203979492188
2016-12-27,70.17298889160156
2016-12-28,69.88188934326172
2016-12-29,71.62129211425781
2016-12-30,71.51212310791016
2017-01-03,72.31268310546875
2017-01-04,74.6052017211914
2017-01-05,76.59204864501953
2017-01-06,75.71869659423828
2017-01-09,74.81626892089844
2017-01-10,74.49603271484375
2017-01-11,74.37959289550781
2017-01-12,74.59791564941406
2017-01-13,74.44507598876953
2017-01-17,75.2092514038086
2017-01-18,76.14808654785156
2017-01-19,76.2354507446289
2017-01-20,76.9996337890625
2017-01-23,77.18157196044922
2017-01-24,78.127685546875
2017-01-25,78.15677642822266
2017-01-26,78.28781127929688
2017-01-27,77.45812225341797
2017-01-30,77.45084381103516
2017-01-31,78.33146667480469
2017-02-01,77.43628692626953
2017-02-02,77.7783432006836
2017-02-03,78.41878509521484
2017-02-06,77.79290008544922
