Date,LHX
2015-07-01,62.77585220336914
2015-07-02,63.067909240722656
2015-07-06,62.199832916259766
2015-07-07,62.80017852783203
2015-07-08,62.33774185180664
2015-07-09,63.67635726928711
2015-07-10,64.3740463256836
2015-07-13,65.11228942871094
2015-07-14,65.5422592163086
2015-07-15,66.60499572753906
2015-07-16,66.78351593017578
2015-07-17,66.66179656982422
2015-07-20,66.15882110595703
2015-07-21,65.9478759765625
2015-07-22,66.20748138427734
2015-07-23,66.59690856933594
2015-07-24,65.74508666992188
2015-07-27,64.82835388183594
2015-07-28,65.30699920654297
2015-07-29,66.34542083740234
2015-07-30,66.79972839355469
2015-07-31,67.2864761352539
2015-08-03,66.75914764404297
2015-08-04,66.75105285644531
2015-08-05,67.38383483886719
2015-08-06,67.2864761352539
2015-08-07,66.17505645751953
2015-08-10,68.62505340576172
2015-08-11,67.27835845947266
2015-08-12,67.66777801513672
2015-08-13,66.99441528320312
2015-08-14,67.22969818115234
2015-08-17,67.35137939453125
2015-08-18,67.03498077392578
2015-08-19,66.51580047607422
2015-08-20,65.07170867919922
2015-08-21,63.61952590942383
2015-08-24,60.99106216430664
2015-08-25,59.839046478271484
2015-08-26,61.5264778137207
2015-08-27,62.5162353515625
2015-08-28,62.90563201904297
2015-08-31,62.321537017822266
2015-09-01,60.55297088623047
2015-09-02,61.12086868286133
2015-09-03,61.4534797668457
2015-09-04,60.00128173828125
2015-09-08,62.45134353637695
2015-09-09,61.675567626953125
2015-09-10,61.299964904785156
2015-09-11,60.4997444152832
2015-09-14,60.344573974609375
2015-09-15,60.36907958984375
2015-09-16,60.8671989440918
2015-09-17,60.957027435302734
2015-09-18,59.74848175048828
2015-09-21,60.009769439697266
2015-09-22,59.02174758911133
2015-09-23,59.16053771972656
2015-09-24,58.42564010620117
2015-09-25,58.97273635864258
2015-09-28,57.388607025146484
2015-09-29,58.03366470336914
2015-09-30,59.73213195800781
2015-10-01,59.805633544921875
2015-10-02,60.393577575683594
2015-10-05,61.03049087524414
2015-10-06,60.785526275634766
2015-10-07,61.022342681884766
2015-10-08,61.65110397338867
2015-10-09,61.838905334472656
2015-10-12,62.875946044921875
2015-10-13,61.70823287963867
2015-10-14,62.08389663696289
2015-10-15,62.4186897277832
2015-10-16,62.53298568725586
2015-10-19,61.51228332519531
2015-10-20,62.304325103759766
2015-10-21,61.21830749511719
2015-10-22,62.059383392333984
2015-10-23,62.45949172973633
2015-10-26,61.65110397338867
2015-10-27,61.1693115234375
2015-10-28,64.23961639404297
2015-10-29,64.81120300292969
2015-10-30,64.6152572631836
2015-11-02,65.08887481689453
2015-11-03,66.14225006103516
2015-11-04,65.17050170898438
2015-11-05,64.9092025756836
2015-11-06,64.98268127441406
2015-11-09,64.9092025756836
2015-11-10,64.5499267578125
2015-11-11,64.87654876708984
2015-11-12,64.27227783203125
2015-11-13,63.880332946777344
2015-11-16,65.82378387451172
2015-11-17,66.71117401123047
2015-11-18,67.44242858886719
2015-11-19,68.37092590332031
2015-11-20,68.01761627197266
2015-11-23,67.97655487060547
2015-11-24,67.7464599609375
2015-11-25,68.13263702392578
2015-11-27,68.28053283691406
2015-11-30,68.30520629882812
2015-12-01,69.01183319091797
2015-12-02,68.80642700195312
2015-12-03,68.13263702392578
2015-12-04,69.24190521240234
2015-12-07,68.88859558105469
2015-12-08,69.24190521240234
2015-12-09,68.4777603149414
2015-12-10,68.35452270507812
2015-12-11,67.69718170166016
2015-12-14,67.30276489257812
2015-12-15,68.11621856689453
2015-12-16,68.65851593017578
2015-12-17,68.2969970703125
2015-12-18,67.96009826660156
2015-12-21,69.30764770507812
2015-12-22,71.1974868774414
2015-12-23,72.15882110595703
2015-12-24,73.52279663085938
2015-12-28,71.55899047851562
2015-12-29,72.55323028564453
2015-12-30,71.83838653564453
2015-12-31,71.40286254882812
2016-01-04,72.01913452148438
2016-01-05,72.44639587402344
2016-01-06,71.7890625
2016-01-07,70.86058044433594
2016-01-08,70.53194427490234
2016-01-11,71.43575286865234
2016-01-12,73.05443572998047
2016-01-13,70.17037200927734
2016-01-14,69.42269134521484
2016-01-15,69.2254638671875
2016-01-19,69.29942321777344
2016-01-20,68.6749267578125
2016-01-21,68.07516479492188
2016-01-22,69.06934356689453
2016-01-25,69.12686157226562
2016-01-26,70.35116577148438
2016-01-27,69.71024322509766
2016-01-28,69.6691665649414
2016-01-29,71.46039581298828
2016-02-01,71.25501251220703
2016-02-02,64.28723907470703
2016-02-03,63.99967575073242
2016-02-04,64.7802505493164
2016-02-05,62.18378829956055
2016-02-08,59.998146057128906
2016-02-09,59.759857177734375
2016-02-10,59.751644134521484
2016-02-11,58.9217643737793
2016-02-12,59.20934295654297
2016-02-16,60.35969161987305
2016-02-17,61.016998291015625
2016-02-18,61.090965270996094
2016-02-19,61.77294158935547
2016-02-22,62.80826950073242
2016-02-23,61.953731536865234
2016-02-24,62.00300979614258
2016-02-25,62.56174087524414
2016-02-26,62.89040756225586
2016-02-29,64.10649108886719
2016-03-01,65.24038696289062
2016-03-02,65.85662841796875
2016-03-03,66.11956787109375
2016-03-04,66.67831420898438
2016-03-07,65.18286895751953
2016-03-08,64.63712310791016
2016-03-09,65.95185852050781
2016-03-10,65.85264587402344
2016-03-11,66.49761199951172
2016-03-14,65.81129455566406
2016-03-15,64.21540832519531
2016-03-16,64.79423522949219
2016-03-17,64.92652130126953
2016-03-18,65.24076080322266
2016-03-21,64.95960998535156
2016-03-22,65.83610534667969
2016-03-23,65.35651397705078
2016-03-24,64.62886810302734
2016-03-28,64.3642578125
