Date,EQIX
2015-07-01,255.63999938964844
2015-07-02,255.33999633789062
2015-07-06,255.50999450683594
2015-07-07,257.5
2015-07-08,256.3500061035156
2015-07-09,256.67999267578125
2015-07-10,258.7799987792969
2015-07-13,259.94000244140625
2015-07-14,261.07000732421875
2015-07-15,259.79998779296875
2015-07-16,262.1199951171875
2015-07-17,263.5
2015-07-20,270.239990234375
2015-07-21,268.8399963378906
2015-07-22,269.54998779296875
2015-07-23,269.3900146484375
2015-07-24,276.05999755859375
2015-07-27,276.6400146484375
2015-07-28,279.20001220703125
2015-07-29,279.2200012207031
2015-07-30,282.5799865722656
2015-07-31,278.9100036621094
2015-08-03,282.8900146484375
2015-08-04,280.0400085449219
2015-08-05,280.45001220703125
2015-08-06,280.0
2015-08-07,280.3900146484375
2015-08-10,280.0899963378906
2015-08-11,279.42999267578125
2015-08-12,280.3500061035156
2015-08-13,282.2300109863281
2015-08-14,284.3999938964844
2015-08-17,284.510009765625
2015-08-18,287.4200134277344
2015-08-19,285.5899963378906
2015-08-20,279.9599914550781
2015-08-21,271.30999755859375
2015-08-24,255.52999877929688
2015-08-25,251.11000061035156
2015-08-26,260.79998779296875
2015-08-27,266.1400146484375
2015-08-28,268.7799987792969
2015-08-31,269.7699890136719
2015-09-01,262.8699951171875
2015-09-02,269.95001220703125
2015-09-03,274.44000244140625
2015-09-04,269.8800048828125
2015-09-08,279.2799987792969
2015-09-09,281.0
2015-09-10,285.1400146484375
2015-09-11,289.6199951171875
2015-09-14,289.70001220703125
2015-09-15,290.04998779296875
2015-09-16,290.57000732421875
2015-09-17,290.07000732421875
2015-09-18,285.510009765625
2015-09-21,292.0199890136719
2015-09-22,288.45001220703125
2015-09-23,288.8900146484375
2015-09-24,279.6700134277344
2015-09-25,279.29998779296875
2015-09-28,270.489990234375
2015-09-29,268.9800109863281
2015-09-30,273.3999938964844
2015-10-01,276.4599914550781
2015-10-02,279.5799865722656
2015-10-05,283.44000244140625
2015-10-06,271.54998779296875
2015-10-07,265.4100036621094
2015-10-08,267.3399963378906
2015-10-09,269.8800048828125
2015-10-12,272.55999755859375
2015-10-13,271.70001220703125
2015-10-14,274.70001220703125
2015-10-15,280.1000061035156
2015-10-16,286.29998779296875
2015-10-19,290.7099914550781
2015-10-20,293.3599853515625
2015-10-21,292.2799987792969
2015-10-22,294.6199951171875
2015-10-23,294.8399963378906
2015-10-26,301.20001220703125
2015-10-27,296.0899963378906
2015-10-28,294.5899963378906
2015-10-29,292.9100036621094
2015-10-30,296.67999267578125
2015-11-02,303.5799865722656
2015-11-03,299.30999755859375
2015-11-04,295.989990234375
2015-11-05,295.79998779296875
2015-11-06,290.3699951171875
2015-11-09,292.3999938964844
2015-11-10,297.5400085449219
2015-11-11,296.9200134277344
2015-11-12,294.739990234375
2015-11-13,291.07000732421875
2015-11-16,295.3900146484375
2015-11-17,299.07000732421875
2015-11-18,293.0899963378906
2015-11-19,286.1099853515625
2015-11-20,298.6000061035156
2015-11-23,297.7300109863281
2015-11-24,293.2099914550781
2015-11-25,295.1300048828125
2015-11-27,297.75
2015-11-30,296.5
2015-12-01,300.6300048828125
2015-12-02,299.6600036621094
2015-12-03,295.2200012207031
2015-12-04,301.20001220703125
2015-12-07,297.5799865722656
2015-12-08,298.1000061035156
2015-12-09,298.239990234375
2015-12-10,295.6499938964844
2015-12-11,289.94000244140625
2015-12-14,293.54998779296875
2015-12-15,290.0199890136719
2015-12-16,295.489990234375
2015-12-17,293.4100036621094
2015-12-18,289.3500061035156
2015-12-21,295.739990234375
2015-12-22,296.92999267578125
2015-12-23,297.3500061035156
2015-12-24,297.19000244140625
2015-12-28,300.9100036621094
2015-12-29,304.9800109863281
2015-12-30,302.69000244140625
2015-12-31,302.3999938964844
2016-01-04,296.0799865722656
2016-01-05,303.4100036621094
2016-01-06,309.1300048828125
2016-01-07,303.2900085449219
2016-01-08,309.7900085449219
2016-01-11,312.8800048828125
2016-01-12,314.9200134277344
2016-01-13,305.5799865722656
2016-01-14,310.989990234375
2016-01-15,303.19000244140625
2016-01-19,295.1099853515625
2016-01-20,294.3599853515625
2016-01-21,289.7799987792969
2016-01-22,297.04998779296875
2016-01-25,299.92999267578125
2016-01-26,303.6400146484375
2016-01-27,299.57000732421875
2016-01-28,300.2200012207031
2016-01-29,310.57000732421875
2016-02-01,311.44000244140625
2016-02-02,312.5899963378906
2016-02-03,309.5400085449219
2016-02-04,308.45001220703125
2016-02-05,288.44000244140625
2016-02-08,268.8399963378906
2016-02-09,265.04998779296875
2016-02-10,273.3399963378906
2016-02-11,275.04998779296875
2016-02-12,284.8800048828125
2016-02-16,291.29998779296875
2016-02-17,290.6499938964844
2016-02-18,290.30999755859375
2016-02-19,299.3699951171875
2016-02-22,299.8299865722656
2016-02-23,292.05999755859375
2016-02-24,295.010009765625
2016-02-25,307.489990234375
2016-02-26,306.7699890136719
2016-02-29,303.69000244140625
2016-03-01,308.3999938964844
2016-03-02,304.010009765625
2016-03-03,310.5899963378906
2016-03-04,309.7200012207031
2016-03-07,297.7300109863281
2016-03-08,298.75
2016-03-09,301.260009765625
2016-03-10,306.7099914550781
2016-03-11,318.0
2016-03-14,314.0199890136719
2016-03-15,312.4700012207031
2016-03-16,316.760009765625
2016-03-17,316.9800109863281
2016-03-18,315.760009765625
2016-03-21,317.3900146484375
2016-03-22,319.0400085449219
2016-03-23,319.3599853515625
2016-03-24,320.75
