Date,KKR
2015-07-01,18.341466903686523
2015-07-02,18.532608032226562
2015-07-06,18.437036514282227
2015-07-07,18.381288528442383
2015-07-08,17.85565185546875
2015-07-09,18.166250228881836
2015-07-10,18.452966690063477
2015-07-13,18.72374725341797
2015-07-14,18.97063636779785
2015-07-15,19.145843505859375
2015-07-16,19.225486755371094
2015-07-17,19.233448028564453
2015-07-20,18.9228458404541
2015-07-21,19.273273468017578
2015-07-22,19.185665130615234
2015-07-23,19.329015731811523
2015-07-24,19.209564208984375
2015-07-27,18.91488265991211
2015-07-28,19.273273468017578
2015-07-29,19.591842651367188
2015-07-30,19.478403091430664
2015-07-31,19.36496925354004
2015-08-03,19.437891006469727
2015-08-04,19.397377014160156
2015-08-05,19.2839412689209
2015-08-06,18.838306427001953
2015-08-07,18.635740280151367
2015-08-10,18.854515075683594
2015-08-11,18.457490921020508
2015-08-12,18.344053268432617
2015-08-13,18.425073623657227
2015-08-14,18.52231216430664
2015-08-17,17.97943878173828
2015-08-18,17.744468688964844
2015-08-19,17.420364379882812
2015-08-20,16.42376136779785
2015-08-21,15.84038257598877
2015-08-24,15.143570899963379
2015-08-25,15.313714981079102
2015-08-26,15.84038257598877
2015-08-27,16.48048210144043
2015-08-28,16.132070541381836
2015-08-31,15.467663764953613
2015-09-01,15.005831718444824
2015-09-02,15.005831718444824
2015-09-03,15.346135139465332
2015-09-04,15.184075355529785
2015-09-08,15.78366470336914
2015-09-09,15.321823120117188
2015-09-10,14.88429069519043
2015-09-11,14.989618301391602
2015-09-14,14.908601760864258
2015-09-15,15.305619239807129
2015-09-16,15.362332344055176
2015-09-17,15.767459869384766
2015-09-18,15.26511001586914
2015-09-21,15.26511001586914
2015-09-22,14.93290901184082
2015-09-23,14.576394081115723
2015-09-24,14.30090618133545
2015-09-25,14.138856887817383
2015-09-28,13.38532543182373
2015-09-29,13.069329261779785
2015-09-30,13.595992088317871
2015-10-01,13.903885841369629
2015-10-02,14.130753517150879
2015-10-05,14.795158386230469
2015-10-06,14.8599853515625
2015-10-07,15.08685302734375
2015-10-08,15.200282096862793
2015-10-09,15.127365112304688
2015-10-12,14.868083953857422
2015-10-13,14.50346851348877
2015-10-14,14.268503189086914
2015-10-15,14.341419219970703
2015-10-16,14.422445297241211
2015-10-19,13.960599899291992
2015-10-20,13.749938011169434
2015-10-21,13.81475830078125
