Date,DGX
2015-07-01,58.432918548583984
2015-07-02,57.57528305053711
2015-07-06,57.26906967163086
2015-07-07,57.518890380859375
2015-07-08,56.15703582763672
2015-07-09,57.083717346191406
2015-07-10,57.680023193359375
2015-07-13,58.96933364868164
2015-07-14,59.69455337524414
2015-07-15,59.01765823364258
2015-07-16,59.52532196044922
2015-07-17,59.03380584716797
2015-07-20,58.896793365478516
2015-07-21,58.09096145629883
2015-07-22,58.39719772338867
2015-07-23,59.95241165161133
2015-07-24,59.122413635253906
2015-07-27,58.01040267944336
2015-07-28,58.11513900756836
2015-07-29,59.35613250732422
2015-07-30,59.219139099121094
2015-07-31,59.476985931396484
2015-08-03,59.791263580322266
2015-08-04,60.097469329833984
2015-08-05,60.01686477661133
2015-08-06,59.54144287109375
2015-08-07,58.364967346191406
2015-08-10,59.339988708496094
2015-08-11,58.46168899536133
2015-08-12,58.332759857177734
2015-08-13,58.179622650146484
2015-08-14,58.59864807128906
2015-08-17,59.283592224121094
2015-08-18,59.2271728515625
2015-08-19,59.17884826660156
2015-08-20,57.196556091308594
2015-08-21,56.551883697509766
2015-08-24,54.23920822143555
2015-08-25,52.627586364746094
2015-08-26,54.561519622802734
2015-08-27,55.665496826171875
2015-08-28,55.51239013671875
2015-08-31,54.634056091308594
2015-09-01,52.94186019897461
2015-09-02,53.63485336303711
2015-09-03,53.93299102783203
2015-09-04,52.514766693115234
2015-09-08,53.42531967163086
2015-09-09,52.861263275146484
2015-09-10,52.74845504760742
2015-09-11,52.87738800048828
2015-09-14,53.248043060302734
2015-09-15,53.74766159057617
2015-09-16,54.730751037597656
2015-09-17,54.92414093017578
2015-09-18,53.908817291259766
2015-09-21,54.231163024902344
2015-09-22,53.272247314453125
2015-09-23,53.2319450378418
2015-09-24,52.79679870605469
2015-09-25,51.9023551940918
2015-09-28,48.75968933105469
2015-09-29,48.91278076171875
2015-09-30,49.53326416015625
2015-10-01,49.62190628051758
2015-10-02,50.92732620239258
2015-10-05,51.61650466918945
2015-10-06,49.93001937866211
2015-10-07,50.82191467285156
2015-10-08,51.08135986328125
2015-10-09,51.292171478271484
2015-10-12,51.37327194213867
2015-10-13,51.08135986328125
2015-10-14,50.189491271972656
2015-10-15,51.94895935058594
2015-10-16,52.994903564453125
2015-10-19,53.238136291503906
2015-10-20,52.96245574951172
2015-10-21,52.73542785644531
2015-10-22,50.50570297241211
2015-10-23,52.57326889038086
2015-10-26,52.25705337524414
2015-10-27,52.61380386352539
2015-10-28,53.74894714355469
2015-10-29,54.178680419921875
2015-10-30,55.09489822387695
2015-11-02,56.15707778930664
2015-11-03,55.954368591308594
2015-11-04,56.0435791015625
2015-11-05,55.6624755859375
2015-11-06,55.297607421875
2015-11-09,54.924644470214844
2015-11-10,55.48408889770508
2015-11-11,54.486793518066406
2015-11-12,53.81382751464844
2015-11-13,54.486793518066406
2015-11-16,54.73815155029297
2015-11-17,55.16787338256836
2015-11-18,56.01923370361328
2015-11-19,55.01382064819336
2015-11-20,55.09489822387695
