Date,GE
2015-07-01,110.90769958496094
2015-07-02,111.40693664550781
2015-07-06,109.45166778564453
2015-07-07,110.1173095703125
2015-07-08,107.70445251464844
2015-07-09,108.24524688720703
2015-07-10,109.2852783203125
2015-07-13,110.1173095703125
2015-07-14,110.90769958496094
2015-07-15,111.36534118652344
2015-07-16,112.4885482788086
2015-07-17,113.3205337524414
2015-07-20,112.90457153320312
2015-07-21,111.6981430053711
2015-07-22,110.78291320800781
2015-07-23,109.24366760253906
2015-07-24,107.1220474243164
2015-07-27,107.95405578613281
2015-07-28,108.57806396484375
2015-07-29,109.24366760253906
2015-07-30,108.66128540039062
2015-07-31,108.57806396484375
2015-08-03,107.62123107910156
2015-08-04,107.74603271484375
2015-08-05,108.57806396484375
2015-08-06,108.28687286376953
2015-08-07,107.2884521484375
2015-08-10,109.16048431396484
2015-08-11,106.95564270019531
2015-08-12,107.57965850830078
2015-08-13,107.2884521484375
2015-08-14,108.49485778808594
2015-08-17,109.03568267822266
2015-08-18,108.4532470703125
2015-08-19,107.038818359375
2015-08-20,104.79240417480469
2015-08-21,102.29632568359375
2015-08-24,99.30110931396484
2015-08-25,96.80504608154297
2015-08-26,99.88350677490234
2015-08-27,104.04358673095703
2015-08-28,104.66761016845703
2015-08-31,103.25315856933594
2015-09-01,99.34270477294922
2015-09-02,102.21316528320312
2015-09-03,101.96354675292969
2015-09-04,99.84188842773438
2015-09-08,103.83557891845703
2015-09-09,102.12994384765625
2015-09-10,102.6707534790039
2015-09-11,103.79400634765625
2015-09-14,103.04517364501953
2015-09-15,105.25001525878906
2015-09-16,107.8708724975586
2015-09-17,106.40179443359375
2015-09-18,104.09326934814453
2015-09-21,105.31048583984375
2015-09-22,105.39446258544922
2015-09-23,105.52035522460938
2015-09-24,104.55500030517578
2015-09-25,104.59697723388672
2015-09-28,102.03662109375
2015-09-29,103.12789154052734
2015-09-30,105.85615539550781
2015-10-01,105.73023223876953
2015-10-02,106.90545654296875
2015-10-05,112.57183074951172
2015-10-06,114.5445785522461
2015-10-07,116.55927276611328
2015-10-08,117.65058898925781
2015-10-09,117.8185043334961
2015-10-12,117.90242767333984
2015-10-13,116.97901153564453
2015-10-14,115.84574890136719
2015-10-15,117.65058898925781
2015-10-16,121.63805389404297
2015-10-19,121.6800308227539
2015-10-20,120.7985610961914
2015-10-21,121.09242248535156
2015-10-22,124.15641784667969
2015-10-23,123.86259460449219
2015-10-26,124.03053283691406
2015-10-27,123.6527099609375
2015-10-28,123.35891723632812
2015-10-29,123.14906311035156
2015-10-30,121.3862075805664
2015-11-02,123.40093994140625
2015-11-03,124.19837951660156
2015-11-04,123.988525390625
2015-11-05,124.40827178955078
2015-11-06,125.5834732055664
2015-11-09,124.86998748779297
2015-11-10,126.42295837402344
2015-11-11,128.7315216064453
2015-11-12,126.59085083007812
2015-11-13,127.09452056884766
2015-11-16,127.43031311035156
2015-11-17,127.26246643066406
2015-11-18,128.1018829345703
2015-11-19,127.05253601074219
2015-11-20,128.6895294189453
2015-11-23,128.39573669433594
2015-11-24,128.6895294189453
2015-11-25,127.43031311035156
2015-11-27,127.43031311035156
2015-11-30,125.66741943359375
2015-12-01,126.63279724121094
2015-12-02,125.79342651367188
2015-12-03,126.04520416259766
2015-12-04,127.97598266601562
2015-12-07,127.4722900390625
2015-12-08,126.7168197631836
2015-12-09,127.89202117919922
2015-12-10,128.6475830078125
2015-12-11,127.01057434082031
2015-12-14,127.01057434082031
2015-12-15,127.26246643066406
2015-12-16,130.0326385498047
2015-12-17,129.1868896484375
2015-12-18,128.04519653320312
2015-12-21,128.55262756347656
2015-12-22,128.9331817626953
2015-12-23,130.8783721923828
2015-12-24,130.3709259033203
2015-12-28,130.6669921875
2015-12-29,132.27381896972656
2015-12-30,131.30125427246094
2015-12-31,131.7241668701172
2016-01-04,129.86349487304688
2016-01-05,129.99037170410156
2016-01-06,127.91831970214844
2016-01-07,122.50555419921875
2016-01-08,120.3066177368164
2016-01-11,120.85638427734375
2016-01-12,121.11011505126953
2016-01-13,119.41858673095703
2016-01-14,122.88614654541016
2016-01-15,120.47579956054688
2016-01-19,120.47579956054688
2016-01-20,118.40373229980469
2016-01-21,120.89864349365234
2016-01-22,119.41858673095703
2016-01-25,118.57286834716797
2016-01-26,119.71463775634766
2016-01-27,118.40373229980469
2016-01-28,119.291748046875
2016-01-29,123.05531311035156
2016-02-01,121.11011505126953
2016-02-02,119.41858673095703
2016-02-03,121.23694610595703
2016-02-04,123.39359283447266
2016-02-05,120.6872329711914
2016-02-08,119.12256622314453
2016-02-09,119.5877456665039
2016-02-10,119.67233276367188
2016-02-11,116.07792663574219
2016-02-12,119.50318145751953
2016-02-16,122.04039764404297
2016-02-17,124.07015228271484
2016-02-18,122.97075653076172
2016-02-19,122.7170181274414
2016-02-22,124.36617279052734
2016-02-23,123.56272888183594
2016-02-24,122.4632339477539
2016-02-25,124.59452056884766
2016-02-26,125.31915283203125
2016-02-29,124.21092987060547
2016-03-01,127.3652114868164
2016-03-02,128.6439666748047
2016-03-03,128.81451416015625
2016-03-04,129.83750915527344
2016-03-07,129.11288452148438
2016-03-08,128.13247680664062
2016-03-09,128.08985900878906
2016-03-10,127.62095642089844
2016-03-11,129.3260040283203
2016-03-14,129.02761840820312
2016-03-15,129.07022094726562
2016-03-16,128.60134887695312
2016-03-17,131.96871948242188
2016-03-18,131.79830932617188
2016-03-21,132.52285766601562
2016-03-22,132.39505004882812
2016-03-23,132.4376678466797
2016-03-24,132.60816955566406
2016-03-28,134.2279052734375
2016-03-29,134.18533325195312
2016-03-30,135.67723083496094
2016-03-31,135.50669860839844
2016-04-01,136.10348510742188
2016-04-04,133.1196746826172
2016-04-05,132.05401611328125
2016-04-06,131.71302795410156
2016-04-07,130.5621337890625
2016-04-08,131.24415588378906
2016-04-11,130.90313720703125
2016-04-12,131.32943725585938
2016-04-13,132.05401611328125
2016-04-14,132.2245330810547
2016-04-15,132.26715087890625
2016-04-18,132.39505004882812
2016-04-19,132.7786865234375
2016-04-20,132.7786865234375
2016-04-21,132.05401611328125
2016-04-22,131.1162872314453
2016-04-25,130.77528381347656
2016-04-26,131.71302795410156
2016-04-27,131.84091186523438
2016-04-28,131.71302795410156
2016-04-29,131.0736541748047
2016-05-02,131.67041015625
2016-05-03,130.5621337890625
2016-05-04,128.1751251220703
2016-05-05,127.40780639648438
2016-05-06,128.38827514648438
2016-05-09,127.32261657714844
2016-05-10,129.9227752685547
2016-05-11,129.3260040283203
2016-05-12,128.2603759765625
2016-05-13,126.34221649169922
2016-05-16,127.70623016357422
2016-05-17,126.64061737060547
2016-05-18,126.2143325805664
2016-05-19,125.1486587524414
2016-05-20,126.00116729736328
2016-05-23,125.70281219482422
2016-05-24,127.23734283447266
2016-05-25,128.2603759765625
2016-05-26,127.96199035644531
2016-05-27,128.38827514648438
2016-05-31,128.8571014404297
2016-06-01,128.34564208984375
2016-06-02,128.08985900878906
2016-06-03,127.62095642089844
2016-06-06,128.38827514648438
2016-06-07,128.4734344482422
2016-06-08,129.19808959960938
2016-06-09,128.89979553222656
2016-06-10,128.04722595214844
2016-06-13,127.15208435058594
2016-06-14,129.75222778320312
2016-06-15,130.39163208007812
2016-06-16,131.59425354003906
2016-06-17,131.42239379882812
2016-06-20,132.41017150878906
2016-06-21,132.88262939453125
2016-06-22,132.19546508789062
2016-06-23,133.95639038085938
2016-06-24,128.07240295410156
2016-06-27,125.92500305175781
2016-06-28,128.58779907226562
2016-06-29,131.2076416015625
2016-06-30,135.20187377929688
2016-07-01,135.24481201171875
2016-07-05,135.0730438232422
2016-07-06,136.31851196289062
2016-07-07,136.66213989257812
2016-07-08,138.29420471191406
2016-07-11,138.33712768554688
2016-07-12,138.55184936523438
2016-07-13,138.98133850097656
2016-07-14,140.1409454345703
2016-07-15,141.21466064453125
2016-07-18,141.343505859375
2016-07-19,141.42938232421875
2016-07-20,140.78515625
2016-07-21,139.96913146972656
2016-07-22,137.69288635253906
2016-07-25,135.88902282714844
2016-07-26,135.15890502929688
2016-07-27,134.34286499023438
2016-07-28,134.21409606933594
2016-07-29,133.7416534423828
2016-08-01,133.7845916748047
2016-08-02,133.35504150390625
2016-08-03,133.6986541748047
2016-08-04,133.87046813964844
2016-08-05,134.34286499023438
2016-08-08,134.2999267578125
2016-08-09,134.42884826660156
2016-08-10,134.2999267578125
2016-08-11,134.3858642578125
2016-08-12,134.17105102539062
2016-08-15,134.17105102539062
2016-08-16,133.95639038085938
2016-08-17,134.3858642578125
2016-08-18,134.98715209960938
2016-08-19,134.21409606933594
2016-08-22,134.5146942138672
2016-08-23,134.12814331054688
2016-08-24,134.08523559570312
2016-08-25,134.042236328125
2016-08-26,134.12814331054688
2016-08-29,134.6864471435547
2016-08-30,134.72946166992188
2016-08-31,134.17105102539062
2016-09-01,133.99932861328125
2016-09-02,134.3858642578125
2016-09-06,133.35504150390625
2016-09-07,133.39805603027344
2016-09-08,133.31216430664062
2016-09-09,129.31796264648438
2016-09-12,130.94998168945312
2016-09-13,128.20126342773438
2016-09-14,127.55699157714844
2016-09-15,128.76898193359375
2016-09-16,128.4659881591797
2016-09-19,127.3839111328125
2016-09-20,128.42274475097656
2016-09-21,129.20187377929688
2016-09-22,130.02418518066406
2016-09-23,129.3749237060547
2016-09-26,127.8600845336914
2016-09-27,129.3316650390625
2016-09-28,129.41822814941406
2016-09-29,127.81671905517578
2016-09-30,128.20631408691406
2016-10-03,128.29287719726562
2016-10-04,127.6868667602539
2016-10-05,127.6868667602539
2016-10-06,126.69139099121094
2016-10-07,125.8689956665039
2016-10-10,124.91674041748047
2016-10-11,125.17648315429688
2016-10-12,125.08988952636719
2016-10-13,124.52718353271484
2016-10-14,125.04657745361328
2016-10-17,124.87345123291016
2016-10-18,125.43611145019531
2016-10-19,125.78237915039062
2016-10-20,125.82572174072266
2016-10-21,125.43611145019531
2016-10-24,125.17648315429688
2016-10-25,124.0077896118164
2016-10-26,124.96004486083984
2016-10-27,123.92121887207031
2016-10-28,126.47489929199219
2016-10-31,125.95555877685547
2016-11-01,125.00331115722656
2016-11-02,123.3152847290039
2016-11-03,122.40625762939453
2016-11-04,123.09880828857422
2016-11-07,126.86449432373047
2016-11-08,127.34066772460938
2016-11-09,128.2495574951172
2016-11-10,131.62570190429688
2016-11-11,132.92417907714844
2016-11-14,132.05856323242188
2016-11-15,133.0973358154297
2016-11-16,133.0540313720703
2016-11-17,133.27047729492188
2016-11-18,132.7510528564453
2016-11-21,133.61676025390625
2016-11-22,134.95851135253906
2016-11-23,135.65110778808594
2016-11-25,136.08389282226562
2016-11-28,135.26156616210938
2016-11-29,134.3958740234375
2016-11-30,133.14060974121094
2016-12-01,135.86753845214844
2016-12-02,135.65110778808594
2016-12-05,134.65554809570312
2016-12-06,134.91529846191406
2016-12-07,136.7764892578125
2016-12-08,136.47349548339844
2016-12-09,137.55557250976562
2016-12-12,137.90182495117188
2016-12-13,137.38243103027344
2016-12-14,136.34361267089844
2016-12-15,135.3047637939453
2016-12-16,137.4257049560547
2016-12-19,138.1615447998047
2016-12-20,139.5898895263672
2016-12-21,139.07044982910156
2016-12-22,138.7652130126953
2016-12-23,139.0269317626953
2016-12-27,139.11410522460938
2016-12-28,138.241943359375
2016-12-29,138.2855682373047
