Date,HUM
2015-07-01,176.7366943359375
2015-07-02,171.57566833496094
2015-07-06,172.91168212890625
2015-07-07,171.209716796875
2015-07-08,170.07496643066406
2015-07-09,170.34947204589844
2015-07-10,171.3468780517578
2015-07-13,169.37953186035156
2015-07-14,170.33116149902344
2015-07-15,171.55738830566406
2015-07-16,170.58740234375
2015-07-17,171.520751953125
2015-07-20,170.34947204589844
2015-07-21,170.0657958984375
2015-07-22,170.29454040527344
2015-07-23,169.0408935546875
2015-07-24,166.3231658935547
2015-07-27,168.2905731201172
2015-07-28,168.84873962402344
2015-07-29,168.74810791015625
2015-07-30,168.09835815429688
2015-07-31,166.62510681152344
2015-08-03,166.9088134765625
2015-08-04,166.8447265625
2015-08-05,169.78211975097656
2015-08-06,168.84873962402344
2015-08-07,168.4277801513672
2015-08-10,170.44097900390625
2015-08-11,170.03834533691406
2015-08-12,170.2854461669922
2015-08-13,170.25796508789062
2015-08-14,170.66973876953125
2015-08-17,173.63458251953125
2015-08-18,174.348388671875
2015-08-19,173.31427001953125
2015-08-20,170.2854461669922
2015-08-21,166.29574584960938
2015-08-24,160.30198669433594
2015-08-25,160.5582275390625
2015-08-26,165.3805694580078
2015-08-27,169.11412048339844
2015-08-28,168.38211059570312
2015-08-31,167.26564025878906
2015-09-01,164.02639770507812
2015-09-02,166.26824951171875
2015-09-03,166.68917846679688
2015-09-04,166.10353088378906
2015-09-08,169.2696990966797
2015-09-09,169.42526245117188
2015-09-10,169.48016357421875
2015-09-11,171.41094970703125
2015-09-14,171.1181640625
2015-09-15,171.74954223632812
2015-09-16,171.68553161621094
2015-09-17,172.57308959960938
2015-09-18,171.93252563476562
2015-09-21,172.8019256591797
2015-09-22,172.6280059814453
2015-09-23,172.65542602539062
2015-09-24,170.17564392089844
2015-09-25,165.76502990722656
2015-09-28,159.62417602539062
2015-09-29,161.09066772460938
2015-09-30,164.0601806640625
2015-10-01,165.0408935546875
2015-10-02,168.1938018798828
2015-10-05,168.0563201904297
