Date,ATO
2019-01-02,89.8499984741211
2019-01-03,90.52999877929688
2019-01-04,91.69000244140625
2019-01-07,91.0199966430664
2019-01-08,92.20999908447266
2019-01-09,90.69999694824219
2019-01-10,92.41999816894531
2019-01-11,91.9000015258789
2019-01-14,91.33999633789062
2019-01-15,92.61000061035156
2019-01-16,94.36000061035156
2019-01-17,94.98999786376953
2019-01-18,95.43000030517578
2019-01-22,95.19999694824219
2019-01-23,96.16000366210938
2019-01-24,96.66999816894531
2019-01-25,94.83000183105469
2019-01-28,94.33000183105469
2019-01-29,94.77999877929688
2019-01-30,95.48999786376953
2019-01-31,97.62999725341797
2019-02-01,97.22000122070312
2019-02-04,96.44000244140625
2019-02-05,96.58000183105469
2019-02-06,95.87000274658203
2019-02-07,97.02999877929688
2019-02-08,97.97000122070312
2019-02-11,96.8499984741211
2019-02-12,95.8499984741211
2019-02-13,96.58999633789062
2019-02-14,95.95999908447266
2019-02-15,97.05000305175781
2019-02-19,97.30000305175781
2019-02-20,98.0
2019-02-21,99.12999725341797
2019-02-22,99.4800033569336
2019-02-25,98.30000305175781
2019-02-26,98.27999877929688
2019-02-27,98.86000061035156
2019-02-28,98.8499984741211
2019-03-01,98.9000015258789
2019-03-04,99.87000274658203
2019-03-05,99.37000274658203
2019-03-06,99.48999786376953
2019-03-07,99.45999908447266
2019-03-08,100.16000366210938
2019-03-11,100.55999755859375
2019-03-12,101.4000015258789
2019-03-13,101.80999755859375
2019-03-14,101.5
2019-03-15,101.51000213623047
2019-03-18,102.0
2019-03-19,101.4800033569336
2019-03-20,101.41000366210938
2019-03-21,102.6500015258789
2019-03-22,102.80999755859375
2019-03-25,102.93000030517578
2019-03-26,103.72000122070312
2019-03-27,102.94000244140625
2019-03-28,102.4800033569336
2019-03-29,102.93000030517578
2019-04-01,102.06999969482422
2019-04-02,100.16999816894531
2019-04-03,101.51000213623047
2019-04-04,100.63999938964844
2019-04-05,101.52999877929688
2019-04-08,100.91999816894531
2019-04-09,100.58000183105469
2019-04-10,100.43000030517578
2019-04-11,100.69000244140625
2019-04-12,101.19000244140625
2019-04-15,101.11000061035156
2019-04-16,100.16999816894531
2019-04-17,99.44000244140625
2019-04-18,99.18000030517578
2019-04-22,99.06999969482422
2019-04-23,99.56999969482422
2019-04-24,100.08999633789062
2019-04-25,100.9800033569336
2019-04-26,100.9800033569336
2019-04-29,100.4800033569336
2019-04-30,102.33999633789062
2019-05-01,101.98999786376953
