Date,LOW
2015-07-01,54.97173309326172
2015-07-02,54.530250549316406
2015-07-06,54.1623649597168
2015-07-07,55.078006744384766
2015-07-08,54.391273498535156
2015-07-09,54.791873931884766
2015-07-10,55.47044372558594
2015-07-13,55.83833694458008
2015-07-14,55.91191482543945
2015-07-15,55.81379699707031
2015-07-16,55.781105041503906
2015-07-17,55.20882034301758
2015-07-20,54.75728988647461
2015-07-21,54.5028076171875
2015-07-22,55.364810943603516
2015-07-23,55.5782470703125
2015-07-24,55.15134811401367
2015-07-27,55.03644943237305
2015-07-28,55.66033935546875
2015-07-29,56.43204116821289
2015-07-30,56.53054428100586
2015-07-31,56.9410285949707
2015-08-03,56.57158660888672
2015-08-04,56.9410285949707
2015-08-05,57.41719055175781
2015-08-06,56.89995574951172
2015-08-07,57.080589294433594
2015-08-10,57.113426208496094
2015-08-11,56.990291595458984
2015-08-12,56.620849609375
2015-08-13,58.459781646728516
2015-08-14,59.1986198425293
2015-08-17,59.502384185791016
2015-08-18,59.94569778442383
2015-08-19,61.053977966308594
2015-08-20,60.07707214355469
2015-08-21,58.37766647338867
2015-08-24,56.07902526855469
2015-08-25,54.99536895751953
2015-08-26,56.440250396728516
2015-08-27,56.69472885131836
2015-08-28,56.193965911865234
2015-08-31,56.785030364990234
2015-09-01,55.61931228637695
2015-09-02,56.67832565307617
2015-09-03,56.72758102416992
2015-09-04,55.66033935546875
2015-09-08,56.89995574951172
2015-09-09,55.91483688354492
2015-09-10,55.76707458496094
2015-09-11,56.34173583984375
2015-09-14,55.947669982910156
2015-09-15,57.00669479370117
2015-09-16,57.52389144897461
2015-09-17,57.86048889160156
2015-09-18,55.980499267578125
2015-09-21,57.1380615234375
2015-09-22,56.37458419799805
2015-09-23,56.423828125
2015-09-24,56.218597412109375
2015-09-25,56.3909797668457
2015-09-28,55.126739501953125
2015-09-29,54.814754486083984
2015-09-30,56.579811096191406
2015-10-01,57.294036865234375
2015-10-02,57.65525817871094
2015-10-05,58.919498443603516
2015-10-06,58.44337463378906
2015-10-07,58.93592834472656
2015-10-08,60.06883239746094
2015-10-09,60.20022201538086
2015-10-12,60.59423828125
2015-10-13,59.90464401245117
2015-10-14,59.14115905761719
2015-10-15,59.641937255859375
2015-10-16,59.7486572265625
2015-10-19,60.515106201171875
2015-10-20,60.02885818481445
2015-10-21,59.92998123168945
2015-10-22,60.50685119628906
2015-10-23,60.61399841308594
2015-10-26,61.11671829223633
2015-10-27,60.61399841308594
2015-10-28,61.0013427734375
2015-10-29,60.8776969909668
2015-10-30,60.844749450683594
2015-11-02,60.795284271240234
2015-11-03,60.94364547729492
2015-11-04,60.243141174316406
2015-11-05,60.63872528076172
2015-11-06,60.27610778808594
2015-11-09,59.353084564208984
2015-11-10,60.44092559814453
2015-11-11,59.43550491333008
2015-11-12,59.92171096801758
2015-11-13,57.762542724609375
2015-11-16,59.0399284362793
2015-11-17,60.03714370727539
2015-11-18,60.55632019042969
2015-11-19,60.48215866088867
2015-11-20,62.44354248046875
2015-11-23,63.185245513916016
2015-11-24,63.77859878540039
2015-11-25,63.959922790527344
2015-11-27,63.73741912841797
2015-11-30,63.12757110595703
2015-12-01,63.56432342529297
2015-12-02,62.880313873291016
2015-12-03,61.907867431640625
2015-12-04,63.25942611694336
2015-12-07,63.00394821166992
2015-12-08,63.59730529785156
2015-12-09,62.73198699951172
2015-12-10,62.773170471191406
2015-12-11,61.817230224609375
2015-12-14,62.3446159362793
2015-12-15,61.726558685302734
2015-12-16,62.74020767211914
2015-12-17,61.726558685302734
2015-12-18,60.89419174194336
2015-12-21,61.71831512451172
2015-12-22,61.940834045410156
2015-12-23,62.76496505737305
2015-12-24,62.863834381103516
2015-12-28,62.99568176269531
2015-12-29,63.56432342529297
2015-12-30,63.3418083190918
2015-12-31,62.66607666015625
2016-01-04,62.03971862792969
2016-01-05,62.17158889770508
2016-01-06,60.935386657714844
2016-01-07,59.39430618286133
2016-01-08,58.4135856628418
2016-01-11,59.897003173828125
2016-01-12,60.383235931396484
2016-01-13,57.60596466064453
2016-01-14,57.614200592041016
2016-01-15,57.084625244140625
2016-01-19,57.473541259765625
2016-01-20,56.32341003417969
2016-01-21,57.35771179199219
2016-01-22,58.33407211303711
2016-01-25,57.837615966796875
2016-01-26,57.92036056518555
2016-01-27,57.54800033569336
2016-01-28,57.283226013183594
2016-01-29,59.29388427734375
2016-02-01,60.12132263183594
2016-02-02,59.4676513671875
2016-02-03,55.785560607910156
2016-02-04,56.232398986816406
2016-02-05,54.478233337402344
2016-02-08,52.583396911621094
2016-02-09,53.07986831665039
2016-02-10,53.0053825378418
2016-02-11,52.45929718017578
2016-02-12,53.67561340332031
2016-02-16,55.793846130371094
2016-02-17,56.26548385620117
2016-02-18,56.033809661865234
2016-02-19,56.695743560791016
2016-02-22,57.48180389404297
2016-02-23,56.1827278137207
2016-02-24,56.77848815917969
2016-02-25,56.84469985961914
2016-02-26,57.1756591796875
2016-02-29,55.8765869140625
2016-03-01,57.126014709472656
2016-03-02,57.167381286621094
2016-03-03,57.86241912841797
2016-03-04,58.2430534362793
2016-03-07,58.55747604370117
2016-03-08,58.739501953125
2016-03-09,58.6236572265625
2016-03-10,58.49956512451172
2016-03-11,59.674503326416016
2016-03-14,60.19579315185547
2016-03-15,60.485389709472656
2016-03-16,61.04805374145508
2016-03-17,61.246639251708984
2016-03-18,61.99959945678711
2016-03-21,62.23953628540039
2016-03-22,62.26437759399414
2016-03-23,61.87547302246094
2016-03-24,61.86719512939453
2016-03-28,62.049259185791016
2016-03-29,62.61187744140625
2016-03-30,62.901527404785156
2016-03-31,62.6781005859375
2016-04-01,63.29867935180664
2016-04-04,63.03388214111328
2016-04-05,62.77739334106445
2016-04-06,62.959407806396484
2016-04-07,62.34709167480469
2016-04-08,62.08235549926758
2016-04-11,62.18164825439453
2016-04-12,62.661563873291016
2016-04-13,63.43107604980469
2016-04-14,63.29867935180664
2016-04-15,63.96887969970703
2016-04-18,64.24291229248047
2016-04-19,63.45400619506836
2016-04-20,63.39585876464844
2016-04-21,62.97235107421875
2016-04-22,63.155067443847656
2016-04-25,63.271331787109375
2016-04-26,63.37925720214844
2016-04-27,63.89414596557617
2016-04-28,62.60695266723633
2016-04-29,63.130149841308594
2016-05-02,63.229801177978516
2016-05-03,62.872718811035156
2016-05-04,62.97235107421875
2016-05-05,62.39937210083008
2016-05-06,62.73151779174805
2016-05-09,62.980655670166016
2016-05-10,63.93566131591797
2016-05-11,62.39104080200195
2016-05-12,62.61527633666992
2016-05-13,62.29143142700195
2016-05-16,63.9439811706543
2016-05-17,63.171653747558594
2016-05-18,65.27269744873047
2016-05-19,66.31903076171875
2016-05-20,66.28580474853516
2016-05-23,65.49691772460938
2016-05-24,66.10309600830078
2016-05-25,66.38546752929688
2016-05-26,66.56816864013672
2016-05-27,66.72593688964844
2016-05-31,66.54322052001953
2016-06-01,66.65950775146484
2016-06-02,67.06644439697266
2016-06-03,66.44359588623047
2016-06-06,65.14812469482422
2016-06-07,66.05326080322266
2016-06-08,65.50521087646484
