Date,EBAY
2015-07-01,25.433502197265625
2015-07-02,26.031145095825195
2015-07-06,25.99326515197754
2015-07-07,26.085859298706055
2015-07-08,25.669191360473633
2015-07-09,25.997474670410156
2015-07-10,26.25
2015-07-13,26.712963104248047
2015-07-14,26.76346778869629
2015-07-15,26.700336456298828
2015-07-16,27.6052188873291
2015-07-17,27.899831771850586
2015-07-20,28.56999969482422
2015-07-21,28.600000381469727
2015-07-22,28.450000762939453
2015-07-23,28.43000030517578
2015-07-24,28.229999542236328
2015-07-27,28.0
2015-07-28,28.329999923706055
2015-07-29,28.75
2015-07-30,28.3700008392334
2015-07-31,28.1200008392334
2015-08-03,28.329999923706055
2015-08-04,28.40999984741211
2015-08-05,28.559999465942383
2015-08-06,28.15999984741211
2015-08-07,28.549999237060547
2015-08-10,28.65999984741211
2015-08-11,28.139999389648438
2015-08-12,28.010000228881836
2015-08-13,27.989999771118164
2015-08-14,28.260000228881836
2015-08-17,28.290000915527344
2015-08-18,27.770000457763672
2015-08-19,27.43000030517578
2015-08-20,26.520000457763672
2015-08-21,25.770000457763672
2015-08-24,24.93000030517578
2015-08-25,25.229999542236328
2015-08-26,26.170000076293945
2015-08-27,27.100000381469727
2015-08-28,27.25
2015-08-31,27.110000610351562
2015-09-01,26.479999542236328
2015-09-02,26.8700008392334
2015-09-03,27.040000915527344
2015-09-04,26.479999542236328
2015-09-08,26.360000610351562
2015-09-09,26.200000762939453
2015-09-10,26.149999618530273
2015-09-11,26.31999969482422
2015-09-14,25.75
2015-09-15,25.979999542236328
2015-09-16,26.739999771118164
2015-09-17,26.270000457763672
2015-09-18,26.020000457763672
2015-09-21,25.920000076293945
2015-09-22,25.610000610351562
2015-09-23,25.59000015258789
2015-09-24,25.610000610351562
2015-09-25,25.329999923706055
2015-09-28,24.139999389648438
2015-09-29,24.079999923706055
2015-09-30,24.440000534057617
2015-10-01,24.90999984741211
2015-10-02,25.530000686645508
2015-10-05,25.739999771118164
2015-10-06,25.68000030517578
2015-10-07,25.68000030517578
2015-10-08,24.149999618530273
2015-10-09,24.299999237060547
2015-10-12,24.559999465942383
2015-10-13,24.6200008392334
2015-10-14,24.0
2015-10-15,24.510000228881836
2015-10-16,24.549999237060547
2015-10-19,24.559999465942383
2015-10-20,24.420000076293945
2015-10-21,24.209999084472656
2015-10-22,27.579999923706055
2015-10-23,28.15999984741211
2015-10-26,28.170000076293945
2015-10-27,28.3700008392334
2015-10-28,28.25
2015-10-29,28.18000030517578
2015-10-30,27.899999618530273
2015-11-02,28.5
