Date,FE
2015-07-01,20.915084838867188
2015-07-02,21.17005729675293
2015-07-06,21.233806610107422
2015-07-07,21.711904525756836
2015-07-08,21.539791107177734
2015-07-09,21.33579444885254
2015-07-10,21.456920623779297
2015-07-13,21.463289260864258
2015-07-14,21.431421279907227
2015-07-15,21.584413528442383
2015-07-16,22.113500595092773
2015-07-17,21.92864227294922
2015-07-20,21.65453338623047
2015-07-21,21.21468162536621
2015-07-22,21.240182876586914
2015-07-23,20.602720260620117
2015-07-24,20.583599090576172
2015-07-27,20.876832962036133
2015-07-28,20.908702850341797
2015-07-29,20.787586212158203
2015-07-30,21.010700225830078
2015-07-31,21.64815902709961
2015-08-03,21.94776725769043
2015-08-04,21.488792419433594
2015-08-05,21.624107360839844
2015-08-06,21.88828468322754
2015-08-07,22.075143814086914
2015-08-10,21.991376876831055
2015-08-11,22.03004264831543
2015-08-12,22.300670623779297
2015-08-13,22.197574615478516
2015-08-14,22.41664695739746
2015-08-17,22.46819305419922
2015-08-18,22.326435089111328
2015-08-19,22.474637985229492
2015-08-20,22.152469635009766
2015-08-21,21.901172637939453
2015-08-24,21.095745086669922
2015-08-25,20.438518524169922
2015-08-26,20.709138870239258
2015-08-27,20.947547912597656
2015-08-28,20.934661865234375
2015-08-31,20.59315299987793
2015-09-01,19.96170425415039
2015-09-02,19.88438606262207
2015-09-03,20.13567352294922
2015-09-04,19.710411071777344
2015-09-08,20.0905704498291
2015-09-09,19.83283805847168
2015-09-10,19.69752311706543
2015-09-11,19.710411071777344
2015-09-14,19.89726448059082
2015-09-15,20.09701156616211
2015-09-16,20.348304748535156
2015-09-17,20.438518524169922
2015-09-18,20.058351516723633
2015-09-21,20.20010757446289
2015-09-22,19.910154342651367
2015-09-23,19.633085250854492
2015-09-24,19.794172286987305
2015-09-25,20.000362396240234
2015-09-28,19.91659927368164
2015-09-29,19.865053176879883
2015-09-30,20.174335479736328
2015-10-01,19.710411071777344
2015-10-02,19.942378997802734
2015-10-05,20.361190795898438
2015-10-06,20.07124137878418
2015-10-07,19.993915557861328
2015-10-08,20.193666458129883
2015-10-09,20.33542251586914
2015-10-12,20.876670837402344
2015-10-13,20.831565856933594
2015-10-14,20.94110107421875
2015-10-15,21.095745086669922
2015-10-16,20.94110107421875
2015-10-19,20.760690689086914
2015-10-20,21.024869918823242
2015-10-21,20.773576736450195
2015-10-22,20.947547912597656
2015-10-23,20.406301498413086
2015-10-26,20.161447525024414
2015-10-27,20.09701156616211
2015-10-28,19.871496200561523
2015-10-29,19.858612060546875
2015-10-30,20.10346221923828
2015-11-02,20.077686309814453
2015-11-03,20.019699096679688
2015-11-04,20.202220916748047
2015-11-05,19.817602157592773
2015-11-06,19.09400177001953
2015-11-09,18.983179092407227
2015-11-10,19.217859268188477
2015-11-11,19.69374656677246
2015-11-12,19.661149978637695
2015-11-13,19.947988510131836
2015-11-16,19.84368324279785
2015-11-17,19.595966339111328
2015-11-18,19.824127197265625
2015-11-19,20.345638275146484
2015-11-20,20.528169631958008
2015-11-23,20.319562911987305
2015-11-24,20.313045501708984
2015-11-25,20.16311264038086
2015-11-27,20.3065242767334
