Date,LMT
2015-07-01,141.2194366455078
2015-07-02,140.56646728515625
2015-07-06,141.08432006835938
2015-07-07,142.7128448486328
2015-07-08,142.6303253173828
2015-07-09,144.19134521484375
2015-07-10,145.7373046875
2015-07-13,148.5066375732422
2015-07-14,149.38475036621094
2015-07-15,149.65489196777344
2015-07-16,151.31350708007812
2015-07-17,150.98326110839844
2015-07-20,153.9477081298828
2015-07-21,152.46176147460938
2015-07-22,152.19154357910156
2015-07-23,152.2216033935547
2015-07-24,150.8782196044922
2015-07-27,150.9757537841797
2015-07-28,152.8219451904297
2015-07-29,156.2141571044922
2015-07-30,154.953369140625
2015-07-31,155.42613220214844
2015-08-03,155.94400024414062
2015-08-04,157.2498321533203
2015-08-05,157.17477416992188
2015-08-06,157.0471954345703
2015-08-07,156.9196319580078
2015-08-10,158.18795776367188
2015-08-11,156.74703979492188
2015-08-12,156.68699645996094
2015-08-13,157.44500732421875
2015-08-14,159.07359313964844
2015-08-17,159.8690643310547
2015-08-18,159.60638427734375
2015-08-19,158.56321716308594
2015-08-20,156.94967651367188
2015-08-21,153.60997009277344
2015-08-24,148.19151306152344
2015-08-25,149.3321990966797
2015-08-26,151.688720703125
2015-08-27,154.17282104492188
2015-08-28,154.15011596679688
2015-08-31,152.09381103515625
2015-09-01,149.40240478515625
2015-09-02,154.25601196289062
2015-09-03,155.13296508789062
2015-09-04,153.1824493408203
2015-09-08,156.5014190673828
2015-09-09,154.72471618652344
2015-09-10,155.85121154785156
2015-09-11,156.35015869140625
2015-09-14,155.73773193359375
2015-09-15,157.12884521484375
2015-09-16,156.9171905517578
2015-09-17,156.94740295410156
2015-09-18,153.7041015625
2015-09-21,154.49038696289062
2015-09-22,153.96868896484375
2015-09-23,153.29586791992188
2015-09-24,154.80027770996094
2015-09-25,154.142578125
2015-09-28,151.36805725097656
2015-09-29,153.069091796875
2015-09-30,156.7281494140625
2015-10-01,154.79278564453125
2015-10-02,156.19894409179688
2015-10-05,160.06971740722656
2015-10-06,159.06423950195312
2015-10-07,160.9920196533203
2015-10-08,162.06553649902344
2015-10-09,161.22640991210938
2015-10-12,162.03533935546875
2015-10-13,160.25872802734375
2015-10-14,157.36317443847656
2015-10-15,158.1418914794922
2015-10-16,158.5955047607422
2015-10-19,159.2456817626953
2015-10-20,157.80169677734375
2015-10-21,159.94114685058594
2015-10-22,163.6834259033203
2015-10-23,165.80784606933594
2015-10-26,167.03257751464844
2015-10-27,168.6201934814453
2015-10-28,167.108154296875
2015-10-29,164.99888610839844
2015-10-30,166.19337463378906
2015-11-02,166.76791381835938
2015-11-03,165.49029541015625
2015-11-04,165.4373779296875
2015-11-05,165.2635040283203
2015-11-06,163.77413940429688
2015-11-09,162.31507873535156
2015-11-10,161.8388214111328
2015-11-11,162.62503051757812
2015-11-12,161.46832275390625
2015-11-13,161.1508026123047
2015-11-16,166.828369140625
2015-11-17,168.1287841796875
2015-11-18,168.75625610351562
2015-11-19,169.34591674804688
2015-11-20,170.9032745361328
2015-11-23,170.8806610107422
2015-11-24,171.1830596923828
2015-11-25,170.70672607421875
2015-11-27,172.04713439941406
2015-11-30,166.90650939941406
2015-12-01,167.69850158691406
2015-12-02,166.7389373779297
2015-12-03,164.0886688232422
2015-12-04,166.3201446533203
2015-12-07,166.88363647460938
2015-12-08,166.6399383544922
