Date,PKG
2017-07-03,112.11000061035156
2017-07-05,111.88999938964844
2017-07-06,110.83999633789062
2017-07-07,110.91999816894531
2017-07-10,112.45999908447266
2017-07-11,111.29000091552734
2017-07-12,111.83999633789062
2017-07-13,113.30999755859375
2017-07-14,113.11000061035156
2017-07-17,112.83999633789062
2017-07-18,111.51000213623047
2017-07-19,112.27999877929688
2017-07-20,110.45999908447266
2017-07-21,109.45999908447266
2017-07-24,108.98999786376953
2017-07-25,108.58000183105469
2017-07-26,108.80000305175781
2017-07-27,110.55000305175781
2017-07-28,109.7699966430664
2017-07-31,109.4800033569336
2017-08-01,110.05000305175781
2017-08-02,110.2300033569336
2017-08-03,110.08000183105469
2017-08-04,109.08000183105469
2017-08-07,109.41999816894531
2017-08-08,109.62000274658203
2017-08-09,109.16999816894531
2017-08-10,107.33000183105469
2017-08-11,107.5199966430664
2017-08-14,109.12999725341797
2017-08-15,109.29000091552734
2017-08-16,111.44000244140625
2017-08-17,110.56999969482422
2017-08-18,109.98999786376953
2017-08-21,106.51000213623047
2017-08-22,108.79000091552734
2017-08-23,109.16000366210938
2017-08-24,110.12000274658203
2017-08-25,110.36000061035156
2017-08-28,109.05999755859375
2017-08-29,108.5
2017-08-30,111.13999938964844
2017-08-31,112.41000366210938
2017-09-01,113.44999694824219
2017-09-05,111.88999938964844
2017-09-06,111.62999725341797
2017-09-07,112.27999877929688
2017-09-08,113.79000091552734
2017-09-11,116.80000305175781
2017-09-12,118.2699966430664
2017-09-13,116.5999984741211
2017-09-14,115.80000305175781
2017-09-15,115.87999725341797
2017-09-18,116.22000122070312
2017-09-19,117.26000213623047
2017-09-20,119.27999877929688
2017-09-21,118.80000305175781
2017-09-22,116.20999908447266
2017-09-25,113.9000015258789
2017-09-26,114.31999969482422
2017-09-27,115.29000091552734
2017-09-28,115.61000061035156
2017-09-29,114.68000030517578
2017-10-02,116.8499984741211
2017-10-03,117.2699966430664
2017-10-04,117.33000183105469
2017-10-05,117.05999755859375
2017-10-06,116.5
2017-10-09,116.72000122070312
2017-10-10,117.47000122070312
2017-10-11,116.69999694824219
2017-10-12,115.5
2017-10-13,115.69000244140625
2017-10-16,117.0
2017-10-17,116.75
