Date,RMD
2015-07-01,48.523738861083984
2015-07-02,48.53253173828125
2015-07-06,48.59394836425781
2015-07-07,49.69076919555664
2015-07-08,49.14674758911133
2015-07-09,49.81361770629883
2015-07-10,50.05931091308594
2015-07-13,50.366424560546875
2015-07-14,50.52436828613281
2015-07-15,50.269901275634766
2015-07-16,50.70862579345703
2015-07-17,50.31377410888672
2015-07-20,50.1207275390625
2015-07-21,49.804840087890625
2015-07-22,49.62057876586914
2015-07-23,49.3748893737793
2015-07-24,49.06776809692383
2015-07-27,48.40967559814453
2015-07-28,49.75218963623047
2015-07-29,49.06776809692383
2015-07-30,49.24326705932617
2015-07-31,50.84902572631836
2015-08-03,48.611507415771484
2015-08-04,49.05022048950195
2015-08-05,48.74311828613281
2015-08-06,48.11135482788086
2015-08-07,48.15522003173828
2015-08-10,48.6465950012207
2015-08-11,48.40090560913086
2015-08-12,48.4184455871582
2015-08-13,48.523738861083984
2015-08-14,49.006343841552734
2015-08-17,48.523738861083984
2015-08-18,48.42669677734375
2015-08-19,48.04732894897461
2015-08-20,47.57974624633789
2015-08-21,46.31810760498047
2015-08-24,43.7066650390625
2015-08-25,44.57126235961914
2015-08-26,45.70936584472656
2015-08-27,45.56822204589844
2015-08-28,46.29166030883789
2015-08-31,45.82405471801758
2015-09-01,44.77418899536133
2015-09-02,45.79759979248047
2015-09-03,45.550567626953125
2015-09-04,45.14472961425781
2015-09-08,45.79759979248047
2015-09-09,44.474220275878906
2015-09-10,44.747718811035156
2015-09-11,45.41822052001953
2015-09-14,44.95063018798828
2015-09-15,44.90652847290039
2015-09-16,44.90652847290039
2015-09-17,45.21531295776367
2015-09-18,44.9947395324707
2015-09-21,44.350704193115234
2015-09-22,43.92722702026367
2015-09-23,43.883121490478516
2015-09-24,45.629966735839844
2015-09-25,44.57126235961914
2015-09-28,43.60961151123047
2015-09-29,44.659488677978516
2015-09-30,44.95946502685547
2015-10-01,45.21531295776367
2015-10-02,45.58585739135742
2015-10-05,46.45927429199219
2015-10-06,46.68867492675781
2015-10-07,47.703269958496094
2015-10-08,47.562103271484375
2015-10-09,47.906166076660156
2015-10-12,48.126739501953125
2015-10-13,48.100257873535156
2015-10-14,48.74432373046875
2015-10-15,49.6971435546875
2015-10-16,49.84711837768555
2015-10-19,51.073455810546875
2015-10-20,49.811832427978516
2015-10-21,49.591270446777344
2015-10-22,48.96486282348633
2015-10-23,49.626564025878906
2015-10-26,49.61774826049805
2015-10-27,50.64997863769531
2015-10-28,50.90583038330078
2015-10-29,50.56174850463867
2015-10-30,50.826416015625
2015-11-02,51.364601135253906
2015-11-03,51.66457748413086
2015-11-04,51.638099670410156
2015-11-05,51.59398651123047
2015-11-06,51.48809814453125
2015-11-09,51.14403533935547
2015-11-10,51.08229064941406
2015-11-11,51.4969482421875
2015-11-12,50.6058464050293
2015-11-13,50.5705680847168
2015-11-16,50.667625427246094
2015-11-17,51.06673049926758
2015-11-18,51.56336212158203
2015-11-19,51.652061462402344
2015-11-20,52.4325065612793
2015-11-23,51.83830261230469
2015-11-24,52.40591049194336
2015-11-25,52.80500793457031
2015-11-27,53.23069763183594
2015-11-30,52.83160400390625
2015-12-01,53.15089416503906
2015-12-02,53.11540222167969
