Date,HPQ
2015-07-01,13.860127449035645
2015-07-02,13.93733024597168
2015-07-06,13.882834434509277
2015-07-07,13.987283706665039
2015-07-08,13.828337669372559
2015-07-09,13.801090240478516
2015-07-10,13.919163703918457
2015-07-13,13.960036277770996
2015-07-14,13.855586051940918
2015-07-15,13.851044654846191
2015-07-16,13.78292465209961
2015-07-17,13.787466049194336
2015-07-20,13.828337669372559
2015-07-21,13.9237060546875
2015-07-22,13.973660469055176
2015-07-23,14.182560920715332
2015-07-24,13.991826057434082
2015-07-27,13.737510681152344
2015-07-28,13.746594429016113
2015-07-29,13.760217666625977
2015-07-30,13.905540466308594
2015-07-31,13.860127449035645
2015-08-03,13.633061408996582
2015-08-04,13.514986038208008
2015-08-05,13.760217666625977
2015-08-06,13.687557220458984
2015-08-07,13.356040000915527
2015-08-10,13.732970237731934
2015-08-11,13.315168380737305
2015-08-12,13.215258598327637
2015-08-13,12.920072555541992
2015-08-14,13.03814697265625
2015-08-17,12.9927339553833
2015-08-18,12.89282512664795
2015-08-19,12.597639083862305
2015-08-20,12.420527458190918
2015-08-21,12.47502326965332
2015-08-24,12.079927444458008
2015-08-25,11.666666984558105
2015-08-26,12.306994438171387
2015-08-27,12.620345115661621
2015-08-28,12.729336738586426
2015-08-31,12.742960929870605
2015-09-01,12.629427909851074
2015-09-02,12.715712547302246
2015-09-03,12.774749755859375
2015-09-04,12.257039070129395
2015-09-08,12.529519081115723
2015-09-09,12.379654884338379
2015-09-10,12.411443710327148
2015-09-11,12.329700469970703
2015-09-14,12.279746055603027
2015-09-15,12.311534881591797
2015-09-16,12.929155349731445
2015-09-17,12.52043628692627
2015-09-18,12.052679061889648
2015-09-21,12.0072660446167
2015-09-22,11.6485013961792
2015-09-23,11.57583999633789
2015-09-24,11.471389770507812
2015-09-25,11.357855796813965
2015-09-28,11.158038139343262
2015-09-29,11.194369316101074
2015-09-30,11.630335807800293
2015-10-01,11.512262344360352
2015-10-02,11.839237213134766
2015-10-05,12.343323707580566
2015-10-06,12.715712547302246
2015-10-07,12.720253944396973
2015-10-08,13.251588821411133
2015-10-09,13.306084632873535
2015-10-12,13.306084632873535
2015-10-13,13.274295806884766
2015-10-14,13.360581398010254
2015-10-15,13.06539535522461
2015-10-16,13.106266975402832
2015-10-19,13.160762786865234
2015-10-20,12.970026969909668
2015-10-21,12.820162773132324
