Date,MMM
2015-07-01,91.91670989990234
2015-07-02,91.75727844238281
2015-07-06,91.58009338378906
2015-07-07,91.78680419921875
2015-07-08,90.18054962158203
2015-07-09,90.7947006225586
2015-07-10,91.50337219238281
2015-07-13,92.40096282958984
2015-07-14,92.58403778076172
2015-07-15,92.12342071533203
2015-07-16,92.81431579589844
2015-07-17,92.53089904785156
2015-07-20,92.7847900390625
2015-07-21,91.98169708251953
2015-07-22,91.77496337890625
2015-07-23,88.28492736816406
2015-07-24,88.18453979492188
2015-07-27,87.81841278076172
2015-07-28,89.23567962646484
2015-07-29,89.43649291992188
2015-07-30,89.50733947753906
2015-07-31,89.37153625488281
2015-08-03,88.65106964111328
2015-08-04,88.81642150878906
2015-08-05,89.1766357421875
2015-08-06,88.14321899414062
2015-08-07,87.9247055053711
2015-08-10,89.31246948242188
2015-08-11,87.68262481689453
2015-08-12,87.70621490478516
2015-08-13,87.04481506347656
2015-08-14,87.56450653076172
2015-08-17,88.13140106201172
2015-08-18,87.58218383789062
2015-08-19,86.74079132080078
2015-08-20,85.24227905273438
2015-08-21,84.4930191040039
2015-08-24,82.40580749511719
2015-08-25,81.84683990478516
2015-08-26,84.8676528930664
2015-08-27,85.56934356689453
2015-08-28,85.75365447998047
2015-08-31,84.52275848388672
2015-09-01,82.35826873779297
2015-09-02,83.98760223388672
2015-09-03,84.284912109375
2015-09-04,83.15509033203125
2015-09-08,85.28983306884766
2015-09-09,83.76161193847656
2015-09-10,83.71404266357422
2015-09-11,83.99945068359375
2015-09-14,83.73188781738281
2015-09-15,85.39093780517578
2015-09-16,85.74771881103516
2015-09-17,85.00443267822266
2015-09-18,83.02424621582031
2015-09-21,83.27401733398438
2015-09-22,82.07281494140625
2015-09-23,81.8587646484375
2015-09-24,81.81120300292969
2015-09-25,82.98857879638672
2015-09-28,82.2868881225586
2015-09-29,84.17192077636719
2015-09-30,84.30271911621094
2015-10-01,83.72594451904297
2015-10-02,85.15309143066406
2015-10-05,87.00836944580078
2015-10-06,86.6932144165039
2015-10-07,87.73384857177734
2015-10-08,88.8874282836914
2015-10-09,89.13719940185547
2015-10-12,89.2323226928711
2015-10-13,88.66741943359375
2015-10-14,88.19764709472656
2015-10-15,88.71501922607422
2015-10-16,88.42363739013672
2015-10-19,88.00736236572266
2015-10-20,88.66741943359375
2015-10-21,89.08960723876953
2015-10-22,92.76456451416016
2015-10-23,92.63965606689453
2015-10-26,93.08565521240234
2015-10-27,93.19863891601562
2015-10-28,94.00138092041016
2015-10-29,93.72189331054688
2015-10-30,93.48403930664062
2015-11-02,95.09554290771484
2015-11-03,94.39981079101562
2015-11-04,94.49494171142578
2015-11-05,94.54252624511719
2015-11-06,94.70306396484375
2015-11-09,93.63863372802734
2015-11-10,93.71000671386719
2015-11-11,94.57819366455078
2015-11-12,92.94293212890625
2015-11-13,92.556396484375
2015-11-16,94.07868957519531
2015-11-17,93.37702941894531
2015-11-18,94.20600128173828
2015-11-19,94.79857635498047
2015-11-20,95.13976287841797
2015-11-23,94.96018981933594
2015-11-24,94.4214859008789
2015-11-25,94.34967803955078
2015-11-27,94.56513977050781
2015-11-30,93.7212142944336
2015-12-01,93.9127197265625
2015-12-02,93.1944580078125
2015-12-03,92.40437316894531
2015-12-04,94.70281982421875
2015-12-07,94.4214859008789
2015-12-08,93.84688568115234
2015-12-09,93.40393829345703
2015-12-10,94.28382873535156
2015-12-11,92.67371368408203
2015-12-14,94.34967803955078
2015-12-15,88.66341400146484
2015-12-16,89.7527847290039
2015-12-17,89.09436798095703
2015-12-18,87.93917083740234
2015-12-21,88.27436065673828
2015-12-22,89.16619110107422
2015-12-23,90.47704315185547
2015-12-24,90.49498748779297
2015-12-28,90.51294708251953
2015-12-29,91.51252746582031
2015-12-30,90.92591857910156
2015-12-31,90.16580200195312
2016-01-04,87.87928771972656
2016-01-05,88.26240539550781
2016-01-06,86.48468780517578
2016-01-07,84.37779998779297
2016-01-08,84.09048461914062
2016-01-11,84.07254028320312
2016-01-12,84.31197357177734
2016-01-13,83.03108215332031
2016-01-14,84.50349426269531
2016-01-15,83.0130844116211
2016-01-19,82.83354187011719
2016-01-20,81.97760009765625
2016-01-21,82.45643615722656
2016-01-22,83.5098876953125
2016-01-25,82.34271240234375
2016-01-26,86.65828704833984
2016-01-27,87.11915588378906
2016-01-28,88.17860412597656
2016-01-29,90.38125610351562
2016-02-01,89.02254486083984
2016-02-02,88.50778198242188
2016-02-03,91.29106140136719
2016-02-04,91.84174346923828
2016-02-05,91.85968017578125
2016-02-08,92.11705017089844
2016-02-09,92.6198501586914
2016-02-10,91.9084701538086
2016-02-11,90.83533477783203
2016-02-12,92.81878662109375
2016-02-16,93.76531219482422
2016-02-17,94.42247009277344
2016-02-18,94.51889038085938
2016-02-19,94.31996154785156
2016-02-22,95.07355499267578
2016-02-23,94.15115356445312
2016-02-24,94.7841567993164
2016-02-25,95.85126495361328
2016-02-26,95.41717529296875
2016-02-29,94.57315826416016
2016-03-01,96.21297454833984
2016-03-02,96.10443115234375
2016-03-03,96.08639526367188
2016-03-04,96.50238800048828
2016-03-07,96.8038101196289
2016-03-08,96.58074188232422
2016-03-09,96.51441955566406
2016-03-10,96.39385223388672
2016-03-11,97.59355926513672
2016-03-14,97.55137634277344
2016-03-15,97.91309356689453
2016-03-16,98.20248413085938
2016-03-17,98.720947265625
2016-03-18,99.67349243164062
2016-03-21,99.37808990478516
2016-03-22,99.42028045654297
2016-03-23,99.034423828125
2016-03-24,99.14900970458984
2016-03-28,100.24622344970703
2016-03-29,99.1067886352539
2016-03-30,100.52960968017578
2016-03-31,100.45722198486328
2016-04-01,100.99983215332031
2016-04-04,100.31858825683594
2016-04-05,99.96287536621094
2016-04-06,100.56575775146484
2016-04-07,100.77674102783203
2016-04-08,100.45722198486328
2016-04-11,100.4331283569336
2016-04-12,101.30126190185547
2016-04-13,101.63884735107422
2016-04-14,101.379638671875
2016-04-15,101.7534408569336
2016-04-18,102.21762084960938
2016-04-19,102.27792358398438
2016-04-20,101.84986877441406
2016-04-21,101.68106842041016
2016-04-22,101.68106842041016
2016-04-25,101.51227569580078
2016-04-26,100.18592834472656
2016-04-27,101.13847351074219
2016-04-28,100.6802978515625
2016-04-29,100.90939331054688
2016-05-02,101.4881591796875
2016-05-03,101.26506042480469
2016-05-04,100.77674102783203
2016-05-05,101.14449310302734
2016-05-06,101.81974029541016
2016-05-09,101.59666442871094
2016-05-10,102.64566040039062
2016-05-11,102.35027313232422
2016-05-12,102.57935333251953
2016-05-13,101.47610473632812
2016-05-16,102.21762084960938
2016-05-17,101.16862487792969
2016-05-18,101.24143981933594
2016-05-19,100.20367431640625
2016-05-20,100.14299774169922
2016-05-23,100.81055450439453
2016-05-24,102.33992767333984
2016-05-25,103.16529083251953
2016-05-26,102.50983428955078
2016-05-27,102.49772644042969
2016-05-31,102.15179443359375
2016-06-01,102.37633514404297
2016-06-02,101.98184967041016
2016-06-03,102.18820190429688
2016-06-06,103.21993255615234
2016-06-07,103.7236557006836
2016-06-08,104.03314971923828
2016-06-09,103.250244140625
2016-06-10,102.29744720458984
2016-06-13,101.42960357666016
2016-06-14,101.72090911865234
2016-06-15,101.83619689941406
2016-06-16,103.12889099121094
2016-06-17,102.5280532836914
2016-06-20,103.91785430908203
2016-06-21,104.00279235839844
2016-06-22,103.91785430908203
2016-06-23,105.66570281982422
2016-06-24,102.63728332519531
2016-06-27,101.46599578857422
2016-06-28,102.92253875732422
2016-06-29,104.0938491821289
2016-06-30,106.27867889404297
2016-07-01,106.53352355957031
2016-07-05,106.58811950683594
2016-07-06,106.30290985107422
2016-07-07,106.12693786621094
2016-07-08,107.492431640625
2016-07-11,108.03254699707031
2016-07-12,108.73049926757812
2016-07-13,108.76083374023438
2016-07-14,109.78646087646484
2016-07-15,110.08992004394531
2016-07-18,109.91392517089844
2016-07-19,109.9928207397461
2016-07-20,110.10205078125
2016-07-21,109.39804077148438
2016-07-22,109.50729370117188
2016-07-25,109.0157470703125
2016-07-26,107.82015228271484
2016-07-27,108.1903305053711
2016-07-28,108.01434326171875
2016-07-29,108.24496459960938
2016-08-01,108.20250701904297
2016-08-02,108.24496459960938
2016-08-03,108.25711822509766
2016-08-04,107.91118621826172
2016-08-05,108.3724136352539
2016-08-08,108.37847137451172
2016-08-09,108.26317596435547
2016-08-10,108.52413177490234
2016-08-11,109.84716033935547
2016-08-12,109.40411376953125
2016-08-15,109.580078125
2016-08-16,108.78511047363281
2016-08-17,109.84154510498047
2016-08-18,109.42018127441406
2016-08-19,109.68280792236328
2016-08-22,109.35301971435547
2016-08-23,109.7804946899414
2016-08-24,109.5606918334961
2016-08-25,109.66445922851562
2016-08-26,109.5606918334961
2016-08-29,110.22628784179688
2016-08-30,110.01252746582031
2016-08-31,109.45684814453125
2016-09-01,109.90873718261719
2016-09-02,110.4155502319336
2016-09-06,110.20186614990234
2016-09-07,109.7682876586914
2016-09-08,109.98202514648438
2016-09-09,107.25843048095703
2016-09-12,108.76065826416016
2016-09-13,107.52101135253906
2016-09-14,107.24618530273438
2016-09-15,107.83853149414062
2016-09-16,106.90421295166016
2016-09-19,107.91796112060547
2016-09-20,108.45535278320312
2016-09-21,109.67057037353516
2016-09-22,109.82935333251953
2016-09-23,108.32705688476562
2016-09-26,107.4477310180664
2016-09-27,107.66145324707031
2016-09-28,108.44921112060547
2016-09-29,107.09353637695312
2016-09-30,107.61871337890625
2016-10-03,106.89200592041016
2016-10-04,104.84016418457031
2016-10-05,105.2737045288086
2016-10-06,104.81574249267578
2016-10-07,104.62641906738281
2016-10-10,104.51040649414062
2016-10-11,103.61882781982422
2016-10-12,103.64321899414062
2016-10-13,103.82645416259766
