Date,BBT
2015-07-01,21.20279884338379
2015-07-02,20.946109771728516
2015-07-06,21.0854549407959
2015-07-07,20.777423858642578
2015-07-08,20.72608757019043
2015-07-09,20.806760787963867
2015-07-10,21.03412437438965
2015-07-13,21.05611801147461
2015-07-14,20.975448608398438
2015-07-15,21.078126907348633
2015-07-16,21.18813705444336
2015-07-17,21.05611801147461
2015-07-20,21.1661319732666
2015-07-21,21.078126907348633
2015-07-22,21.488834381103516
2015-07-23,21.232145309448242
2015-07-24,21.195470809936523
2015-07-27,21.21013641357422
2015-07-28,21.20279884338379
2015-07-29,21.100120544433594
2015-07-30,21.12946128845215
2015-07-31,21.34214973449707
2015-08-03,21.525501251220703
2015-08-04,21.769102096557617
2015-08-05,21.724811553955078
2015-08-06,21.555030822753906
2015-08-07,21.32619285583496
2015-08-10,21.45906639099121
2015-08-11,21.31880760192871
2015-08-12,21.08258628845215
2015-08-13,21.15640640258789
2015-08-14,21.50335693359375
2015-08-17,21.54764747619629
2015-08-18,21.39263153076172
2015-08-19,21.296667098999023
2015-08-20,20.86851692199707
2015-08-21,20.624910354614258
2015-08-24,19.864582061767578
2015-08-25,19.9162540435791
2015-08-26,20.366554260253906
2015-08-27,20.366554260253906
2015-08-28,20.455127716064453
2015-08-31,20.654438018798828
2015-09-01,19.96054458618164
2015-09-02,20.32225799560547
2015-09-03,20.307497024536133
2015-09-04,20.13033103942871
2015-09-08,20.499422073364258
2015-09-09,20.329647064208984
2015-09-10,20.528953552246094
2015-09-11,20.59539031982422
2015-09-14,20.610149383544922
2015-09-15,20.713491439819336
2015-09-16,20.624910354614258
2015-09-17,20.351787567138672
2015-09-18,19.9162540435791
2015-09-21,20.255823135375977
2015-09-22,20.108179092407227
2015-09-23,20.211532592773438
2015-09-24,20.373933792114258
2015-09-25,20.49203872680664
2015-09-28,20.248435974121094
2015-09-29,20.255823135375977
2015-09-30,20.329647064208984
2015-10-01,20.329647064208984
2015-10-02,19.87934684753418
2015-10-05,20.29273223876953
2015-10-06,20.03436279296875
2015-10-07,20.366554260253906
2015-10-08,20.58800506591797
2015-10-09,20.425600051879883
2015-10-12,20.573240280151367
2015-10-13,20.351787567138672
2015-10-14,19.945785522460938
2015-10-15,20.366554260253906
2015-10-16,20.373933792114258
2015-10-19,20.447750091552734
2015-10-20,20.528953552246094
2015-10-21,20.14509391784668
2015-10-22,20.499422073364258
2015-10-23,20.824228286743164
2015-10-26,20.698732376098633
2015-10-27,21.385244369506836
2015-10-28,22.05699348449707
2015-10-29,21.901973724365234
2015-10-30,21.11211395263672
2015-11-02,21.444303512573242
2015-11-03,21.43691635131836
