Date,OTIS
2020-03-19,41.36531448364258
2020-03-20,41.13677215576172
2020-03-23,36.5660285949707
2020-03-24,36.5660285949707
2020-03-25,37.489315032958984
2020-03-26,41.13677215576172
2020-03-27,41.35160827636719
2020-03-30,45.70752716064453
2020-03-31,45.70752716064453
2020-04-01,42.69083023071289
2020-04-02,40.222633361816406
2020-04-03,43.25760269165039
2020-04-06,41.99607849121094
2020-04-07,40.47859191894531
2020-04-08,40.304901123046875
2020-04-09,44.921356201171875
2020-04-13,42.050926208496094
2020-04-14,41.95036315917969
2020-04-15,40.72541046142578
2020-04-16,41.703548431396484
2020-04-17,42.188045501708984
2020-04-20,41.49330139160156
2020-04-21,41.95952224731445
2020-04-22,43.01078796386719
2020-04-23,43.394737243652344
2020-04-24,43.74209976196289
2020-04-27,44.08034133911133
2020-04-28,45.57954788208008
2020-04-29,46.75880432128906
2020-04-30,46.539405822753906
2020-05-01,45.442420959472656
2020-05-04,45.27787780761719
2020-05-05,43.961509704589844
2020-05-06,44.16261291503906
2020-05-07,47.362152099609375
2020-05-08,48.40428161621094
2020-05-11,47.362152099609375
2020-05-12,45.45157241821289
2020-05-13,44.07120895385742
2020-05-14,43.87923049926758
2020-05-15,44.69282150268555
2020-05-18,47.65467071533203
2020-05-19,47.819217681884766
2020-05-20,48.614532470703125
2020-05-21,47.742794036865234
2020-05-22,47.44918441772461
2020-05-26,46.696746826171875
2020-05-27,48.06397247314453
2020-05-28,46.76096725463867
2020-05-29,48.31171798706055
2020-06-01,49.62389373779297
2020-06-02,49.68812561035156
2020-06-03,50.899356842041016
2020-06-04,50.83512878417969
2020-06-05,53.74391555786133
2020-06-08,56.212276458740234
2020-06-09,55.65254592895508
2020-06-10,54.166011810302734
2020-06-11,51.61508560180664
2020-06-12,51.42238998413086
2020-06-15,52.91807556152344
2020-06-16,53.083255767822266
2020-06-17,52.06471252441406
2020-06-18,52.75291442871094
2020-06-19,52.30329132080078
2020-06-22,52.35834884643555
2020-06-23,52.11977005004883
2020-06-24,50.96359634399414
2020-06-25,51.5692138671875
2020-06-26,51.192989349365234
2020-06-29,51.908721923828125
2020-06-30,52.17483139038086
2020-07-01,51.18381118774414
2020-07-02,51.84449768066406
2020-07-06,52.17483139038086
2020-07-07,52.138118743896484
2020-07-08,52.22988510131836
2020-07-09,51.486629486083984
2020-07-10,52.28493118286133
2020-07-13,52.20235061645508
2020-07-14,52.642791748046875
2020-07-15,53.4044189453125
2020-07-16,53.514522552490234
2020-07-17,53.72556686401367
2020-07-20,53.7347526550293
2020-07-21,53.6246337890625
2020-07-22,53.66134262084961
2020-07-23,54.19355010986328
2020-07-24,53.340179443359375
2020-07-27,53.514522552490234
2020-07-28,55.31302261352539
2020-07-29,59.00178527832031
2020-07-30,58.16676712036133
2020-07-31,57.57033920288086
2020-08-03,58.00159454345703
2020-08-04,57.45103073120117
2020-08-05,57.8914909362793
2020-08-06,58.24935531616211
2020-08-07,59.10271453857422
2020-08-10,59.8367919921875
2020-08-11,59.066009521484375
2020-08-12,59.55235290527344
2020-08-13,58.726505279541016
2020-08-14,58.790733337402344
2020-08-17,58.689796447753906
2020-08-18,58.22182083129883
2020-08-19,57.73550033569336
2020-08-20,57.96562576293945
2020-08-21,58.573177337646484
2020-08-24,58.72966003417969
2020-08-25,59.18071746826172
2020-08-26,59.07946014404297
2020-08-27,58.2049560546875
2020-08-28,58.536346435546875
2020-08-31,57.90119171142578
2020-09-01,58.95980453491211
2020-09-02,60.14726638793945
2020-09-03,56.93463134765625
2020-09-04,56.60324478149414
2020-09-08,55.81158447265625
2020-09-09,57.146358489990234
2020-09-10,55.13960266113281
2020-09-11,55.360530853271484
2020-09-14,55.22245407104492
