Date,EMN
2015-07-01,57.19131088256836
2015-07-02,56.584468841552734
2015-07-06,55.36372375488281
2015-07-07,55.286094665527344
2015-07-08,53.529083251953125
2015-07-09,53.88189697265625
2015-07-10,54.467567443847656
2015-07-13,54.940364837646484
2015-07-14,55.92821502685547
2015-07-15,55.935272216796875
2015-07-16,56.18930435180664
2015-07-17,55.166160583496094
2015-07-20,54.255882263183594
2015-07-21,54.0371208190918
2015-07-22,53.41618728637695
2015-07-23,52.58353805541992
2015-07-24,51.89908981323242
2015-07-27,50.88298034667969
2015-07-28,54.34761428833008
2015-07-29,55.095611572265625
2015-07-30,55.455474853515625
2015-07-31,55.32139587402344
2015-08-03,54.72160720825195
2015-08-04,54.933284759521484
2015-08-05,54.404075622558594
2015-08-06,54.425235748291016
2015-08-07,54.10062789916992
2015-08-10,56.28104019165039
2015-08-11,54.778038024902344
2015-08-12,54.67926788330078
2015-08-13,54.64398956298828
2015-08-14,53.980674743652344
2015-08-17,54.6228141784668
2015-08-18,54.262935638427734
2015-08-19,52.99280548095703
2015-08-20,52.139007568359375
2015-08-21,50.7912483215332
2015-08-24,48.62495040893555
2015-08-25,47.82054901123047
2015-08-26,49.302364349365234
2015-08-27,51.249900817871094
2015-08-28,51.30634689331055
2015-08-31,51.129947662353516
2015-09-01,49.41526794433594
2015-09-02,49.60577392578125
2015-09-03,50.28318786621094
2015-09-04,49.06243896484375
2015-09-08,50.32551956176758
2015-09-09,49.697513580322266
2015-09-10,49.78977584838867
2015-09-11,49.59107208251953
2015-09-14,49.03044128417969
2015-09-15,49.79685592651367
2015-09-16,50.62715148925781
2015-09-17,50.19427490234375
2015-09-18,49.143985748291016
2015-09-21,50.329097747802734
2015-09-22,49.29302978515625
2015-09-23,48.12206268310547
2015-09-24,47.79562759399414
2015-09-25,47.263370513916016
2015-09-28,44.921485900878906
2015-09-29,45.01375961303711
2015-09-30,45.92921829223633
2015-10-01,46.48274612426758
2015-10-02,47.071773529052734
2015-10-05,48.5478630065918
2015-10-06,49.66202163696289
2015-10-07,50.00267028808594
2015-10-08,50.74072265625
2015-10-09,50.25815200805664
2015-10-12,50.39297866821289
2015-10-13,50.307823181152344
2015-10-14,50.109130859375
2015-10-15,49.62654495239258
2015-10-16,48.98075485229492
2015-10-19,48.959468841552734
2015-10-20,49.63364791870117
2015-10-21,48.98075485229492
2015-10-22,50.66265106201172
2015-10-23,51.66328430175781
2015-10-26,50.86845779418945
2015-10-27,51.2161865234375
2015-10-28,52.287776947021484
2015-10-29,52.30905532836914
2015-10-30,51.2161865234375
2015-11-02,51.237483978271484
2015-11-03,51.585205078125
2015-11-04,50.591670989990234
2015-11-05,50.14460372924805
2015-11-06,50.456844329833984
2015-11-09,49.15108108520508
2015-11-10,48.696895599365234
2015-11-11,47.83820343017578
2015-11-12,47.845298767089844
2015-11-13,48.68270492553711
2015-11-16,49.39946365356445
2015-11-17,49.39236831665039
2015-11-18,50.825889587402344
2015-11-19,50.31491470336914
2015-11-20,50.54201889038086
2015-11-23,50.655548095703125
2015-11-24,51.2161865234375
2015-11-25,50.33619689941406
2015-11-27,50.57040023803711
2015-11-30,51.55683135986328
2015-12-01,51.478763580322266
2015-12-02,50.939422607421875
2015-12-03,50.4852409362793
2015-12-04,52.02519226074219
2015-12-07,50.31491470336914
2015-12-08,48.90269470214844
2015-12-09,50.307823181152344
2015-12-10,49.57925033569336
2015-12-11,48.193504333496094
2015-12-14,47.643497467041016
2015-12-15,48.014923095703125
2015-12-16,48.94352340698242
2015-12-17,47.71493148803711
2015-12-18,47.54350662231445
2015-12-21,47.67205810546875
2015-12-22,48.214935302734375
2015-12-23,49.464962005615234
2015-12-24,49.22209167480469
2015-12-28,48.72208023071289
2015-12-29,49.336387634277344
2015-12-30,48.429229736328125
2015-12-31,48.22208023071289
2016-01-04,47.5934944152832
2016-01-05,47.93636703491211
2016-01-06,47.007789611816406
2016-01-07,46.24348068237305
2016-01-08,45.472042083740234
2016-01-11,44.46488571166992
2016-01-12,45.007755279541016
2016-01-13,44.7934684753418
2016-01-14,45.68633270263672
2016-01-15,44.10060501098633
2016-01-19,43.707733154296875
2016-01-20,43.41486740112305
2016-01-21,43.7505989074707
2016-01-22,44.686336517333984
2016-01-25,43.40058517456055
2016-01-26,44.7648811340332
2016-01-27,44.27915954589844
2016-01-28,45.04347229003906
2016-01-29,43.722015380859375
2016-02-01,43.18629455566406
2016-02-02,41.95771026611328
2016-02-03,43.78630447387695
2016-02-04,43.829158782958984
2016-02-05,43.136295318603516
2016-02-08,41.97914123535156
2016-02-09,41.73628616333008
2016-02-10,41.89342498779297
2016-02-11,41.74341583251953
2016-02-12,43.329158782958984
2016-02-16,44.54345703125
2016-02-17,45.607749938964844
2016-02-18,45.32918167114258
2016-02-19,44.572021484375
2016-02-22,46.086334228515625
2016-02-23,44.94345474243164
2016-02-24,45.614906311035156
2016-02-25,46.10063171386719
2016-02-26,46.54350280761719
2016-02-29,45.82204055786133
2016-03-01,47.48635482788086
2016-03-02,48.100650787353516
2016-03-03,48.922080993652344
2016-03-04,49.76493835449219
2016-03-07,50.279258728027344
2016-03-08,49.19352340698242
2016-03-09,50.257816314697266
2016-03-10,49.564945220947266
2016-03-11,51.34822082519531
2016-03-14,50.42781448364258
2016-03-15,50.161773681640625
2016-03-16,51.26194763183594
2016-03-17,53.009254455566406
2016-03-18,52.843875885009766
2016-03-21,52.930179595947266
2016-03-22,52.44120407104492
2016-03-23,52.22547149658203
2016-03-24,52.3764762878418
2016-03-28,52.398075103759766
2016-03-29,52.671287536621094
2016-03-30,52.685699462890625
2016-03-31,51.9378547668457
2016-04-01,52.96611785888672
2016-04-04,52.13201141357422
2016-04-05,51.87315368652344
2016-04-06,51.95942306518555
2016-04-07,51.19003677368164
2016-04-08,51.73651885986328
2016-04-11,51.90909957885742
2016-04-12,52.664119720458984
2016-04-13,53.46945571899414
2016-04-14,53.32566833496094
2016-04-15,53.67078399658203
2016-04-18,53.77146911621094
2016-04-19,55.15205764770508
2016-04-20,55.32463073730469
2016-04-21,54.69904708862305
2016-04-22,55.03700637817383
2016-04-25,54.612762451171875
2016-04-26,55.2886848449707
2016-04-27,55.86392593383789
2016-04-28,56.23784255981445
2016-04-29,54.92196273803711
2016-05-02,55.41093826293945
2016-05-03,54.785335540771484
2016-05-04,54.612762451171875
2016-05-05,54.13817596435547
2016-05-06,54.55525588989258
2016-05-09,53.76426696777344
2016-05-10,54.5192985534668
2016-05-11,54.20289611816406
2016-05-12,53.785858154296875
2016-05-13,52.311771392822266
2016-05-16,53.12430953979492
2016-05-17,54.080657958984375
2016-05-18,52.80792999267578
2016-05-19,52.50592803955078
2016-05-20,52.69287872314453
2016-05-23,52.6137809753418
2016-05-24,52.7000617980957
2016-05-25,53.57011795043945
2016-05-26,52.97332000732422
2016-05-27,53.038028717041016
2016-05-31,52.750404357910156
2016-06-01,53.153079986572266
2016-06-02,53.0020637512207
2016-06-03,52.32616424560547
2016-06-06,53.153079986572266
2016-06-07,53.61328125
2016-06-08,52.93735122680664
2016-06-09,51.61427688598633
2016-06-10,52.419639587402344
2016-06-13,52.506465911865234
2016-06-14,51.688751220703125
2016-06-15,51.8624267578125
2016-06-16,51.884151458740234
2016-06-17,51.659820556640625
2016-06-20,52.07952880859375
2016-06-21,52.151885986328125
2016-06-22,51.79730987548828
2016-06-23,52.832096099853516
2016-06-24,49.5034065246582
2016-06-27,47.621971130371094
2016-06-28,48.12852096557617
2016-06-29,48.70740509033203
2016-06-30,49.13435363769531
2016-07-01,49.322505950927734
2016-07-05,47.49171829223633
2016-07-06,47.81735610961914
2016-07-07,48.47584915161133
2016-07-08,49.5830192565918
2016-07-11,50.002716064453125
2016-07-12,50.91448211669922
2016-07-13,51.1894416809082
2016-07-14,51.884151458740234
2016-07-15,51.630889892578125
2016-07-18,52.101253509521484
2016-07-19,51.66706085205078
2016-07-20,52.02886962890625
2016-07-21,52.115699768066406
2016-07-22,52.05057907104492
2016-07-25,52.180843353271484
2016-07-26,50.6467399597168
