Date,EPAM
2021-07-01,510.239990234375
2021-07-02,516.280029296875
2021-07-06,519.760009765625
2021-07-07,527.0499877929688
2021-07-08,515.2000122070312
2021-07-09,527.8200073242188
2021-07-12,534.5900268554688
2021-07-13,536.2899780273438
2021-07-14,541.9299926757812
2021-07-15,538.3499755859375
2021-07-16,527.7100219726562
2021-07-19,534.5399780273438
2021-07-20,545.1500244140625
2021-07-21,548.239990234375
2021-07-22,552.2999877929688
2021-07-23,557.3599853515625
2021-07-26,553.6900024414062
2021-07-27,553.8499755859375
2021-07-28,552.9600219726562
2021-07-29,556.1400146484375
2021-07-30,559.7999877929688
2021-08-02,558.4000244140625
2021-08-03,571.2100219726562
2021-08-04,569.0800170898438
2021-08-05,589.6599731445312
2021-08-06,598.02001953125
2021-08-09,608.75
2021-08-10,604.219970703125
2021-08-11,600.0
2021-08-12,602.0
2021-08-13,607.8499755859375
2021-08-16,618.969970703125
2021-08-17,620.3300170898438
2021-08-18,622.0
2021-08-19,619.5599975585938
2021-08-20,630.1099853515625
2021-08-23,626.6300048828125
2021-08-24,633.3200073242188
2021-08-25,620.0
2021-08-26,622.3400268554688
2021-08-27,629.0999755859375
2021-08-30,636.2999877929688
2021-08-31,632.8099975585938
2021-09-01,631.25
2021-09-02,633.1199951171875
2021-09-03,643.3900146484375
2021-09-07,627.1199951171875
2021-09-08,629.3200073242188
2021-09-09,626.8900146484375
2021-09-10,627.010009765625
2021-09-13,617.6599731445312
2021-09-14,622.7100219726562
2021-09-15,623.8200073242188
2021-09-16,627.3699951171875
2021-09-17,613.9500122070312
2021-09-20,605.2899780273438
2021-09-21,614.010009765625
2021-09-22,621.030029296875
2021-09-23,629.530029296875
2021-09-24,629.469970703125
2021-09-27,597.6300048828125
2021-09-28,568.5499877929688
2021-09-29,570.25
2021-09-30,570.47998046875
2021-10-01,575.4400024414062
2021-10-04,564.0700073242188
2021-10-05,577.6500244140625
2021-10-06,582.1699829101562
2021-10-07,594.8900146484375
2021-10-08,586.719970703125
2021-10-11,576.489990234375
2021-10-12,582.5599975585938
2021-10-13,596.5700073242188
2021-10-14,610.8400268554688
2021-10-15,618.989990234375
2021-10-18,632.7899780273438
2021-10-19,634.1599731445312
2021-10-20,627.9000244140625
2021-10-21,642.6699829101562
