Date,PLD
2015-07-01,27.5819149017334
2015-07-02,27.67677116394043
2015-07-06,27.647581100463867
2015-07-07,28.238632202148438
2015-07-08,27.881078720092773
2015-07-09,27.910268783569336
2015-07-10,28.143774032592773
2015-07-13,28.34807586669922
2015-07-14,28.377262115478516
2015-07-15,28.457529067993164
2015-07-16,28.822368621826172
2015-07-17,28.822368621826172
2015-07-20,28.931814193725586
2015-07-21,29.41342544555664
2015-07-22,29.289363861083984
2015-07-23,29.128828048706055
2015-07-24,29.085052490234375
2015-07-27,29.150732040405273
2015-07-28,29.449892044067383
2015-07-29,29.654212951660156
2015-07-30,29.33315086364746
2015-07-31,29.632322311401367
2015-08-03,29.654212951660156
2015-08-04,29.51557159423828
2015-08-05,29.537452697753906
2015-08-06,29.69069480895996
2015-08-07,29.741775512695312
2015-08-10,29.719881057739258
2015-08-11,30.019044876098633
2015-08-12,30.04823112487793
2015-08-13,30.099302291870117
2015-08-14,30.17228126525879
2015-08-17,30.602794647216797
2015-08-18,30.828989028930664
2015-08-19,30.72682762145996
2015-08-20,30.36199951171875
2015-08-21,29.668804168701172
2015-08-24,27.786226272583008
2015-08-25,26.596839904785156
2015-08-26,27.38490104675293
2015-08-27,28.253215789794922
2015-08-28,28.377262115478516
2015-08-31,27.727846145629883
2015-09-01,26.954391479492188
2015-09-02,27.31923484802246
2015-09-03,27.589214324951172
2015-09-04,26.764673233032227
2015-09-08,27.195178985595703
2015-09-09,26.63332748413086
2015-09-10,26.81574821472168
2015-09-11,27.16600227355957
2015-09-14,27.14409828186035
2015-09-15,27.538131713867188
2015-09-16,27.811010360717773
2015-09-17,28.165006637573242
2015-09-18,28.135509490966797
2015-09-21,28.511625289916992
2015-09-22,28.128131866455078
2015-09-23,28.349380493164062
2015-09-24,28.032251358032227
2015-09-25,28.511625289916992
2015-09-28,28.039627075195312
2015-09-29,28.57063865661621
2015-09-30,28.688617706298828
2015-10-01,28.968873977661133
2015-10-02,29.404001235961914
2015-10-05,29.898109436035156
2015-10-06,29.898109436035156
2015-10-07,30.053003311157227
2015-10-08,30.406999588012695
2015-10-09,30.539752960205078
2015-10-12,30.90849494934082
2015-10-13,30.458614349365234
2015-10-14,30.200502395629883
2015-10-15,30.606121063232422
2015-10-16,30.738872528076172
2015-10-19,31.19611358642578
2015-10-20,31.535369873046875
2015-10-21,31.5574951171875
2015-10-22,31.86724853515625
2015-10-23,31.734498977661133
2015-10-26,31.88198471069336
2015-10-27,31.80086326599121
2015-10-28,31.970489501953125
2015-10-29,31.83036231994629
2015-10-30,31.513246536254883
2015-11-02,32.213871002197266
2015-11-03,31.896738052368164
2015-11-04,31.837745666503906
2015-11-05,31.822996139526367
2015-11-06,30.87899398803711
2015-11-09,30.134124755859375
2015-11-10,30.340620040893555
2015-11-11,30.488126754760742
2015-11-12,30.281620025634766
2015-11-13,30.215248107910156
2015-11-16,30.82737922668457
2015-11-17,30.679866790771484
2015-11-18,31.17398452758789
2015-11-19,31.188753128051758
2015-11-20,31.78611183166504
2015-11-23,31.874622344970703
2015-11-24,31.963115692138672
2015-11-25,31.889373779296875
