Date,F
2015-07-01,8.396141052246094
2015-07-02,8.328926086425781
2015-07-06,8.284117698669434
2015-07-07,8.317723274230957
2015-07-08,8.048866271972656
2015-07-09,8.026466369628906
2015-07-10,8.110483169555664
2015-07-13,8.200100898742676
2015-07-14,8.295319557189941
2015-07-15,8.261712074279785
2015-07-16,8.160890579223633
2015-07-17,8.228104591369629
2015-07-20,8.160890579223633
2015-07-21,8.12728500366211
2015-07-22,8.076874732971191
2015-07-23,8.183295249938965
2015-07-24,8.06007194519043
2015-07-27,8.149686813354492
2015-07-28,8.306522369384766
2015-07-29,8.606419563293457
2015-07-30,8.544174194335938
2015-07-31,8.391397476196289
2015-08-03,8.453639030456543
2015-08-04,8.436665534973145
2015-08-05,8.374423027038574
2015-08-06,8.391397476196289
2015-08-07,8.374423027038574
2015-08-10,8.481931686401367
2015-08-11,8.317839622497559
2015-08-12,8.306523323059082
2015-08-13,8.323497772216797
2015-08-14,8.363106727600098
2015-08-17,8.306523323059082
2015-08-18,8.391397476196289
2015-08-19,8.357446670532227
2015-08-20,8.16506290435791
2015-08-21,7.842534065246582
2015-08-24,7.463421821594238
2015-08-25,7.299327373504639
2015-08-26,7.474737644195557
2015-08-27,7.672782897949219
2015-08-28,7.774632453918457
2015-08-31,7.8481926918029785
2015-09-01,7.763317108154297
2015-09-02,7.8481926918029785
2015-09-03,7.831217288970947
2015-09-04,7.672782897949219
2015-09-08,7.735023498535156
2015-09-09,7.655808448791504
2015-09-10,7.768972873687744
2015-09-11,7.757657527923584
2015-09-14,7.797264099121094
2015-09-15,8.097163200378418
2015-09-16,8.283890724182129
2015-09-17,8.261255264282227
2015-09-18,8.08018684387207
2015-09-21,8.10281753540039
2015-09-22,7.8764824867248535
2015-09-23,7.7406816482543945
2015-09-24,7.7237067222595215
2015-09-25,7.655808448791504
2015-09-28,7.423811912536621
2015-09-29,7.4407877922058105
2015-09-30,7.678439617156982
2015-10-01,7.735023498535156
2015-10-02,7.9160919189453125
2015-10-05,8.02925968170166
2015-10-06,8.097163200378418
2015-10-07,8.346129417419434
2015-10-08,8.481931686401367
2015-10-09,8.470612525939941
2015-10-12,8.476273536682129
2015-10-13,8.453639030456543
2015-10-14,8.493249893188477
2015-10-15,8.612074851989746
2015-10-16,8.646027565002441
2015-10-19,8.691291809082031
2015-10-20,8.702609062194824
2015-10-21,8.719584465026855
2015-10-22,8.815777778625488
2015-10-23,8.866703033447266
2015-10-26,8.872361183166504
2015-10-27,8.425348281860352
2015-10-28,8.55681324005127
