Date,GPN
2015-07-01,49.773956298828125
2015-07-02,49.52766799926758
2015-07-06,49.522926330566406
2015-07-07,49.84499740600586
2015-07-08,49.162960052490234
2015-07-09,49.49925994873047
2015-07-10,50.181270599365234
2015-07-13,50.418087005615234
2015-07-14,50.43703842163086
2015-07-15,50.3944091796875
2015-07-16,50.93434524536133
2015-07-17,50.47965621948242
2015-07-20,51.1522216796875
2015-07-21,50.60281753540039
2015-07-22,50.40388870239258
2015-07-23,49.91130065917969
2015-07-24,49.47555923461914
2015-07-27,48.39094543457031
2015-07-28,52.05685043334961
2015-07-29,52.90938949584961
2015-07-30,52.97097396850586
2015-07-31,53.08938217163086
2015-08-03,53.17462158203125
2015-08-04,53.28356170654297
2015-08-05,53.667198181152344
2015-08-06,53.29302978515625
2015-08-07,53.39723587036133
2015-08-10,54.32081604003906
2015-08-11,54.03190994262695
2015-08-12,54.278228759765625
2015-08-13,54.950897216796875
2015-08-14,55.40093231201172
2015-08-17,55.52883529663086
2015-08-18,55.718326568603516
2015-08-19,55.85569763183594
2015-08-20,55.06934356689453
2015-08-21,53.022884368896484
2015-08-24,50.16638946533203
2015-08-25,50.23270034790039
2015-08-26,51.691749572753906
2015-08-27,53.051307678222656
2015-08-28,53.2786979675293
2015-08-31,52.7670783996582
2015-09-01,51.331729888916016
2015-09-02,52.33600616455078
2015-09-03,52.582340240478516
2015-09-04,52.24599075317383
2015-09-08,53.73344802856445
2015-09-09,53.12236404418945
2015-09-10,53.4965934753418
2015-09-11,54.041385650634766
2015-09-14,53.34028625488281
2015-09-15,54.202430725097656
2015-09-16,54.245059967041016
2015-09-17,54.30191421508789
2015-09-18,53.880313873291016
2015-09-21,55.06460189819336
2015-09-22,54.97931671142578
2015-09-23,55.55725860595703
2015-09-24,54.71877670288086
2015-09-25,54.82773208618164
2015-09-28,53.0560417175293
2015-09-29,53.97978591918945
2015-09-30,54.349300384521484
2015-10-01,55.20670700073242
2015-10-02,56.11151123046875
2015-10-05,55.37725067138672
2015-10-06,54.652469635009766
2015-10-07,60.73024368286133
2015-10-08,62.74350357055664
2015-10-09,63.01353454589844
2015-10-12,63.3546142578125
2015-10-13,61.42658233642578
2015-10-14,60.12385559082031
2015-10-15,61.464481353759766
2015-10-16,61.990299224853516
2015-10-19,63.13199234008789
2015-10-20,61.980831146240234
2015-10-21,62.16557312011719
2015-10-22,63.29774856567383
2015-10-23,63.449337005615234
2015-10-26,62.95195770263672
2015-10-27,62.0471305847168
2015-10-28,65.10734558105469
2015-10-29,64.62889099121094
2015-10-30,64.6194076538086
2015-11-02,64.53414154052734
2015-11-03,64.0083236694336
2015-11-04,64.49152374267578
2015-11-05,64.99364471435547
2015-11-06,66.26322937011719
2015-11-09,65.60948181152344
2015-11-10,65.38207244873047
2015-11-11,66.04535675048828
2015-11-12,65.27781677246094
2015-11-13,65.41049194335938
2015-11-16,65.5241928100586
2015-11-17,66.40544128417969
2015-11-18,67.18245697021484
2015-11-19,67.5330581665039
2015-11-20,67.52357482910156
2015-11-23,68.85018157958984
2015-11-24,68.46165466308594
2015-11-25,68.64170837402344
2015-11-27,68.49957275390625
2015-11-30,67.13508605957031
2015-12-01,67.36251068115234
2015-12-02,67.91206359863281
2015-12-03,65.70425415039062
2015-12-04,66.69921112060547
2015-12-07,66.10220336914062
2015-12-08,66.63285064697266
2015-12-09,65.97903442382812
2015-12-10,67.70358276367188
2015-12-11,66.03590393066406
2015-12-14,66.64234924316406
2015-12-15,67.6751937866211
2015-12-16,62.24563217163086
2015-12-17,60.81479263305664
2015-12-18,60.45471954345703
2015-12-21,60.53053665161133
2015-12-22,60.98535919189453
2015-12-23,62.17930603027344
2015-12-24,62.06559753417969
2015-12-28,62.150875091552734
2015-12-29,63.032100677490234
2015-12-30,61.83818817138672
2015-12-31,61.12749481201172
2016-01-04,59.29869079589844
2016-01-05,60.21784591674805
2016-01-06,60.407344818115234
2016-01-07,58.14266586303711
2016-01-08,57.02454376220703
2016-01-11,55.451568603515625
2016-01-12,55.451568603515625
2016-01-13,53.44272994995117
2016-01-14,54.3524055480957
2016-01-15,54.10602951049805
2016-01-19,54.31449890136719
2016-01-20,54.98727798461914
2016-01-21,54.28607177734375
2016-01-22,55.77374267578125
2016-01-25,54.63666534423828
2016-01-26,55.58424758911133
2016-01-27,53.58487319946289
2016-01-28,52.92158126831055
2016-01-29,55.859031677246094
2016-02-01,56.49387741088867
2016-02-02,53.58487319946289
2016-02-03,54.32396697998047
2016-02-04,54.66509246826172
2016-02-05,52.83628463745117
2016-02-08,49.78512954711914
2016-02-09,49.718814849853516
2016-02-10,51.63325500488281
2016-02-11,52.03130340576172
2016-02-12,53.8320198059082
2016-02-16,55.06407928466797
2016-02-17,56.09713363647461
2016-02-18,54.97880172729492
2016-02-19,56.068687438964844
2016-02-22,58.24851989746094
2016-02-23,57.41450500488281
2016-02-24,58.65605545043945
2016-02-25,59.12044143676758
2016-02-26,58.381195068359375
2016-02-29,57.76516342163086
2016-03-01,59.433204650878906
2016-03-02,58.968814849853516
2016-03-03,59.67013168334961
2016-03-04,59.9544677734375
2016-03-07,57.36711502075195
2016-03-08,55.85072326660156
2016-03-09,56.17295837402344
2016-03-10,56.703697204589844
2016-03-11,57.016448974609375
2016-03-14,55.85072326660156
2016-03-15,55.414764404296875
2016-03-16,55.992881774902344
2016-03-17,56.770042419433594
2016-03-18,56.2487678527832
2016-03-21,56.371978759765625
2016-03-22,56.504642486572266
2016-03-23,56.55204391479492
2016-03-24,57.02592849731445
2016-03-28,56.950111389160156
2016-03-29,59.67013168334961
2016-03-30,59.49954605102539
