Date,ACN
2015-07-01,98.05999755859375
2015-07-02,97.33000183105469
2015-07-06,97.33999633789062
2015-07-07,98.68000030517578
2015-07-08,97.62000274658203
2015-07-09,97.75
2015-07-10,98.77999877929688
2015-07-13,100.55000305175781
2015-07-14,100.73999786376953
2015-07-15,99.94999694824219
2015-07-16,101.44999694824219
2015-07-17,100.4800033569336
2015-07-20,100.72000122070312
2015-07-21,100.38999938964844
2015-07-22,102.33000183105469
2015-07-23,102.41999816894531
2015-07-24,101.16999816894531
2015-07-27,100.38999938964844
2015-07-28,101.69000244140625
2015-07-29,102.44999694824219
2015-07-30,102.66000366210938
2015-07-31,103.11000061035156
2015-08-03,103.20999908447266
2015-08-04,103.41999816894531
2015-08-05,104.5
2015-08-06,103.0999984741211
2015-08-07,103.73999786376953
2015-08-10,105.19999694824219
2015-08-11,103.58000183105469
2015-08-12,103.7699966430664
2015-08-13,103.38999938964844
2015-08-14,103.44999694824219
2015-08-17,103.4800033569336
2015-08-18,103.86000061035156
2015-08-19,102.87000274658203
2015-08-20,99.97000122070312
2015-08-21,97.12999725341797
2015-08-24,92.66999816894531
2015-08-25,92.13999938964844
2015-08-26,95.04000091552734
2015-08-27,95.7300033569336
2015-08-28,95.8499984741211
2015-08-31,94.2699966430664
2015-09-01,92.29000091552734
2015-09-02,94.43000030517578
2015-09-03,95.61000061035156
2015-09-04,94.44999694824219
2015-09-08,97.12000274658203
2015-09-09,95.5199966430664
2015-09-10,96.80999755859375
2015-09-11,97.3499984741211
2015-09-14,96.51000213623047
2015-09-15,98.23999786376953
2015-09-16,98.95999908447266
2015-09-17,98.52999877929688
2015-09-18,97.52999877929688
2015-09-21,98.43000030517578
2015-09-22,97.66999816894531
2015-09-23,97.86000061035156
2015-09-24,97.7699966430664
2015-09-25,96.94000244140625
2015-09-28,95.94999694824219
2015-09-29,96.5999984741211
2015-09-30,98.26000213623047
2015-10-01,98.44000244140625
2015-10-02,99.38999938964844
2015-10-05,101.62000274658203
2015-10-06,101.5
2015-10-07,102.62000274658203
2015-10-08,105.01000213623047
2015-10-09,104.77999877929688
2015-10-12,105.05000305175781
2015-10-13,103.4800033569336
2015-10-14,102.43000030517578
2015-10-15,102.30000305175781
2015-10-16,103.01000213623047
2015-10-19,103.0999984741211
2015-10-20,103.47000122070312
2015-10-21,102.5199966430664
2015-10-22,106.45999908447266
2015-10-23,107.98999786376953
2015-10-26,107.97000122070312
2015-10-27,107.87000274658203
2015-10-28,109.7300033569336
2015-10-29,107.94999694824219
2015-10-30,107.19999694824219
2015-11-02,107.5999984741211
2015-11-03,107.30999755859375
2015-11-04,106.5199966430664
2015-11-05,106.08999633789062
2015-11-06,106.0
2015-11-09,104.87999725341797
2015-11-10,105.06999969482422
2015-11-11,105.0999984741211
2015-11-12,104.31999969482422
2015-11-13,103.1500015258789
2015-11-16,106.33000183105469
2015-11-17,106.29000091552734
2015-11-18,107.87999725341797
2015-11-19,107.27999877929688
2015-11-20,107.97000122070312
2015-11-23,107.83999633789062
2015-11-24,107.3499984741211
2015-11-25,107.0999984741211
2015-11-27,107.45999908447266
2015-11-30,107.22000122070312
2015-12-01,108.12999725341797
2015-12-02,107.58999633789062
2015-12-03,105.93000030517578
2015-12-04,109.0999984741211
2015-12-07,108.94000244140625
2015-12-08,108.91000366210938
2015-12-09,107.29000091552734
2015-12-10,107.5999984741211
2015-12-11,105.30000305175781
2015-12-14,106.36000061035156
2015-12-15,106.72000122070312
2015-12-16,109.08000183105469
2015-12-17,103.26000213623047
2015-12-18,101.93000030517578
2015-12-21,102.98999786376953
2015-12-22,103.76000213623047
2015-12-23,104.41999816894531
2015-12-24,104.2300033569336
2015-12-28,104.08000183105469
2015-12-29,105.31999969482422
2015-12-30,105.86000061035156
2015-12-31,104.5
2016-01-04,101.83000183105469
2016-01-05,102.36000061035156
2016-01-06,102.16000366210938
2016-01-07,99.16000366210938
2016-01-08,98.19999694824219
2016-01-11,99.2300033569336
2016-01-12,101.01000213623047
2016-01-13,99.26000213623047
2016-01-14,101.87999725341797
2016-01-15,99.2699966430664
2016-01-19,101.37999725341797
2016-01-20,99.05999755859375
2016-01-21,98.29000091552734
2016-01-22,102.23999786376953
2016-01-25,101.75
2016-01-26,102.52999877929688
2016-01-27,101.95999908447266
2016-01-28,103.08000183105469
2016-01-29,105.54000091552734
2016-02-01,106.27999877929688
2016-02-02,103.81999969482422
2016-02-03,102.0999984741211
2016-02-04,102.7300033569336
2016-02-05,98.97000122070312
2016-02-08,95.06999969482422
2016-02-09,93.31999969482422
2016-02-10,94.20999908447266
2016-02-11,93.43000030517578
2016-02-12,94.69999694824219
2016-02-16,96.91000366210938
2016-02-17,99.01000213623047
2016-02-18,98.5199966430664
2016-02-19,98.94999694824219
2016-02-22,100.3499984741211
2016-02-23,99.6500015258789
2016-02-24,99.55000305175781
2016-02-25,100.91000366210938
2016-02-26,101.12000274658203
2016-02-29,100.26000213623047
2016-03-01,103.44999694824219
2016-03-02,102.66000366210938
2016-03-03,102.80000305175781
2016-03-04,103.18000030517578
2016-03-07,102.4000015258789
2016-03-08,102.62000274658203
2016-03-09,103.4000015258789
2016-03-10,103.58000183105469
2016-03-11,105.68000030517578
2016-03-14,106.31999969482422
2016-03-15,107.06999969482422
2016-03-16,107.58999633789062
2016-03-17,108.55999755859375
2016-03-18,107.7699966430664
2016-03-21,108.16000366210938
2016-03-22,107.83000183105469
2016-03-23,107.66000366210938
2016-03-24,114.30000305175781
2016-03-28,114.16999816894531
2016-03-29,115.26000213623047
2016-03-30,115.37000274658203
2016-03-31,115.4000015258789
2016-04-01,116.3499984741211
2016-04-04,115.5
2016-04-05,114.12999725341797
2016-04-06,114.66999816894531
2016-04-07,112.0999984741211
2016-04-08,112.83000183105469
2016-04-11,113.0999984741211
2016-04-12,114.38999938964844
2016-04-13,114.95999908447266
2016-04-14,114.75
2016-04-15,114.81999969482422
2016-04-18,115.58999633789062
2016-04-19,115.0999984741211
2016-04-20,115.54000091552734
2016-04-21,114.4800033569336
2016-04-22,113.94999694824219
2016-04-25,114.0999984741211
2016-04-26,114.61000061035156
2016-04-27,115.4800033569336
2016-04-28,114.33000183105469
2016-04-29,112.91999816894531
2016-05-02,114.4000015258789
2016-05-03,113.30000305175781
2016-05-04,113.55000305175781
2016-05-05,114.08000183105469
2016-05-06,115.55000305175781
2016-05-09,115.47000122070312
