Date,BAX
2015-07-01,32.86155319213867
2015-07-02,32.38798522949219
2015-07-06,32.168113708496094
2015-07-07,31.381671905517578
2015-07-08,30.8658390045166
2015-07-09,31.30556869506836
2015-07-10,31.804500579833984
2015-07-13,31.796031951904297
2015-07-14,31.905969619750977
2015-07-15,31.880599975585938
2015-07-16,31.939786911010742
2015-07-17,31.59307289123535
2015-07-20,31.846776962280273
2015-07-21,32.0074577331543
2015-07-22,31.889049530029297
2015-07-23,32.10892868041992
2015-07-24,31.829858779907227
2015-07-27,31.880599975585938
2015-07-28,32.21039581298828
2015-07-29,32.5571174621582
2015-07-30,33.83403396606445
2015-07-31,33.893226623535156
2015-08-03,33.41120529174805
2015-08-04,34.08772659301758
2015-08-05,35.626800537109375
2015-08-06,35.45766067504883
2015-08-07,35.41537094116211
2015-08-10,35.55066680908203
2015-08-11,35.313899993896484
2015-08-12,34.519004821777344
2015-08-13,34.519004821777344
2015-08-14,34.58664321899414
2015-08-17,34.468265533447266
2015-08-18,34.32451248168945
2015-08-19,33.94396209716797
2015-08-20,33.49576950073242
2015-08-21,32.37106704711914
2015-08-24,31.43240737915039
2015-08-25,31.263286590576172
2015-08-26,31.8552303314209
2015-08-27,32.63322830200195
2015-08-28,32.76852035522461
2015-08-31,32.514835357666016
2015-09-01,31.483142852783203
2015-09-02,31.72490882873535
2015-09-03,31.428009033203125
2015-09-04,30.656095504760742
2015-09-08,30.96994972229004
2015-09-09,30.800296783447266
2015-09-10,30.596715927124023
2015-09-11,30.554309844970703
2015-09-14,30.511899948120117
2015-09-15,30.749414443969727
2015-09-16,30.715478897094727
2015-09-17,30.834238052368164
2015-09-18,30.749414443969727
2015-09-21,30.49492835998535
2015-09-22,30.096242904663086
2015-09-23,30.333757400512695
2015-09-24,29.935083389282227
2015-09-25,29.222545623779297
2015-09-28,27.644771575927734
2015-09-29,27.729602813720703
2015-09-30,27.865314483642578
2015-10-01,27.76352882385254
2015-10-02,28.45909881591797
2015-10-05,28.247045516967773
2015-10-06,27.373334884643555
2015-10-07,27.91621971130371
2015-10-08,28.204626083374023
2015-10-09,28.170698165893555
2015-10-12,28.391250610351562
2015-10-13,28.0773868560791
2015-10-14,28.034975051879883
2015-10-15,28.58634376525879
2015-10-16,28.772966384887695
2015-10-19,28.857789993286133
