Date,MSI
2015-07-01,48.62205123901367
2015-07-02,48.546085357666016
2015-07-06,48.301292419433594
2015-07-07,48.52920150756836
2015-07-08,47.93830871582031
2015-07-09,48.0649299621582
2015-07-10,48.52077865600586
2015-07-13,49.322689056396484
2015-07-14,49.4661979675293
2015-07-15,49.71098327636719
2015-07-16,50.048641204833984
2015-07-17,49.67723846435547
2015-07-20,50.141510009765625
2015-07-21,50.28499984741211
2015-07-22,50.09928894042969
2015-07-23,49.67723846435547
2015-07-24,50.22590637207031
2015-07-27,49.559059143066406
2015-07-28,49.896697998046875
2015-07-29,50.2934455871582
2015-07-30,50.529788970947266
2015-07-31,50.78303909301758
2015-08-03,50.445396423339844
2015-08-04,50.833683013916016
2015-08-05,54.05828094482422
2015-08-06,53.855690002441406
2015-08-07,54.184906005859375
2015-08-10,54.01607894897461
2015-08-11,53.4758186340332
2015-08-12,54.53098678588867
2015-08-13,54.31151580810547
2015-08-14,54.85175323486328
2015-08-17,55.096561431884766
2015-08-18,55.51862335205078
2015-08-19,55.16408157348633
2015-08-20,53.931671142578125
2015-08-21,52.71609115600586
2015-08-24,51.31483459472656
2015-08-25,51.0193977355957
2015-08-26,53.298561096191406
2015-08-27,54.269317626953125
2015-08-28,54.4887809753418
2015-08-31,54.716705322265625
2015-09-01,53.897884368896484
2015-09-02,54.63227462768555
2015-09-03,54.96149826049805
2015-09-04,55.97445297241211
2015-09-08,58.76008605957031
2015-09-09,57.65428924560547
2015-09-10,58.32112121582031
2015-09-11,56.90446472167969
2015-09-14,56.70087814331055
2015-09-15,56.963863372802734
2015-09-16,57.23530578613281
2015-09-17,56.86205291748047
2015-09-18,56.912967681884766
2015-09-21,56.879024505615234
2015-09-22,56.480323791503906
2015-09-23,57.5152473449707
2015-09-24,57.60855484008789
2015-09-25,58.70288848876953
2015-09-28,57.62554168701172
2015-09-29,57.21833801269531
2015-09-30,58.007259368896484
2015-10-01,57.48133087158203
2015-10-02,58.02423095703125
2015-10-05,59.16944122314453
2015-10-06,58.694393157958984
2015-10-07,59.20338821411133
2015-10-08,58.9573860168457
2015-10-09,58.346588134765625
2015-10-12,58.89798355102539
2015-10-13,58.56714630126953
2015-10-14,58.278724670410156
2015-10-15,58.76227951049805
2015-10-16,58.75377655029297
2015-10-19,58.558677673339844
2015-10-20,58.9404182434082
2015-10-21,58.93192672729492
2015-10-22,59.78871154785156
2015-10-23,59.78871154785156
2015-10-26,59.42394256591797
2015-10-27,59.347599029541016
2015-10-28,59.695404052734375
2015-10-29,59.4918327331543
2015-10-30,59.3560905456543
2015-11-02,60.00080871582031
2015-11-03,60.53524398803711
2015-11-04,55.34357833862305
2015-11-05,57.17594909667969
2015-11-06,57.693416595458984
2015-11-09,57.85457992553711
2015-11-10,57.973358154296875
2015-11-11,59.39849853515625
2015-11-12,58.906490325927734
2015-11-13,58.558677673339844
2015-11-16,59.39849853515625
2015-11-17,60.27225112915039
2015-11-18,61.061180114746094
2015-11-19,61.45989990234375
2015-11-20,61.23933029174805
2015-11-23,61.2817497253418
2015-11-24,61.044227600097656
2015-11-25,60.933937072753906
2015-11-27,61.095130920410156
2015-11-30,60.891517639160156
2015-12-01,61.12055206298828
2015-12-02,60.98480987548828
2015-12-03,60.297706604003906
2015-12-04,61.17145919799805
2015-12-07,59.70388412475586
2015-12-08,59.16944122314453
2015-12-09,58.796180725097656
2015-12-10,58.847110748291016
2015-12-11,58.548423767089844
2015-12-14,58.147369384765625
2015-12-15,58.99217987060547
2015-12-16,59.32496643066406
2015-12-17,58.50575637817383
2015-12-18,57.66948699951172
2015-12-21,58.05350875854492
2015-12-22,58.77029800415039
2015-12-23,59.0604248046875
2015-12-24,58.93242645263672
2015-12-28,59.03483963012695
2015-12-29,59.4273681640625
2015-12-30,59.13726043701172
2015-12-31,58.411888122558594
2016-01-04,57.28547286987305
2016-01-05,56.65399169921875
2016-01-06,55.834781646728516
2016-01-07,54.708343505859375
2016-01-08,54.82781219482422
2016-01-11,54.93022918701172
2016-01-12,55.39103698730469
2016-01-13,54.07685852050781
2016-01-14,53.85499572753906
2016-01-15,52.55790710449219
2016-01-19,52.16536331176758
2016-01-20,51.50828170776367
2016-01-21,51.90082550048828
2016-01-22,52.94190979003906
2016-01-25,53.26617431640625
2016-01-26,53.89767074584961
2016-01-27,55.29716110229492
2016-01-28,55.245967864990234
2016-01-29,56.9782600402832
2016-02-01,57.0465202331543
2016-02-02,54.88754653930664
2016-02-03,55.365421295166016
2016-02-04,54.82781219482422
2016-02-05,53.607521057128906
2016-02-08,52.98456573486328
2016-02-09,53.112586975097656
2016-02-10,52.02882766723633
2016-02-11,51.64480972290039
2016-02-12,52.72004699707031
2016-02-16,54.11954116821289
2016-02-17,55.51050567626953
2016-02-18,55.280094146728516
2016-02-19,56.32118225097656
2016-02-22,56.961181640625
2016-02-23,60.40019989013672
2016-02-24,62.15810775756836
2016-02-25,63.199180603027344
2016-02-26,63.881874084472656
2016-02-29,62.71279525756836
2016-03-01,60.750083923339844
2016-03-02,60.82685852050781
2016-03-03,60.80128479003906
2016-03-04,60.545257568359375
2016-03-07,60.59648513793945
2016-03-08,60.67326354980469
2016-03-09,60.997554779052734
2016-03-10,60.77566909790039
2016-03-11,61.11040496826172
2016-03-14,61.65113067626953
2016-03-15,61.771297454833984
2016-03-16,62.003021240234375
2016-03-17,62.50942611694336
2016-03-18,62.303428649902344
2016-03-21,62.758331298828125
2016-03-22,63.26472473144531
2016-03-23,62.7840690612793
2016-03-24,62.303428649902344
2016-03-28,62.97287368774414
2016-03-29,63.59086608886719
2016-03-30,64.27751922607422
2016-03-31,64.97271728515625
2016-04-01,65.32463836669922
2016-04-04,65.50487518310547
