Date,ANTM
2019-07-15,306.8500061035156
2019-07-16,305.4100036621094
2019-07-17,304.69000244140625
2019-07-18,304.57000732421875
2019-07-19,302.1199951171875
2019-07-22,301.7799987792969
2019-07-23,302.5899963378906
2019-07-24,288.9100036621094
2019-07-25,293.95001220703125
2019-07-26,299.9800109863281
2019-07-29,298.32000732421875
2019-07-30,299.6400146484375
2019-07-31,294.6099853515625
2019-08-01,292.95001220703125
2019-08-02,290.57000732421875
2019-08-05,283.6199951171875
2019-08-06,291.0400085449219
2019-08-07,286.5
2019-08-08,288.6499938964844
2019-08-09,287.3299865722656
2019-08-12,282.0
2019-08-13,286.8999938964844
2019-08-14,272.8999938964844
2019-08-15,274.1099853515625
2019-08-16,275.5400085449219
2019-08-19,273.4100036621094
2019-08-20,266.57000732421875
2019-08-21,267.8800048828125
2019-08-22,261.05999755859375
2019-08-23,260.3800048828125
2019-08-26,260.510009765625
2019-08-27,251.3000030517578
2019-08-28,253.80999755859375
2019-08-29,259.7900085449219
2019-08-30,261.5199890136719
2019-09-03,258.1000061035156
2019-09-04,254.22999572753906
2019-09-05,251.22000122070312
2019-09-06,249.3800048828125
2019-09-09,250.4499969482422
2019-09-10,252.58999633789062
2019-09-11,249.80999755859375
2019-09-12,248.16000366210938
2019-09-13,253.0800018310547
2019-09-16,258.5799865722656
2019-09-17,257.2900085449219
2019-09-18,251.7899932861328
2019-09-19,255.4499969482422
2019-09-20,252.08999633789062
2019-09-23,251.39999389648438
2019-09-24,248.19000244140625
2019-09-25,244.0
