Date,COR
2023-07-03,190.9199981689453
2023-07-05,190.64999389648438
2023-07-06,192.19000244140625
2023-07-07,190.86000061035156
2023-07-10,192.8300018310547
2023-07-11,193.22000122070312
2023-07-12,190.8000030517578
2023-07-13,191.27999877929688
2023-07-14,191.4199981689453
2023-07-17,192.13999938964844
2023-07-18,192.38999938964844
2023-07-19,191.94000244140625
2023-07-20,193.41000366210938
2023-07-21,192.58999633789062
2023-07-24,191.4499969482422
2023-07-25,191.88999938964844
2023-07-26,187.7100067138672
2023-07-27,187.3300018310547
2023-07-28,186.55999755859375
2023-07-31,186.89999389648438
2023-08-01,189.10000610351562
2023-08-02,191.42999267578125
2023-08-03,191.36000061035156
2023-08-04,185.3300018310547
2023-08-07,186.5800018310547
2023-08-08,185.3699951171875
2023-08-09,185.7100067138672
2023-08-10,187.02999877929688
2023-08-11,187.3699951171875
2023-08-14,187.6300048828125
2023-08-15,185.44000244140625
2023-08-16,183.99000549316406
2023-08-17,180.0
2023-08-18,180.39999389648438
2023-08-21,180.97999572753906
2023-08-22,177.9600067138672
2023-08-23,177.77000427246094
2023-08-24,178.77000427246094
2023-08-25,179.47999572753906
2023-08-28,180.38999938964844
2023-08-29,179.97999572753906
2023-08-30,178.89999389648438
2023-08-31,175.97999572753906
2023-09-01,174.9600067138672
2023-09-05,172.8699951171875
2023-09-06,174.6699981689453
2023-09-07,178.17999267578125
2023-09-08,177.6999969482422
2023-09-11,177.72999572753906
2023-09-12,178.47999572753906
2023-09-13,176.69000244140625
2023-09-14,176.99000549316406
2023-09-15,178.2899932861328
2023-09-18,179.02999877929688
2023-09-19,179.74000549316406
2023-09-20,182.77999877929688
2023-09-21,184.92999267578125
2023-09-22,185.9499969482422
2023-09-25,187.22000122070312
2023-09-26,185.77000427246094
2023-09-27,185.16000366210938
2023-09-28,182.86000061035156
2023-09-29,179.97000122070312
2023-10-02,179.0800018310547
2023-10-03,180.27000427246094
2023-10-04,182.66000366210938
2023-10-05,185.0399932861328
2023-10-06,183.85000610351562
2023-10-09,186.19000244140625
2023-10-10,187.97000122070312
2023-10-11,188.02999877929688
2023-10-12,187.57000732421875
2023-10-13,188.97999572753906
2023-10-16,186.86000061035156
2023-10-17,187.4499969482422
2023-10-18,189.5500030517578
2023-10-19,189.88999938964844
2023-10-20,188.75
2023-10-23,188.82000732421875
2023-10-24,189.00999450683594
2023-10-25,189.1199951171875
2023-10-26,188.60000610351562
2023-10-27,187.63999938964844
2023-10-30,185.41000366210938
2023-10-31,185.14999389648438
2023-11-01,187.22999572753906
2023-11-02,192.17999267578125
2023-11-03,195.1699981689453
2023-11-06,196.8800048828125
2023-11-07,196.07000732421875
2023-11-08,196.7899932861328
2023-11-09,196.82000732421875
2023-11-10,197.57000732421875
2023-11-13,198.8699951171875
2023-11-14,194.3699951171875
2023-11-15,193.22000122070312
2023-11-16,196.91000366210938
2023-11-17,195.0
