Date,SLG
2015-07-01,118.86991119384766
2015-07-02,119.69805145263672
2015-07-06,120.56865692138672
2015-07-07,122.05506134033203
2015-07-08,121.14198303222656
2015-07-09,120.96149444580078
2015-07-10,122.02320861816406
2015-07-13,121.31185913085938
2015-07-14,121.46050262451172
2015-07-15,121.46050262451172
2015-07-16,122.33110809326172
2015-07-17,121.58790588378906
2015-07-20,121.74716186523438
2015-07-21,121.651611328125
2015-07-22,121.90641784667969
2015-07-23,119.69805145263672
2015-07-24,120.18643951416016
2015-07-27,120.28199005126953
2015-07-28,120.6854476928711
2015-07-29,121.68345642089844
2015-07-30,121.25877380371094
2015-07-31,122.24617004394531
2015-08-03,122.79826354980469
2015-08-04,121.80024719238281
2015-08-05,120.87655639648438
2015-08-06,120.8340835571289
2015-08-07,120.63236236572266
2015-08-10,120.71729278564453
2015-08-11,121.5560531616211
2015-08-12,121.81086730957031
2015-08-13,122.83011627197266
2015-08-14,123.09554290771484
2015-08-17,124.1891098022461
2015-08-18,123.89183044433594
2015-08-19,123.22295379638672
2015-08-20,121.01457977294922
2015-08-21,118.4664535522461
2015-08-24,111.74578094482422
2015-08-25,108.17841339111328
2015-08-26,111.490966796875
2015-08-27,112.87120056152344
2015-08-28,113.13663482666016
2015-08-31,109.89839172363281
2015-09-01,107.58384704589844
2015-09-02,108.9322280883789
2015-09-03,109.52679443359375
2015-09-04,107.1803970336914
2015-09-08,109.14457702636719
2015-09-09,108.11470794677734
2015-09-10,109.39938354492188
2015-09-11,111.53343963623047
2015-09-14,111.18307495117188
2015-09-15,112.83935546875
2015-09-16,114.9415512084961
2015-09-17,117.40473937988281
2015-09-18,117.00128173828125
2015-09-21,117.96744537353516
2015-09-22,115.9926528930664
2015-09-23,117.1605453491211
2015-09-24,116.16252899169922
2015-09-25,116.50227355957031
2015-09-28,114.28328704833984
2015-09-29,115.67414093017578
2015-09-30,114.83538055419922
2015-10-01,115.26007080078125
2015-10-02,116.41734313964844
2015-10-05,118.67880249023438
2015-10-06,119.05039978027344
2015-10-07,120.8447036743164
2015-10-08,121.24815368652344
2015-10-09,121.2800064086914
2015-10-12,121.67284393310547
2015-10-13,120.95087432861328
2015-10-14,120.8553237915039
2015-10-15,123.4990005493164
2015-10-16,124.86861419677734
