Date,RMD
2017-07-03,77.79000091552734
2017-07-05,77.08000183105469
2017-07-06,76.04000091552734
2017-07-07,76.81999969482422
2017-07-10,76.81999969482422
2017-07-11,76.43000030517578
2017-07-12,77.0999984741211
2017-07-13,77.12000274658203
2017-07-14,77.58999633789062
2017-07-17,77.62000274658203
2017-07-18,77.5199966430664
2017-07-19,78.05999755859375
2017-07-20,78.02999877929688
2017-07-21,77.0
2017-07-24,77.19000244140625
2017-07-25,77.68000030517578
2017-07-26,77.66000366210938
2017-07-27,77.45999908447266
2017-07-28,77.38999938964844
2017-07-31,77.12000274658203
2017-08-01,77.4800033569336
2017-08-02,72.51000213623047
2017-08-03,73.44999694824219
2017-08-04,75.08999633789062
2017-08-07,75.05000305175781
2017-08-08,74.4000015258789
2017-08-09,74.12000274658203
2017-08-10,72.62000274658203
2017-08-11,72.55999755859375
2017-08-14,73.62000274658203
2017-08-15,72.44000244140625
2017-08-16,72.69999694824219
2017-08-17,72.79000091552734
2017-08-18,73.06999969482422
2017-08-21,73.44000244140625
2017-08-22,74.55000305175781
2017-08-23,73.91000366210938
2017-08-24,73.9000015258789
2017-08-25,74.19999694824219
2017-08-28,75.54000091552734
2017-08-29,74.94999694824219
2017-08-30,75.58000183105469
2017-08-31,77.58000183105469
2017-09-01,77.58999633789062
2017-09-05,76.5999984741211
2017-09-06,77.66000366210938
2017-09-07,78.81999969482422
2017-09-08,79.83999633789062
2017-09-11,81.37999725341797
2017-09-12,80.87999725341797
2017-09-13,79.61000061035156
2017-09-14,80.55000305175781
2017-09-15,79.2300033569336
2017-09-18,79.52999877929688
2017-09-19,79.44999694824219
2017-09-20,79.5999984741211
2017-09-21,77.31999969482422
2017-09-22,77.37999725341797
2017-09-25,77.19999694824219
2017-09-26,76.30000305175781
2017-09-27,76.16000366210938
2017-09-28,76.11000061035156
2017-09-29,76.95999908447266
2017-10-02,77.41000366210938
2017-10-03,76.52999877929688
2017-10-04,77.2699966430664
2017-10-05,77.30000305175781
2017-10-06,77.25
2017-10-09,76.13999938964844
2017-10-10,76.20999908447266
2017-10-11,76.55000305175781
2017-10-12,77.58999633789062
2017-10-13,77.62999725341797
2017-10-16,77.7300033569336
2017-10-17,78.41999816894531
2017-10-18,78.87000274658203
2017-10-19,78.79000091552734
2017-10-20,79.0
2017-10-23,79.81999969482422
2017-10-24,79.05000305175781
2017-10-25,78.4000015258789
2017-10-26,78.61000061035156
2017-10-27,84.41999816894531
2017-10-30,82.98999786376953
2017-10-31,84.18000030517578
2017-11-01,85.7699966430664
2017-11-02,82.86000061035156
2017-11-03,83.12000274658203
2017-11-06,83.23999786376953
2017-11-07,82.48999786376953
2017-11-08,82.19000244140625
2017-11-09,82.72000122070312
2017-11-10,83.05999755859375
2017-11-13,84.0
2017-11-14,84.22000122070312
2017-11-15,84.25
2017-11-16,84.9800033569336
2017-11-17,84.62999725341797
2017-11-20,84.70999908447266
2017-11-21,85.66000366210938
2017-11-22,85.2699966430664
2017-11-24,85.11000061035156
2017-11-27,84.68000030517578
2017-11-28,85.19000244140625
2017-11-29,85.25
2017-11-30,85.4000015258789
2017-12-01,84.25
2017-12-04,83.56999969482422
2017-12-05,84.3499984741211
2017-12-06,85.18000030517578
2017-12-07,85.7699966430664
2017-12-08,86.37000274658203
2017-12-11,86.44000244140625
2017-12-12,85.83999633789062
2017-12-13,85.01000213623047
2017-12-14,83.93000030517578
2017-12-15,85.29000091552734
2017-12-18,85.69999694824219
2017-12-19,86.12000274658203
2017-12-20,85.56999969482422
2017-12-21,84.9800033569336
2017-12-22,85.11000061035156
2017-12-26,85.58999633789062
2017-12-27,85.76000213623047
2017-12-28,86.26000213623047
2017-12-29,84.69000244140625
2018-01-02,85.52999877929688
2018-01-03,86.41999816894531
2018-01-04,86.54000091552734
2018-01-05,87.69000244140625
2018-01-08,88.19000244140625
2018-01-09,88.0
2018-01-10,87.0999984741211
2018-01-11,87.04000091552734
2018-01-12,87.77999877929688
2018-01-16,87.86000061035156
2018-01-17,88.7300033569336
2018-01-18,88.79000091552734
2018-01-19,88.68000030517578
2018-01-22,87.51000213623047
2018-01-23,100.3499984741211
2018-01-24,100.22000122070312
2018-01-25,101.62000274658203
2018-01-26,102.80000305175781
2018-01-29,102.81999969482422
2018-01-30,100.66999816894531
2018-01-31,100.79000091552734
2018-02-01,99.6500015258789
2018-02-02,96.97000122070312
2018-02-05,93.33000183105469
2018-02-06,95.05000305175781
