Date,ZION
2015-07-01,31.950000762939453
2015-07-02,31.5
2015-07-06,31.190000534057617
2015-07-07,30.540000915527344
2015-07-08,29.75
2015-07-09,30.40999984741211
2015-07-10,31.030000686645508
2015-07-13,31.309999465942383
2015-07-14,31.1200008392334
2015-07-15,31.510000228881836
2015-07-16,31.520000457763672
2015-07-17,30.43000030517578
2015-07-20,30.56999969482422
2015-07-21,31.489999771118164
2015-07-22,31.93000030517578
2015-07-23,31.59000015258789
2015-07-24,31.389999389648438
2015-07-27,30.959999084472656
2015-07-28,31.06999969482422
2015-07-29,31.299999237060547
2015-07-30,31.40999984741211
2015-07-31,31.190000534057617
2015-08-03,30.84000015258789
2015-08-04,30.829999923706055
2015-08-05,31.239999771118164
2015-08-06,31.010000228881836
2015-08-07,30.719999313354492
2015-08-10,31.520000457763672
2015-08-11,30.639999389648438
2015-08-12,29.979999542236328
2015-08-13,30.1200008392334
2015-08-14,30.5
2015-08-17,30.3799991607666
2015-08-18,30.600000381469727
2015-08-19,30.09000015258789
2015-08-20,28.809999465942383
2015-08-21,28.139999389648438
2015-08-24,26.93000030517578
2015-08-25,26.520000457763672
2015-08-26,27.700000762939453
2015-08-27,28.799999237060547
2015-08-28,28.920000076293945
2015-08-31,29.0
2015-09-01,27.65999984741211
2015-09-02,28.200000762939453
2015-09-03,28.520000457763672
2015-09-04,28.010000228881836
2015-09-08,28.68000030517578
2015-09-09,28.309999465942383
2015-09-10,28.56999969482422
2015-09-11,28.34000015258789
2015-09-14,28.229999542236328
2015-09-15,28.75
2015-09-16,29.15999984741211
2015-09-17,28.170000076293945
2015-09-18,27.469999313354492
2015-09-21,27.84000015258789
2015-09-22,27.559999465942383
2015-09-23,27.540000915527344
2015-09-24,27.6200008392334
2015-09-25,28.190000534057617
2015-09-28,27.34000015258789
2015-09-29,27.3799991607666
2015-09-30,27.540000915527344
2015-10-01,27.530000686645508
2015-10-02,27.31999969482422
2015-10-05,27.860000610351562
2015-10-06,28.1299991607666
2015-10-07,28.719999313354492
2015-10-08,28.760000228881836
2015-10-09,28.309999465942383
2015-10-12,28.469999313354492
2015-10-13,28.489999771118164
2015-10-14,27.799999237060547
2015-10-15,28.239999771118164
2015-10-16,28.149999618530273
2015-10-19,27.899999618530273
2015-10-20,28.360000610351562
2015-10-21,27.520000457763672
2015-10-22,27.90999984741211
2015-10-23,28.59000015258789
2015-10-26,28.489999771118164
2015-10-27,28.059999465942383
2015-10-28,29.3799991607666
2015-10-29,29.479999542236328
2015-10-30,28.770000457763672
2015-11-02,29.200000762939453
2015-11-03,28.969999313354492
2015-11-04,29.110000610351562
2015-11-05,29.709999084472656
2015-11-06,30.690000534057617
2015-11-09,30.540000915527344
2015-11-10,30.780000686645508
2015-11-11,30.479999542236328
2015-11-12,29.770000457763672
2015-11-13,29.479999542236328
2015-11-16,29.639999389648438
2015-11-17,29.75
2015-11-18,30.219999313354492
2015-11-19,29.93000030517578
2015-11-20,29.93000030517578
2015-11-23,29.8700008392334
2015-11-24,29.950000762939453
2015-11-25,29.940000534057617
2015-11-27,30.09000015258789
2015-11-30,29.959999084472656
2015-12-01,30.40999984741211
2015-12-02,29.940000534057617
2015-12-03,29.469999313354492
2015-12-04,30.190000534057617
2015-12-07,28.920000076293945
2015-12-08,28.0
2015-12-09,27.790000915527344
2015-12-10,28.200000762939453
2015-12-11,27.360000610351562
2015-12-14,26.950000762939453
2015-12-15,27.90999984741211
2015-12-16,28.209999084472656
2015-12-17,27.760000228881836
2015-12-18,26.709999084472656
2015-12-21,26.770000457763672
2015-12-22,27.15999984741211
2015-12-23,27.670000076293945
2015-12-24,27.780000686645508
2015-12-28,27.639999389648438
2015-12-29,27.809999465942383
2015-12-30,27.469999313354492
2015-12-31,27.299999237060547
2016-01-04,26.709999084472656
2016-01-05,26.420000076293945
2016-01-06,25.649999618530273
2016-01-07,24.8799991607666
2016-01-08,24.600000381469727
2016-01-11,24.110000610351562
2016-01-12,24.010000228881836
2016-01-13,22.889999389648438
2016-01-14,22.989999771118164
2016-01-15,22.34000015258789
2016-01-19,21.940000534057617
2016-01-20,21.469999313354492
2016-01-21,21.09000015258789
2016-01-22,21.510000228881836
2016-01-25,20.389999389648438
2016-01-26,21.25
2016-01-27,21.780000686645508
2016-01-28,22.149999618530273
2016-01-29,22.68000030517578
2016-02-01,22.5
2016-02-02,21.540000915527344
