Date,MPC
2020-02-07,54.689998626708984
2020-02-10,55.06999969482422
2020-02-11,56.7599983215332
2020-02-12,58.93000030517578
2020-02-13,59.5
2020-02-14,58.33000183105469
2020-02-18,56.470001220703125
2020-02-19,57.689998626708984
2020-02-20,60.2599983215332
2020-02-21,59.130001068115234
2020-02-24,55.869998931884766
2020-02-25,53.119998931884766
2020-02-26,52.27000045776367
2020-02-27,47.93000030517578
2020-02-28,47.41999816894531
2020-03-02,47.72999954223633
2020-03-03,45.16999816894531
2020-03-04,45.880001068115234
2020-03-05,41.209999084472656
2020-03-06,39.150001525878906
2020-03-09,33.81999969482422
2020-03-10,34.52000045776367
2020-03-11,31.360000610351562
2020-03-12,22.889999389648438
2020-03-13,24.920000076293945
2020-03-16,20.290000915527344
2020-03-17,20.299999237060547
2020-03-18,16.75
2020-03-19,16.719999313354492
2020-03-20,18.950000762939453
2020-03-23,16.6200008392334
2020-03-24,17.5
2020-03-25,21.110000610351562
2020-03-26,23.139999389648438
2020-03-27,23.149999618530273
2020-03-30,24.329999923706055
2020-03-31,23.6200008392334
2020-04-01,20.8700008392334
2020-04-02,21.219999313354492
2020-04-03,20.059999465942383
2020-04-06,23.09000015258789
2020-04-07,22.510000228881836
2020-04-08,24.309999465942383
2020-04-09,25.6299991607666
2020-04-13,25.329999923706055
2020-04-14,26.299999237060547
2020-04-15,23.979999542236328
2020-04-16,21.950000762939453
2020-04-17,25.450000762939453
2020-04-20,24.850000381469727
2020-04-21,23.719999313354492
2020-04-22,24.690000534057617
2020-04-23,25.940000534057617
2020-04-24,25.760000228881836
2020-04-27,26.450000762939453
2020-04-28,28.43000030517578
2020-04-29,33.040000915527344
2020-04-30,32.08000183105469
2020-05-01,29.239999771118164
2020-05-04,31.530000686645508
2020-05-05,31.139999389648438
2020-05-06,29.530000686645508
2020-05-07,30.780000686645508
2020-05-08,33.029998779296875
2020-05-11,32.70000076293945
2020-05-12,32.209999084472656
2020-05-13,31.049999237060547
2020-05-14,30.889999389648438
2020-05-15,30.299999237060547
2020-05-18,34.95000076293945
2020-05-19,34.5
2020-05-20,36.81999969482422
2020-05-21,35.689998626708984
2020-05-22,35.56999969482422
2020-05-26,36.83000183105469
2020-05-27,36.58000183105469
2020-05-28,35.18000030517578
2020-05-29,35.13999938964844
2020-06-01,36.5
2020-06-02,37.720001220703125
2020-06-03,38.59000015258789
2020-06-04,38.040000915527344
2020-06-05,41.560001373291016
2020-06-08,42.209999084472656
2020-06-09,40.40999984741211
2020-06-10,39.189998626708984
2020-06-11,35.33000183105469
2020-06-12,36.619998931884766
2020-06-15,37.84000015258789
2020-06-16,38.63999938964844
2020-06-17,37.130001068115234
2020-06-18,38.470001220703125
2020-06-19,38.189998626708984
2020-06-22,38.61000061035156
2020-06-23,38.79999923706055
2020-06-24,36.22999954223633
2020-06-25,36.689998626708984
2020-06-26,35.369998931884766
2020-06-29,35.400001525878906
2020-06-30,37.380001068115234
2020-07-01,35.68000030517578
2020-07-02,36.06999969482422
2020-07-06,36.36000061035156
2020-07-07,34.689998626708984
2020-07-08,34.150001525878906
2020-07-09,33.349998474121094
2020-07-10,36.20000076293945
2020-07-13,35.310001373291016
2020-07-14,36.20000076293945
2020-07-15,37.56999969482422
2020-07-16,37.38999938964844
2020-07-17,37.93000030517578
2020-07-20,36.75
2020-07-21,38.540000915527344
2020-07-22,38.72999954223633
2020-07-23,38.880001068115234
2020-07-24,38.70000076293945
2020-07-27,38.52000045776367
2020-07-28,38.119998931884766
2020-07-29,39.90999984741211
2020-07-30,38.08000183105469
2020-07-31,38.20000076293945
2020-08-03,38.56999969482422
2020-08-04,37.689998626708984
2020-08-05,36.43000030517578
2020-08-06,35.72999954223633
2020-08-07,36.66999816894531
2020-08-10,37.130001068115234
2020-08-11,36.95000076293945
2020-08-12,38.130001068115234
2020-08-13,37.2599983215332
2020-08-14,38.349998474121094
2020-08-17,38.650001525878906
2020-08-18,37.2400016784668
2020-08-19,37.18000030517578
2020-08-20,35.619998931884766
2020-08-21,35.400001525878906
2020-08-24,36.810001373291016
2020-08-25,36.45000076293945
2020-08-26,35.33000183105469
2020-08-27,34.97999954223633
2020-08-28,37.09000015258789
2020-08-31,35.459999084472656
2020-09-01,34.970001220703125
2020-09-02,35.0099983215332
2020-09-03,34.2599983215332
2020-09-04,33.63999938964844
2020-09-08,32.33000183105469
2020-09-09,31.770000457763672
2020-09-10,30.270000457763672
2020-09-11,31.25
2020-09-14,32.02000045776367
2020-09-15,31.09000015258789
2020-09-16,32.36000061035156
2020-09-17,32.119998931884766
2020-09-18,32.279998779296875
2020-09-21,31.25
2020-09-22,31.040000915527344
2020-09-23,28.729999542236328
2020-09-24,28.6200008392334
2020-09-25,28.6299991607666
2020-09-28,29.950000762939453
2020-09-29,29.43000030517578
2020-09-30,29.34000015258789
2020-10-01,27.709999084472656
2020-10-02,28.270000457763672
2020-10-05,29.239999771118164
2020-10-06,28.829999923706055
2020-10-07,29.209999084472656
2020-10-08,31.1200008392334
2020-10-09,30.1200008392334
2020-10-12,30.489999771118164
2020-10-13,29.3799991607666
2020-10-14,29.90999984741211
2020-10-15,30.540000915527344
2020-10-16,29.3700008392334
2020-10-19,28.25
2020-10-20,29.239999771118164
2020-10-21,28.81999969482422
2020-10-22,29.510000228881836
2020-10-23,29.889999389648438
2020-10-26,28.600000381469727
2020-10-27,28.190000534057617
2020-10-28,27.5
